Date,Open,High,Low,Close,Volume
2013-01-28,1460.3,1476.26,1459.67,1473.01,833692000
2013-01-29,1473.01,1500.77,1473.01,1495.67,1326800000
2013-01-30,1495.67,1506.46,1485.94,1486.56,1054900000
2013-01-31,1486.56,1495.53,1483.61,1488.56,925494000
2013-02-03,1488.56,1499.44,1481.38,1494.15,1081130000
2013-02-04,1494.15,1513.3,1494.15,1503.97,1330170000
2013-02-05,1503.97,1521.76,1498.16,1518.4,1015790000
2013-02-06,1518.4,1532.97,1518.4,1523.36,1068920000
2013-02-07,1523.36,1530.08,1520.78,1524.54,1253840000
2013-02-10,1524.54,1544.99,1524.54,1540.93,1625890000
2013-02-11,1540.93,1551.09,1540.93,1541.28,1517940000
2013-02-12,1541.28,1548.72,1529.68,1529.68,1457290000
2013-02-13,1529.68,1538.68,1528.45,1535.27,1678300000
2013-02-14,1535.27,1555.91,1535.27,1551.97,2050810000
2013-02-17,1551.97,1564.23,1545.4,1545.4,1586080000
2013-02-18,1545.4,1554.79,1540.01,1540.98,1998630000
2013-02-19,1540.98,1545.14,1523.4,1523.4,1746120000
2013-02-20,1523.4,1526.24,1502.37,1502.86,1405660000
2013-02-24,1502.86,1502.86,1463.87,1464.59,1047450000
2013-02-25,1464.59,1483.28,1445.95,1446.54,1032150000
2013-02-26,1446.54,1470.84,1446.54,1465.47,879417000
2013-02-27,1465.47,1469.53,1423.32,1425.6,963721000
2013-02-28,1425.6,1437.14,1415.16,1431.9,584946000
2013-03-03,1431.9,1431.9,1359.54,1364.71,2628910000
2013-03-04,1364.71,1420.15,1364.71,1410.08,2731550000
2013-03-05,1410.08,1429.87,1405.42,1409.67,2028950000
2013-03-06,1409.67,1415.59,1397.8,1399.94,2784120000
2013-03-07,1399.94,1399.94,1380.64,1392.35,1789440000
2013-03-10,1392.35,1406.82,1382.63,1382.65,1772420000
2013-03-11,1382.65,1382.7,1358.58,1375.57,1923980000
2013-03-12,1375.57,1395.78,1361.01,1387.85,1649160000
2013-03-13,1387.85,1413.76,1387.85,1405.32,1978690000
2013-03-14,1405.32,1414.78,1402.9,1411.89,1720800000
2013-03-18,1411.89,1420.84,1397.54,1418.27,1388810000
2013-03-19,1418.27,1433.35,1418.27,1428.21,1626390000
2013-03-20,1428.21,1428.61,1414.0,1416.0,1802110000
2013-03-24,1416.0,1423.25,1389.01,1390.05,1708920000
2013-03-25,1390.05,1390.27,1373.59,1376.64,1514910000
2013-03-27,1376.64,1376.64,1348.18,1352.68,1418220000
2013-03-28,1352.68,1370.15,1352.68,1365.78,1160450000
2013-03-31,1365.78,1365.78,1336.79,1340.15,1677850000
2013-04-01,1340.15,1340.15,1293.24,1293.24,1384100000
2013-04-02,1293.24,1319.53,1292.03,1313.02,1305010000
2013-04-03,1313.02,1329.61,1313.02,1319.77,1459540000
2013-04-04,1319.77,1319.77,1305.48,1310.96,1454060000
