Date,Open,High,Low,Close,Volume
2022-08-31,1987.6834,2047.65903,1907.82885,1922.13041,3882621
2022-09-01,1919.52249,1937.77358,1884.17145,1914.82544,2929015
2022-09-04,1914.82544,1943.68042,1779.95469,1807.9757,3357581
2022-09-05,1828.14775,1882.75173,1789.18777,1791.4899,2867776
2022-09-06,1824.089,1829.24574,1727.36705,1738.44556,1585148
2022-09-07,1738.44556,1753.83637,1639.22319,1656.59267,3183860
2022-09-08,1667.15898,1761.18582,1662.65563,1723.05096,2397607
2022-09-11,1723.05096,1798.16763,1715.962,1733.131,2428074
2022-09-12,1764.42613,1826.94315,1749.98223,1797.5223,1026805
2022-09-13,1797.5223,1869.31021,1797.5223,1821.47574,2772181
2022-09-14,1859.51445,1937.47804,1777.70136,1789.24656,2643422
2022-09-15,1789.24656,1887.64881,1785.33467,1882.40013,3892107
2022-09-18,1882.40013,1919.87453,1806.10656,1811.25455,2768072
2022-09-19,1811.25455,1844.25808,1723.99456,1730.29743,2333049
2022-09-20,1730.29743,1783.73288,1622.39953,1623.29803,3216426
2022-09-21,1623.29803,1695.51772,1623.29803,1656.52833,301885
2022-09-22,1638.52992,1679.61494,1613.65106,1662.83581,1391051
2022-09-25,1662.83581,1691.08635,1583.3984,1603.89905,1661239
2022-09-26,1603.89905,1649.76572,1601.27186,1649.76572,82761
2022-09-27,1615.77726,1736.55837,1615.77726,1725.56802,2541373
2022-09-28,1725.56802,1806.14189,1725.56802,1751.27684,1331473
2022-09-29,1735.14729,1772.09325,1676.59735,1689.51869,1204506
2022-10-06,1570.74277,1576.1792,1512.27083,1534.97753,1253814
2022-10-10,1534.97753,1560.18843,1406.53188,1422.8462,1973461
2022-10-11,1422.8462,1523.4252,1372.18769,1486.52583,2518672
2022-10-12,1486.52583,1622.26277,1486.52583,1611.44252,3153934
2022-10-13,1611.44252,1697.23155,1597.42994,1603.91526,1879656
2022-10-16,1603.91526,1675.49978,1603.91526,1623.56778,1435778
2022-10-17,1623.56778,1725.45369,1623.56778,1634.40086,3605591
2022-10-18,1634.40086,1650.11169,1557.02297,1579.1817,1915873
2022-10-19,1579.1817,1657.40119,1498.53947,1519.14494,1953866
2022-10-20,1519.14494,1577.82663,1477.50735,1526.18753,2293528
2022-10-23,1526.18753,1595.1134,1483.97409,1513.50948,1487922
2022-10-24,1513.50948,1525.40947,1418.21679,1463.863,348678
2022-10-25,1450.9661,1540.0516,1445.90761,1477.07555,1372587
2022-10-26,1477.07555,1533.90259,1455.95744,1487.16678,2851382
2022-10-27,1487.16678,1575.44266,1484.79257,1514.69802,1999488
2022-10-30,1514.69802,1556.62785,1467.63271,1493.47569,1047136
2022-10-31,1453.66902,1552.70776,1381.37029,1385.92868,1144505
2022-11-06,1413.1588,1462.05879,1370.78095,1381.67377,1726381
2022-11-07,1381.67377,1411.73478,1346.5316,1346.54111,1059072
2022-11-08,1346.54111,1402.01868,1346.54111,1361.63773,1315918
2022-11-09,1361.63773,1439.36772,1357.2127,1403.2304,2335465
2022-11-10,1403.2304,1449.59681,1403.2304,1420.80394,2054073
2022-11-13,1420.80394,1490.49816,1375.37756,1454.09407,2798703
2022-11-14,1454.09407,1477.56648,1389.6559,1396.93372,1907860
2022-11-15,1396.93372,1409.68038,1331.11839,1350.71965,739118
2022-11-16,1350.71965,1378.56753,1320.3098,1359.5556,1263616
2022-11-17,1359.5556,1488.78425,1359.5556,1484.37255,4813843
