Date,Open,High,Low,Close,Volume
2023-06-15,1000.0,1009.0,1000.0,1005.0,72
2023-06-18,1005.0,1005.0,1005.0,1005.0,28
2023-06-26,1005.0,1005.0,1005.0,1005.0,1
2023-07-18,1005.0,1005.0,1005.0,1005.0,1
2023-07-20,1005.0,1005.0,1005.0,1005.0,11
2023-07-23,1005.0,1005.0,1005.0,1005.0,5
2023-07-24,1005.0,1005.0,1005.0,1005.0,4
2023-07-31,1005.0,1005.0,1005.0,1005.0,10
2023-08-01,1005.0,1005.0,1005.0,1005.0,10
2023-08-03,1005.0,1005.0,1005.0,1005.0,2
2023-08-06,1005.0,1005.0,1005.0,1005.0,20
2023-08-08,1005.0,1005.0,1005.0,1005.0,1
2023-08-09,1005.0,1005.0,1005.0,1005.0,1
2023-08-10,1005.0,1005.0,1005.0,1005.0,3
2023-08-13,1005.0,1005.0,1005.0,1005.0,3
2023-08-16,1005.0,1005.0,1005.0,1005.0,1
2023-08-21,1005.0,1005.0,1005.0,1005.0,1
2023-08-24,1005.0,1005.0,1005.0,1005.0,3
2023-08-27,1005.0,1005.0,1005.0,1005.0,2
2023-08-29,1005.0,1005.0,1005.0,1005.0,5
2023-09-04,1005.0,1005.0,1005.0,1005.0,9
2023-09-05,1005.0,1005.0,1005.0,1005.0,1
2023-09-13,1005.0,1005.0,1005.0,1005.0,1
2023-09-20,1005.0,1005.0,1005.0,1005.0,1
2023-12-14,1005.0,1005.0,1005.0,1005.0,2
2024-01-22,1005.0,1005.0,980.0,988.5,6
2024-01-23,988.5,988.5,988.5,988.5,1
2024-01-30,988.5,988.5,988.5,988.5,2
2024-02-04,988.5,988.5,988.5,988.5,1
2024-02-12,920.0,920.0,920.0,920.0,1
2024-02-14,920.0,920.0,920.0,920.0,3
2024-02-18,989.0,989.0,989.0,989.0,5
2024-02-20,988.5,988.5,988.5,988.5,50010
2024-02-22,988.5,988.5,988.5,988.5,2
2024-02-25,988.5,988.5,988.5,988.5,70000
2024-02-27,985.0,985.0,985.0,985.0,80000
2024-03-10,985.0,985.0,985.0,985.0,1
2024-03-12,985.0,985.0,985.0,985.0,3
2024-03-18,985.0,985.0,985.0,985.0,5
2024-03-20,985.0,985.0,985.0,985.0,50
2024-06-04,955.5,955.5,955.5,955.5,2
2024-06-05,955.5,955.5,955.5,955.5,4
2024-06-11,955.5,955.5,955.5,955.5,1
2024-06-12,955.5,955.5,955.5,955.5,3
2024-06-19,955.5,955.5,955.5,955.5,1
2024-07-11,955.5,955.5,955.5,955.5,1
2024-07-14,955.5,955.5,955.5,955.5,1
2024-07-15,955.5,955.5,955.5,955.5,6
2024-08-12,955.5,955.5,955.5,955.5,3
2024-08-13,955.0,955.0,955.0,955.0,15
2024-09-08,955.0,955.0,955.0,955.0,1
2024-09-22,955.0,955.0,955.0,955.0,3
2024-09-23,955.0,955.0,955.0,955.0,3
2025-02-27,950.0,950.0,950.0,950.0,10
2025-05-21,879.0,879.0,879.0,879.0,76
2025-05-25,814.0,814.0,814.0,814.0,2
2025-05-28,870.0,870.0,870.0,870.0,2
2025-05-29,870.0,900.0,870.0,881.5,29
2025-06-01,900.0,900.0,900.0,900.0,3
2025-08-10,900.0,900.0,900.0,900.0,1000
2025-08-11,880.0,880.0,880.0,880.0,26
2025-08-12,850.0,850.0,850.0,850.0,6
2025-08-19,840.0,840.0,840.0,840.0,24
2025-08-27,810.0,810.0,800.0,807.5,13
2025-09-11,807.5,807.5,797.5,798.5,11
2025-09-14,798.5,798.5,798.5,798.5,1
2025-09-15,807.5,807.5,807.5,807.5,4
2025-09-16,807.5,807.5,807.5,807.5,2
2025-09-23,807.5,807.5,807.5,807.5,2
2025-10-07,807.5,807.5,807.5,807.5,10
2025-10-22,868.0,868.0,868.0,868.0,10
2025-10-26,855.0,855.0,850.0,850.0,2000
2025-10-27,850.0,875.0,850.0,850.0,7855
2025-10-28,900.0,900.0,900.0,900.0,10
2025-10-29,900.0,900.0,900.0,900.0,55
2025-11-02,950.0,950.0,950.0,950.0,5
2025-11-03,910.0,985.0,910.0,965.5,15
2025-11-04,965.5,965.5,965.5,965.5,2
2025-11-05,950.0,950.0,950.0,950.0,2
2025-11-26,1000.0,1000.0,1000.0,1000.0,10
