Date,Open,High,Low,Close,Volume
2014-09-29,154.0,154.0,154.0,154.0,0
2014-09-30,154.0,154.0,154.0,154.0,0
2014-10-01,154.0,154.0,154.0,154.0,0
2014-10-02,154.0,154.0,154.0,154.0,0
2021-09-30,14.4,14.4,14.4,14.4,18
2021-10-03,17.2,17.2,17.2,17.2,6900
2021-10-04,20.6,20.6,15.6,15.9,40272
2021-10-05,13.0,13.1,13.0,13.0,6000
2021-10-06,10.4,14.4,10.4,10.7,41509
2021-10-07,8.8,9.4,8.7,9.1,23096
2021-10-10,8.6,8.7,8.6,8.6,3500
2021-10-11,8.6,8.6,8.5,8.6,9690
2021-10-12,8.0,8.0,7.1,7.4,9150
2021-10-13,8.1,8.1,8.1,8.1,1
2021-10-14,7.0,7.0,7.0,7.0,10140
2021-10-17,6.6,6.6,6.6,6.6,500
2021-10-18,5.5,5.6,5.5,5.5,4890
2021-10-19,5.5,6.5,5.5,5.7,2915
2021-10-21,5.0,6.7,5.0,5.7,550
2021-10-24,5.7,5.7,5.7,5.7,7500
2021-10-25,6.3,6.3,6.3,6.3,2000
2021-10-26,7.1,7.1,6.0,6.6,21
2021-10-27,0.0,6.6,6.6,6.6,170
2021-11-01,7.8,7.8,7.8,7.8,1
2021-11-02,7.4,8.0,7.3,7.4,10467
2021-11-03,8.4,8.4,7.0,7.0,1211
2021-11-04,7.0,7.0,7.0,7.0,3000
2021-11-07,7.0,8.2,7.0,7.0,62
2021-11-08,7.3,7.9,7.3,7.3,1603
2021-11-09,7.3,7.9,7.0,7.3,622
2021-11-10,7.2,7.9,7.2,7.3,1845
2021-11-11,7.1,7.1,7.1,7.1,290
2021-11-14,7.0,7.0,7.0,7.0,5244
2021-11-15,7.0,7.0,6.9,7.0,14079
2021-11-16,7.2,8.0,7.2,7.2,12253
2021-11-17,7.1,7.2,7.1,7.1,1000
2021-11-18,7.1,7.1,7.1,7.1,5730
2021-11-21,7.2,7.4,7.2,7.4,2030
2021-11-22,7.1,7.8,7.1,7.1,3481
2021-11-28,7.0,7.0,7.0,7.0,1085
2021-11-29,7.0,7.0,7.0,7.0,867
2021-11-30,6.5,6.7,6.5,6.6,2116
2021-12-01,6.8,6.9,6.8,6.8,2015
2021-12-02,5.6,6.6,5.6,6.3,6175
2021-12-05,6.1,6.1,6.1,6.1,1000
2021-12-08,6.3,6.3,6.3,6.3,12000
2021-12-09,6.0,6.0,6.0,6.0,1
2021-12-12,6.5,6.5,5.2,6.3,3002
2021-12-13,7.5,7.5,7.5,7.5,1000
2021-12-14,7.5,7.5,7.5,7.5,105
2021-12-19,7.5,7.5,7.5,7.5,101
2021-12-20,7.0,8.2,7.0,7.0,501
2021-12-21,6.6,7.0,6.6,6.6,5500
2021-12-22,6.9,7.7,6.9,7.0,29725
2021-12-23,7.0,8.0,6.7,7.1,29145
2021-12-26,7.1,7.1,7.0,7.0,40000
2021-12-27,6.0,6.0,6.0,6.0,1000
2021-12-28,5.5,5.5,5.5,5.5,190
2021-12-29,5.5,6.0,5.5,5.5,246
2021-12-30,5.6,6.0,5.6,5.9,1554
2022-01-04,6.0,6.5,5.5,6.0,26000
2022-01-05,5.6,6.7,5.6,6.0,58286
2022-01-06,6.1,6.2,6.1,6.1,5640
2022-01-09,6.2,6.2,6.2,6.2,10100
2022-01-10,5.9,6.0,5.8,5.9,31030
2022-01-11,5.7,5.9,5.7,5.7,3630
2022-01-16,5.4,5.4,5.4,5.4,1220
2022-01-17,5.4,6.0,5.4,5.5,533
2022-01-18,5.6,5.6,5.5,5.6,14570
2022-01-19,5.6,5.6,5.6,5.6,5000
2022-01-20,5.6,5.9,5.6,5.8,13050
2022-01-23,5.5,5.5,5.5,5.5,210
2022-01-25,5.8,5.8,5.8,5.8,2
2022-01-27,5.7,6.8,5.7,5.7,502
2022-01-31,6.0,6.0,5.8,5.9,5000
2022-02-02,6.0,6.0,6.0,6.0,1000
2022-02-06,6.5,6.5,6.5,6.5,5000
2022-02-07,6.5,6.6,6.1,6.4,21500
2022-02-08,6.0,6.0,6.0,6.0,3670
2022-02-09,5.8,7.2,5.8,6.6,2740
2022-02-10,7.5,7.5,5.8,6.0,2100
2022-02-13,5.6,7.1,5.6,6.4,13371
2022-02-14,6.5,6.5,6.0,6.0,2000
2022-02-15,7.0,7.0,7.0,7.0,70
2022-02-16,8.2,8.2,6.0,6.5,26005
2022-02-20,5.7,5.7,5.7,5.7,4998
2022-02-22,5.6,5.6,5.5,5.5,25360
2022-02-23,5.6,5.6,5.6,5.6,140
2022-02-28,5.6,5.6,5.5,5.5,120
2022-03-01,6.0,6.0,6.0,6.0,5
2022-03-02,6.0,6.0,6.0,6.0,1070
2022-03-03,5.6,5.6,5.6,5.6,1000
2022-03-06,6.1,6.1,6.1,6.1,2000
2022-03-07,6.0,6.0,5.6,5.7,12500
2022-03-08,5.0,5.7,4.9,5.6,2170
2022-03-09,6.0,6.3,6.0,6.2,200
2022-03-10,5.6,5.6,5.6,5.6,760
2022-03-13,5.6,5.6,5.6,5.6,2000
2022-03-14,6.1,6.7,5.6,6.2,3565
2022-03-15,5.8,7.4,5.8,7.2,38987
2022-03-16,7.2,8.6,7.2,8.6,63318
2022-03-20,7.8,10.3,7.8,9.2,23385
2022-03-21,8.8,11.0,8.8,10.7,55453
2022-03-22,10.9,12.8,10.9,12.8,102792
2022-03-23,12.5,15.1,11.9,12.4,51979
2022-03-24,12.0,13.9,11.7,12.2,39624
2022-03-27,12.0,14.6,12.0,14.6,73746
2022-03-28,14.0,16.9,14.0,16.1,81284
2022-03-29,16.1,18.4,14.6,15.0,275858
2022-03-30,14.5,16.4,13.5,15.0,125975
2022-03-31,13.3,18.0,13.3,18.0,220410
2022-04-03,20.0,20.0,15.4,18.4,145725
2022-04-04,18.0,22.0,17.1,21.5,1044845
2022-04-05,22.0,25.8,21.6,25.6,1064961
2022-04-06,26.0,27.5,22.1,22.7,1397572
2022-04-07,20.4,22.5,18.7,22.3,741381
2022-04-10,22.6,22.7,20.4,20.5,158175
2022-04-11,18.8,20.2,18.6,19.1,213294
2022-04-12,18.3,21.0,18.2,21.0,619001
2022-04-13,21.2,22.4,19.4,21.5,552375
2022-04-17,21.9,22.9,21.1,21.4,416807
2022-04-18,21.8,21.8,19.8,20.1,204401
2022-04-19,19.3,21.5,19.3,21.1,258882
2022-04-20,20.7,21.0,20.1,20.7,314253
2022-04-21,20.2,21.2,19.5,19.9,339995
2022-04-24,20.7,20.7,18.8,18.9,199357
2022-04-25,19.8,19.8,18.2,19.3,129301
2022-04-26,19.6,19.6,18.0,18.2,194896
2022-04-27,18.1,18.2,17.6,17.8,140833
2022-04-28,17.8,18.5,17.5,18.1,121650
2022-05-05,18.5,18.6,17.2,17.4,33710
2022-05-08,18.5,18.5,17.2,17.2,73514
2022-05-09,16.4,17.9,16.4,17.8,72612
2022-05-10,18.0,18.0,17.2,17.2,79637
2022-05-11,17.0,17.1,16.2,16.3,78003
2022-05-12,16.3,16.4,15.7,15.8,21204
2022-05-16,16.6,16.6,14.8,14.9,18101
2022-05-17,15.9,15.9,13.5,13.7,101596
2022-05-18,14.8,14.8,12.5,13.3,140918
2022-05-19,13.0,14.4,12.8,14.2,116993
2022-05-22,14.0,14.7,13.1,13.3,38176
2022-05-23,13.9,14.5,13.4,14.4,81414
2022-05-24,14.0,15.0,13.7,13.8,36398
2022-05-26,13.4,13.6,13.1,13.5,51050
2022-05-29,13.5,14.8,13.5,14.7,151309
2022-05-30,15.9,15.9,14.1,14.2,37421
2022-05-31,15.4,15.4,13.4,13.6,113215
2022-06-09,23.7,24.2,23.7,24.2,462857
2022-06-12,24.0,26.6,24.0,26.3,1542248
2022-06-13,27.3,27.8,23.7,24.1,900544
2022-06-14,22.5,24.7,22.5,23.8,319290
2022-06-15,24.0,26.1,24.0,25.4,469563
2022-06-16,26.0,27.9,25.0,27.9,1103126
2022-06-19,27.2,30.6,27.2,30.6,1263450
2022-06-20,30.8,33.6,30.8,33.6,332113
2022-06-21,36.9,36.9,36.9,36.9,463028
2022-06-22,40.5,40.5,40.5,40.5,135871
2022-06-23,44.5,44.5,44.5,44.5,113990
2022-06-26,48.9,48.9,40.1,44.8,2808399
2022-06-27,41.1,47.0,41.0,43.3,268539
2022-06-28,45.0,46.9,42.6,45.1,730890
2022-06-29,49.6,49.6,45.0,48.6,923377
2022-06-30,53.4,53.4,46.2,46.6,379821
2022-07-03,51.0,51.0,44.1,45.8,636284
2022-07-04,47.0,47.3,44.9,45.3,245835
2022-07-05,45.3,45.3,42.1,42.5,445414
2022-07-06,44.0,44.0,39.9,41.6,504391
2022-07-07,44.9,45.2,41.2,44.4,652346
2022-07-12,44.9,47.8,44.3,45.9,574610
2022-07-13,45.0,45.5,42.7,43.0,420204
2022-07-14,42.6,43.9,41.2,42.7,257108
2022-07-17,41.8,42.8,39.0,40.6,102228
2022-07-18,41.0,41.0,36.6,36.9,287237
2022-07-19,33.3,39.0,33.3,37.0,710622
2022-07-20,39.4,39.4,34.3,35.1,511385
2022-07-21,36.0,38.6,34.4,38.6,614849
2022-07-24,38.1,41.5,37.6,38.9,354746
2022-07-25,38.5,38.9,36.1,38.5,244676
2022-07-26,40.5,40.5,36.6,37.3,174930
2022-07-27,41.0,41.0,35.5,35.8,180287
2022-07-28,39.3,39.3,32.6,33.1,355697
2022-07-31,30.5,36.2,30.3,35.9,573421
2022-08-01,37.7,38.0,35.0,36.7,247535
2022-08-02,36.4,37.0,35.0,35.6,436282
2022-08-03,34.8,36.3,34.8,35.4,240035
2022-08-04,36.5,37.5,36.0,36.6,376812
2022-08-07,36.9,36.9,35.1,35.5,256433
2022-08-08,35.9,38.7,35.8,36.8,478760
2022-08-10,36.8,39.0,36.6,38.5,533316
2022-08-11,39.9,41.4,38.0,40.0,607238
2022-08-14,41.0,41.0,37.0,37.3,515190
2022-08-16,38.8,38.8,34.4,34.8,1021753
2022-08-17,35.8,35.9,34.4,34.9,719128
2022-08-21,35.4,36.9,33.5,34.0,809768
2022-08-22,36.9,36.9,33.3,33.6,352360
2022-08-23,35.5,35.5,30.7,31.3,540434
2022-08-24,32.9,32.9,31.7,31.8,569417
2022-08-25,34.8,34.8,31.9,32.1,414690
2022-08-28,34.0,34.0,30.3,31.5,288080
2022-08-29,33.3,33.3,28.4,29.0,838168
2022-08-30,31.4,31.9,26.1,31.9,2546605
2022-08-31,32.0,34.6,29.5,30.7,782031
2022-09-01,30.5,30.8,28.2,28.8,1353011
2022-09-04,29.0,29.0,26.2,26.4,711360
2022-09-05,27.6,28.5,25.1,26.4,514293
2022-09-06,28.9,28.9,25.4,26.1,222583
2022-09-07,26.0,27.0,25.5,25.6,495920
2022-09-08,26.5,27.9,25.7,26.6,378242
2022-09-11,26.7,27.7,26.3,27.0,258134
2022-09-12,29.4,29.5,27.2,28.8,721679
2022-09-13,30.3,30.3,28.4,29.0,313590
2022-09-14,30.8,30.8,27.0,27.6,365059
2022-09-15,27.3,29.8,27.3,29.6,434508
2022-09-18,31.1,31.1,27.6,27.8,471588
2022-09-19,26.7,29.0,26.5,26.8,289108
2022-09-20,26.3,26.6,24.2,24.5,696233
2022-09-21,25.0,25.9,24.0,24.5,327959
2022-09-22,24.6,26.0,24.6,25.1,303109
2022-09-25,24.7,25.9,22.8,22.9,751929
2022-09-26,24.7,24.7,22.8,23.0,46763
2022-09-27,23.9,25.3,23.0,25.3,395427
2022-09-28,26.9,27.3,25.2,26.1,559978
2022-09-29,26.8,26.8,25.0,25.1,158301
2022-10-02,24.7,25.5,23.1,23.8,209866
2022-10-03,23.8,24.8,23.1,23.4,247585
2022-10-04,24.4,24.4,23.0,23.1,180758
2022-10-06,22.8,23.8,22.7,22.9,122865
2022-10-10,24.2,24.2,21.1,21.8,425228
2022-10-11,21.8,23.9,21.8,23.9,725148
2022-10-12,26.2,26.2,26.2,26.2,50209
2022-10-13,28.8,28.8,28.8,28.8,105393
2022-10-16,31.6,31.6,31.6,31.6,72390
2022-10-17,34.7,34.7,32.2,34.7,2034530
2022-10-18,35.0,35.0,31.3,34.0,796879
2022-10-19,34.9,34.9,30.7,31.4,563996
