Date,Open,High,Low,Close,Volume
2012-10-01,36.2812,38.2766,35.3741,37.8231,285272
2012-10-02,38.0952,39.093,37.7324,38.3673,216366
2012-10-03,38.7302,40.7256,37.7324,39.0023,514592
2012-10-04,38.0952,39.4558,37.6417,38.0045,219122
2012-10-07,38.5488,38.5488,36.5533,36.644,145530
2012-10-08,36.3719,37.3696,35.9184,36.0998,232076
2012-10-09,36.9161,38.0952,36.4626,36.9161,93988
2012-10-10,36.8254,37.2789,35.3741,35.6463,153523
2012-10-11,36.2812,36.3719,35.0113,35.3741,107769
2012-10-14,35.8277,35.8277,35.102,35.1927,98949
2012-10-15,35.4649,36.2812,34.9206,35.1927,152145
2012-10-16,35.3741,36.2812,35.3741,35.6463,92610
2012-10-17,35.4649,36.7347,35.3741,35.9184,109974
2012-10-18,35.4649,36.3719,35.2834,36.0998,56228
2012-10-21,35.4649,35.5556,34.4671,34.6485,96193
2012-10-22,34.4671,35.3741,34.3764,35.102,39414
2012-10-23,35.1927,36.0998,35.1927,35.3741,39690
2012-10-30,35.102,35.2834,34.9206,35.0113,18191
2012-10-31,35.4649,35.737,34.1043,34.4671,58433
2012-11-01,35.3741,36.0091,35.3741,35.3741,157382
2012-11-04,35.3741,35.3741,34.0136,34.195,96744
2012-11-05,34.1043,34.4671,33.5601,33.6508,74419
2012-11-06,34.0136,34.0136,33.1066,33.4694,36934
2012-11-07,32.8345,33.8322,32.8345,33.1973,71663
2012-11-08,33.1066,33.7415,32.7438,32.9252,58984
2012-11-11,32.7438,33.1973,31.9274,33.0159,127339
2012-11-12,31.9274,33.288,31.9274,33.0159,97296
2012-11-13,32.4717,34.1043,32.4717,33.7415,47959
2012-11-14,34.9206,34.9206,33.8322,33.9229,58157
2012-11-15,33.6508,34.2857,33.6508,34.0136,118243
2012-11-18,33.288,34.3764,33.288,33.9229,58708
2012-11-19,33.288,33.3787,32.2902,32.9252,36658
2012-11-20,32.2902,32.6531,31.3832,31.6553,43273
2012-11-21,32.0181,32.0181,31.746,31.746,17364
2012-11-22,31.2925,32.6531,31.2925,32.381,37485
2012-11-26,31.9274,31.9274,31.2925,31.4739,21499
2012-11-27,31.1111,31.6553,30.839,30.839,22601
2012-11-28,31.0204,31.2925,30.3855,30.5669,23153
2012-11-29,32.1088,33.1066,31.3832,32.8345,26460
2012-12-02,33.1066,33.5601,31.9274,32.7438,55676
2012-12-03,31.5646,32.1995,31.5646,31.746,31973
2012-12-04,31.2018,32.1995,31.2018,31.4739,7718
2012-12-05,31.4739,31.5646,30.5669,30.839,38588
2012-12-06,30.7483,31.1111,30.5669,30.9297,17640
2012-12-09,30.2041,31.1111,30.2041,30.9297,9096
2012-12-10,30.839,31.1111,30.2041,30.4762,30594
2012-12-11,30.839,30.9297,30.5669,30.5669,17640
2012-12-12,30.7483,31.0204,30.3855,30.6576,14608
2012-12-13,30.7483,31.9274,30.7483,31.4739,27011
2012-12-17,31.746,32.5624,31.746,32.2902,28389
2012-12-18,31.746,31.746,31.3832,31.5646,9096
2012-12-19,32.1995,32.7438,31.8367,32.2902,19569
2012-12-20,33.3787,33.3787,31.8367,32.2902,37209
2012-12-23,31.5646,31.746,31.0204,31.1111,19018
2012-12-24,31.2018,31.9274,31.1111,31.5646,24255
2012-12-26,31.6553,31.746,30.9297,31.6553,24255
2012-12-27,32.1088,32.1995,31.5646,31.746,25633
2012-12-30,31.9274,32.1088,31.746,31.9274,59535
2013-01-01,32.0181,32.0181,31.5646,31.5646,6615
2013-01-02,31.1111,31.4739,31.1111,31.2925,8269
2013-01-03,31.4739,31.746,31.3832,31.5646,7718
2013-01-06,31.4739,31.5646,31.2925,31.2925,28665
2013-01-07,31.0204,31.4739,31.0204,31.1111,25082
2013-01-08,31.1111,31.2925,31.1111,31.1111,22601
2013-01-09,30.839,30.839,30.6576,30.6576,9923
2013-01-10,31.5646,31.5646,30.6576,30.7483,3032
2013-01-13,30.6576,31.2018,30.6576,30.6576,17364
2013-01-14,30.5669,30.7483,30.3855,30.5669,9647
2013-01-15,30.3855,30.9297,30.1134,30.4762,17364
2013-01-16,30.839,31.0204,30.6576,30.7483,7442
2013-01-17,30.9297,31.2925,30.839,31.1111,21774
2013-01-20,31.0204,31.2925,30.839,31.0204,14608
2013-01-21,31.1111,31.1111,30.4762,30.6576,13230
2013-01-22,30.5669,30.839,30.4762,30.6576,16538
2013-01-23,31.2018,31.5646,31.0204,31.1111,46029
2013-01-24,31.4739,32.0181,31.3832,31.4739,36107
2013-01-27,31.2018,31.5646,31.1111,31.2018,28114
2013-01-28,31.2925,32.1088,31.1111,31.8367,52920
2013-01-29,32.1995,33.6508,32.1995,32.7438,92334
2013-01-30,32.9252,33.0159,32.4717,32.4717,35280
2013-01-31,32.6531,33.7415,32.5624,33.288,58984
2013-02-03,33.5601,35.3741,33.5601,34.9206,152145
2013-02-04,35.1927,35.2834,33.9229,34.0136,55401
2013-02-05,33.1066,34.4671,33.1066,34.1043,51818
2013-02-06,34.4671,34.4671,33.5601,33.7415,36658
2013-02-07,34.8299,35.6463,33.5601,33.9229,112179
2013-02-10,33.6508,34.4671,33.6508,33.9229,53471
2013-02-11,33.9229,34.9206,33.9229,34.7392,72489
2013-02-12,34.9206,35.0113,34.1043,34.4671,70009
2013-02-13,34.4671,34.7392,34.1043,34.4671,43273
2013-02-14,34.6485,36.0091,34.5578,35.737,163446
2013-02-17,36.2812,36.2812,34.4671,34.8299,97847
2013-02-18,35.0113,35.3741,34.3764,34.4671,49888
2013-02-19,34.2857,34.8299,33.6508,33.7415,45754
2013-02-20,34.0136,34.0136,33.0159,33.3787,97296
2013-02-24,33.1066,33.4694,32.1995,32.6531,30043
2013-02-25,33.1066,33.5601,30.9297,32.0181,41895
2013-02-26,32.1995,32.6531,31.746,32.381,39966
2013-02-27,31.9274,32.381,31.4739,31.746,65048
2013-02-28,32.5624,32.5624,31.2925,31.9274,45478
2013-03-03,30.1134,30.5669,29.7506,29.932,33351
2013-03-04,29.932,31.6553,29.932,30.839,25633
2013-03-05,31.6553,31.6553,30.5669,30.6576,33351
2013-03-06,30.2041,30.7483,30.1134,30.6576,71663
2013-03-07,29.932,31.3832,29.932,30.5669,51818
2013-03-10,30.3855,30.7483,30.3855,30.3855,44927
2013-03-11,30.0227,30.6576,29.0249,30.0227,41068
2013-03-12,29.1156,30.3855,29.1156,29.932,20672
2013-03-13,30.3855,30.7483,30.2948,30.4762,20672
2013-03-14,30.1134,30.7483,29.7506,30.4762,29216
2013-03-18,29.932,31.2925,29.932,30.6576,22326
2013-03-19,31.6553,31.6553,30.3855,30.839,6891
2013-03-20,30.839,30.839,30.3855,30.5669,39139
2013-03-24,30.1134,30.5669,30.1134,30.1134,21774
2013-03-25,29.8413,30.0227,29.7506,29.8413,39690
2013-03-27,29.0249,30.839,28.5714,29.0249,15159
2013-03-28,28.9342,29.4785,28.9342,29.1156,11025
2013-03-31,28.5714,29.3878,27.2109,29.0249,50991
2013-04-01,27.6644,29.5692,27.6644,28.39,70560
2013-04-02,28.2086,28.9342,28.1179,28.5714,24255
2013-04-03,29.0249,29.4785,28.6621,28.8435,25633
2013-04-04,28.8435,29.3878,28.5714,28.9342,125134
2013-04-07,28.9342,29.0249,28.1179,28.4807,34729
2013-04-08,28.1179,28.9342,27.5737,28.1179,5237
2013-04-09,29.0249,29.1156,28.5714,28.9342,8820
2013-04-10,28.8435,29.3878,28.7528,29.0249,24806
2013-04-11,29.0249,29.0249,28.2086,28.4807,11576
2013-04-15,28.9342,29.932,28.8435,29.5692,28665
2013-04-16,29.0249,29.0249,28.5714,28.7528,17364
2013-04-17,27.8458,29.0249,27.8458,28.8435,19845
2013-04-18,28.5714,28.8435,28.5714,28.5714,9371
2013-04-21,28.1179,29.0249,28.0272,28.2993,11025
2013-04-22,28.2993,28.2993,26.9388,27.5737,7718
2013-04-23,26.7574,27.2109,26.7574,27.0295,12679
2013-04-24,26.6667,27.0295,26.3946,26.6667,6615
2013-04-25,26.4853,26.4853,25.3968,25.4875,23704
2013-04-28,24.9433,26.3946,24.9433,25.8503,6064
2013-04-29,25.5782,26.1224,25.5782,25.7596,13506
2013-04-30,26.0317,26.2132,25.3968,25.7596,13230
2013-05-02,25.8503,25.941,25.3061,25.4875,26460
2013-05-05,25.3061,25.6689,25.1247,25.3061,19018
2013-05-06,25.7596,25.7596,25.2154,25.3061,6891
2013-05-07,25.941,26.7574,25.8503,26.4853,20672
2013-05-08,26.4853,26.6667,26.1224,26.3039,15159
2013-05-09,23.1293,26.7574,23.1293,26.1224,54298
2013-05-12,26.576,28.1179,26.576,28.0272,89578
