Date,Open,High,Low,Close,Volume
2022-06-14,11.0,11.0,11.0,11.0,6
2022-06-15,12.1,12.1,12.1,12.1,1001
2022-06-16,13.3,13.3,13.3,13.3,1
2022-06-19,14.6,14.6,14.6,14.6,1
2022-06-20,16.0,16.0,16.0,16.0,260
2022-06-21,17.6,17.6,17.6,17.6,12781
2022-06-22,19.3,19.3,19.3,19.3,1
2022-06-23,21.2,21.2,21.2,21.2,136
2022-06-26,23.3,23.3,23.3,23.3,1
2022-06-27,25.6,25.6,25.6,25.6,4760
2022-06-28,28.1,28.1,28.1,28.1,34627
2022-06-29,30.9,30.9,30.9,30.9,60268
2022-06-30,33.9,33.9,33.9,33.9,137960
2022-07-03,37.2,37.2,37.2,37.2,98855
2022-07-04,40.9,40.9,40.9,40.9,594908
2022-07-05,44.9,44.9,41.2,44.9,4939393
2022-07-06,46.9,49.3,45.7,46.7,1157313
2022-07-07,46.7,51.3,44.9,51.3,2418197
2022-07-12,55.0,56.4,52.8,56.0,1588569
2022-07-13,55.1,57.6,51.8,53.6,1833974
2022-07-14,55.5,56.0,51.1,52.8,1048602
2022-07-17,52.9,53.0,47.6,47.8,1077467
2022-07-18,45.1,48.3,43.1,43.1,1166520
2022-07-19,41.0,46.6,40.3,44.6,991204
2022-07-20,44.2,49.0,44.2,49.0,1543240
2022-07-21,49.0,53.8,48.8,52.8,1481392
2022-07-24,52.0,53.6,48.8,49.7,933261
2022-07-25,49.0,49.7,46.1,48.4,589007
2022-07-26,49.9,49.9,45.0,45.5,511762
2022-07-27,50.0,50.0,44.3,45.3,261965
2022-07-28,49.8,49.8,40.9,42.5,387727
2022-07-31,46.0,46.7,41.6,46.6,538581
2022-08-01,47.6,49.6,46.0,47.5,650942
2022-08-02,46.8,48.7,45.1,45.7,480008
2022-08-03,46.8,47.2,45.2,46.0,381508
2022-08-04,46.7,49.4,46.4,48.2,681900
2022-08-07,49.0,49.0,47.3,48.3,263800
2022-08-08,49.7,51.7,49.1,49.8,1101964
2022-08-10,48.8,53.4,48.6,52.4,1322637
2022-08-11,53.5,54.6,51.7,52.7,1057254
2022-08-14,52.2,52.6,49.2,49.8,458726
2022-08-16,48.8,51.7,48.4,50.6,679782
2022-08-17,52.5,53.5,50.6,51.9,982732
2022-08-21,52.0,52.5,48.0,49.0,428251
2022-08-22,51.0,51.0,47.2,47.6,347365
2022-08-23,47.3,48.8,46.3,46.9,348726
2022-08-24,49.4,49.4,46.5,47.6,263026
2022-08-25,48.0,50.3,47.0,49.7,416212
2022-08-28,51.3,51.3,45.6,46.3,655518
2022-08-29,48.7,48.7,46.0,46.9,137073
2022-08-30,48.9,48.9,46.0,46.8,136342
2022-08-31,49.7,49.7,44.5,45.5,178387
2022-09-01,48.5,48.5,44.0,45.3,107688
2022-09-04,46.5,46.5,42.3,44.0,103209
2022-09-05,45.1,45.5,42.6,44.0,62746
2022-09-06,48.0,48.0,43.0,43.9,181214
2022-09-07,46.5,46.5,41.9,43.0,209275
2022-09-08,44.9,44.9,42.4,42.9,166050
2022-09-11,46.1,46.1,41.2,42.2,48113
2022-09-12,43.6,43.6,41.0,42.7,40606
2022-09-13,43.4,43.9,41.2,42.5,76322
2022-09-14,46.7,46.7,41.6,42.4,73260
