Date,Open,High,Low,Close,Volume
2021-09-30,213.3,213.3,213.3,213.3,7
2021-10-03,252.7,252.7,240.0,249.6,10050
2021-10-04,220.0,220.0,204.0,205.9,1960
2021-10-05,180.0,180.0,168.0,172.0,400
2021-10-06,147.0,147.0,147.0,147.0,11
2021-10-07,125.5,125.5,120.0,123.8,400
2021-10-10,136.1,146.7,136.1,136.4,205
2021-10-11,160.0,160.0,160.0,160.0,111
2021-10-12,165.0,187.0,165.0,176.0,520
2021-10-13,188.0,188.0,188.0,188.0,1
2021-10-14,155.0,180.0,155.0,155.3,5366
2021-10-17,140.4,140.4,130.0,137.2,2350
2021-10-18,158.0,158.0,123.5,123.9,1601
2021-10-19,112.0,119.0,101.0,103.4,1001
2021-10-21,93.2,93.2,84.3,84.7,240
2021-10-24,89.1,89.1,89.0,89.1,2000
2021-10-25,104.0,104.0,104.0,104.0,1
2021-10-26,119.9,119.9,119.9,119.9,1
2021-11-02,91.0,91.0,91.0,91.0,100
2021-11-03,100.0,100.0,99.9,99.9,309
2021-11-07,93.6,109.8,93.6,102.4,11
2021-11-08,112.0,112.0,112.0,112.0,3
2021-11-09,130.0,130.0,130.0,130.0,1
2021-11-10,140.0,140.0,140.0,140.0,1
2021-11-11,150.0,150.0,150.0,150.0,1
2021-11-15,169.9,169.9,169.9,169.9,1
2021-11-18,199.0,199.0,140.0,155.0,7
2021-11-21,130.0,130.0,130.0,130.0,1
2021-11-22,0.0,130.0,130.0,130.0,1
2021-12-08,107.0,107.0,107.0,107.0,2000
2021-12-09,89.0,89.0,89.0,89.0,1
2021-12-12,71.3,71.3,71.2,71.3,550
2021-12-13,64.2,80.0,64.2,72.2,2200
2021-12-15,73.1,73.1,73.1,73.1,134
2021-12-20,73.0,74.8,71.0,72.9,700
2021-12-21,79.9,80.0,79.9,80.0,250
2021-12-22,67.1,80.5,67.1,79.3,11
2021-12-26,77.0,77.0,77.0,77.0,1
2021-12-27,88.0,91.0,88.0,90.8,3823
2022-01-05,107.0,108.0,90.0,107.7,1026
2022-01-06,126.0,126.0,114.9,115.4,1020
2022-01-09,112.0,112.0,104.0,106.1,3770
2022-01-11,90.0,90.0,90.0,90.0,500
2022-01-12,80.1,95.0,80.1,93.7,11
2022-01-13,109.0,109.0,109.0,109.0,10
2022-01-16,100.0,100.0,100.0,100.0,10
2022-01-17,107.0,107.0,107.0,107.0,10
2022-01-18,103.9,103.9,103.9,103.9,10
2022-01-19,104.0,104.0,104.0,104.0,6000
2022-01-20,107.0,107.0,107.0,107.0,10
2022-01-23,90.0,99.9,90.0,92.0,50
2022-01-24,101.0,101.0,101.0,101.0,10
2022-01-25,103.0,103.0,103.0,103.0,10
2022-01-26,106.0,106.0,90.0,93.7,70
2022-01-27,100.0,105.0,100.0,100.2,420
2022-01-30,110.0,110.0,106.0,106.4,580
2022-01-31,118.0,118.0,118.0,118.0,10
2022-02-01,123.9,123.9,105.0,105.2,910
2022-02-02,105.0,105.0,103.0,103.4,380
2022-02-03,103.5,103.5,103.5,103.5,250
2022-02-06,103.0,104.0,103.0,103.1,65
2022-02-08,104.0,104.0,104.0,104.0,5
2022-02-09,103.0,104.0,103.0,103.3,285
2022-02-10,107.0,107.0,107.0,107.0,95
2022-02-16,104.0,104.0,104.0,104.0,118
2022-02-17,104.0,104.0,104.0,104.0,200
2022-02-20,103.8,103.8,103.8,103.8,2000
2022-02-22,103.9,104.0,103.9,104.0,1500
2022-02-23,104.0,104.0,103.8,104.0,1500
2022-02-24,105.0,105.0,105.0,105.0,100
2022-03-02,105.0,105.0,104.0,104.2,1101
2022-03-06,85.0,100.0,85.0,97.0,750
2022-03-08,106.7,106.7,106.7,106.7,5
2022-03-10,109.7,109.7,90.0,90.1,201
2022-03-13,105.0,105.0,91.0,95.7,196
2022-03-14,104.9,104.9,90.0,90.3,102
2022-03-15,108.0,108.0,108.0,108.0,1
2022-03-16,110.0,124.9,110.0,110.5,727
2022-03-20,96.5,96.5,96.0,96.3,490
2022-03-21,98.7,106.9,98.7,99.1,230
2022-03-22,100.0,100.0,95.0,95.5,1060
2022-03-23,95.0,113.9,94.7,95.2,11861
2022-03-24,99.9,99.9,99.9,99.9,16
2022-03-27,108.0,108.0,101.0,101.5,1801
2022-03-28,108.9,108.9,101.0,102.0,115
2022-03-29,105.1,120.0,105.0,117.3,10119
2022-03-30,127.9,137.9,121.3,128.5,18052
2022-03-31,140.0,152.2,140.0,152.2,16992
2022-04-03,176.9,176.9,155.0,155.8,3301
2022-04-04,174.8,184.0,143.1,175.9,29480
2022-04-05,177.5,207.9,177.5,201.4,93430
2022-04-06,186.0,214.9,186.0,191.2,49559
2022-04-07,197.0,197.0,165.3,191.6,21420
2022-04-10,193.5,193.5,173.1,174.4,7541
2022-04-11,170.0,174.4,162.2,163.7,27091
2022-04-12,177.0,180.0,167.0,178.3,27130
2022-04-13,178.0,189.0,171.2,177.9,22505
2022-04-17,160.7,179.8,160.7,168.8,26053
2022-04-18,183.9,183.9,156.2,157.5,18430
2022-04-19,158.8,167.0,156.0,164.3,7522
2022-04-20,165.1,165.1,155.1,156.4,13850
2022-04-21,157.7,158.9,150.1,151.3,13821
2022-04-24,150.6,150.6,140.3,140.5,11977
2022-04-25,142.0,144.0,140.0,141.9,2791
2022-04-26,142.0,149.4,133.1,134.9,8594
2022-04-27,135.0,139.9,133.0,133.2,5596
2022-04-28,130.5,144.9,130.5,140.4,1921
2022-05-05,150.8,150.8,133.0,137.0,11360
2022-05-08,144.0,144.0,126.2,131.4,6300
2022-05-09,133.0,144.0,130.8,142.0,8344
2022-05-10,141.1,143.9,137.4,138.2,1622
2022-05-11,142.4,142.4,125.3,128.1,4949
2022-05-12,137.8,137.9,128.5,131.6,452
2022-05-16,138.5,138.5,121.0,123.0,3158
2022-05-17,129.7,129.7,117.0,117.0,1002
2022-05-18,127.9,127.9,118.8,124.3,7128
2022-05-19,125.0,127.7,123.0,123.8,6499
2022-05-22,121.3,129.7,111.7,111.9,17109
2022-05-23,120.0,123.0,111.0,113.4,11098
2022-05-24,112.3,112.3,107.2,111.4,6799
2022-05-26,109.1,114.0,108.0,111.0,4452
2022-05-29,114.0,119.5,114.0,116.9,6046
2022-05-30,118.0,120.0,114.8,116.9,5335
2022-05-31,117.9,118.7,111.5,111.9,6537
2022-06-09,147.9,158.0,147.9,149.5,24611
2022-06-12,136.1,158.0,136.1,145.6,17003
2022-06-13,145.9,145.9,132.2,133.8,8802
2022-06-14,142.5,142.5,123.7,135.0,7174
2022-06-15,141.9,141.9,131.1,140.0,1771
2022-06-16,149.0,149.0,138.0,141.1,17534
2022-06-19,149.9,150.8,142.0,144.9,29801
2022-06-20,153.9,153.9,142.0,144.1,24835
2022-06-21,158.5,158.5,143.0,150.3,39266
2022-06-22,165.3,165.3,146.5,147.1,14674
2022-06-23,161.8,161.8,147.0,159.0,31973
2022-06-26,174.9,174.9,158.0,161.1,19496
2022-06-27,163.9,163.9,147.6,149.2,9250
2022-06-28,164.1,164.1,140.2,147.4,21251
2022-06-29,162.1,162.1,148.0,149.6,27693
