Date,Open,High,Low,Close,Volume
2013-04-16,50.4209,50.5051,43.771,46.2963,7099726
2013-04-17,44.6128,48.2323,44.6128,46.5488,2184970
2013-04-18,47.9798,52.6094,46.633,51.2626,1735668
2013-04-21,50.5051,53.2828,49.6633,50.2525,2925807
2013-04-22,49.2424,50.4209,48.3165,48.569,1585742
2013-04-23,47.8956,48.8215,45.202,45.5387,1522303
2013-04-24,45.8754,46.0438,42.0034,42.2559,2330381
2013-04-25,42.0034,43.0976,39.0572,39.5623,1238609
2013-04-28,38.8889,38.9731,35.8586,36.0269,1156874
2013-04-29,35.6902,39.5623,35.0168,39.4781,1079417
2013-04-30,40.404,40.8249,37.7104,39.7306,1012414
2013-05-02,39.2256,39.5623,37.8788,38.2155,740362
2013-05-05,37.8788,38.3838,35.7744,36.0269,1040688
2013-05-06,35.3535,36.0269,33.9226,34.596,994831
2013-05-07,35.1852,36.532,34.9327,36.0269,724918
2013-05-08,36.2795,37.5421,35.6061,35.6902,862963
2013-05-09,35.7744,36.532,35.2694,36.0269,668844
2013-05-12,36.7845,38.5522,36.4478,38.2997,1120522
2013-05-13,38.7205,39.1414,37.4579,37.7104,843005
2013-05-14,37.8788,39.3939,37.8788,38.7205,1242173
2013-05-15,38.8889,39.3939,37.5421,37.7104,1074427
2013-05-16,37.7104,39.9832,37.7104,39.5623,1236708
2013-05-19,40.404,43.4343,40.3199,43.266,1955923
2013-05-20,42.9293,43.3502,40.9091,41.1616,1461478
2013-05-21,41.4983,41.9192,39.6465,40.0673,1089871
2013-05-22,39.5623,40.7407,38.2155,38.8047,882446
2013-05-26,38.7205,39.3939,37.2896,37.4579,361627
2013-05-27,37.037,38.9731,37.037,38.6364,372794
2013-05-28,39.0572,39.6465,38.2155,39.1414,684526
2013-05-29,39.3939,39.9832,39.1414,39.3939,688090
2013-05-30,40.0673,40.404,39.1414,39.3098,793346
2013-06-02,39.899,41.2458,39.3939,40.9091,1320106
2013-06-03,41.2458,41.33,39.9832,40.8249,960617
2013-06-04,40.8249,41.1616,39.8148,40.1515,979625
2013-06-05,39.7306,40.4882,39.4781,39.6465,804751
2013-06-06,39.3098,40.0673,38.0471,38.3838,529610
2013-06-09,38.1313,38.2155,36.1111,36.2795,588298
2013-06-10,36.7003,38.1313,36.7003,37.8788,670270
2013-06-11,38.6364,38.9731,37.7104,38.1313,767210
2013-06-12,38.9731,39.9832,38.1313,39.0572,883159
2013-06-13,39.4781,40.8249,38.5522,39.6465,1030471
2013-06-16,39.6465,42.5084,39.5623,41.7508,1348380
2013-06-17,42.6768,42.7609,39.4781,39.6465,1012176
2013-06-18,39.8148,40.6566,39.0572,40.1515,584258
2013-06-19,39.8148,42.3401,39.7306,40.1515,1415383
2013-06-20,39.4781,40.2357,38.7205,38.8889,565250
2013-06-23,39.1414,39.6465,37.4579,37.7104,418414
2013-06-24,38.0471,40.8249,37.2896,40.2357,823284
2013-06-26,41.6667,42.7609,40.6566,41.7508,2176416
2013-06-27,41.7508,42.6768,40.7407,40.9091,964418
2013-06-30,40.404,40.7407,38.8889,40.2357,497772
2013-07-02,40.404,43.1818,40.404,42.8451,1097712
2013-07-03,42.9293,44.7811,42.8451,43.5185,1490940
2013-07-04,43.1818,44.4444,42.6768,42.8451,910246
2013-07-07,41.6667,43.5185,41.33,41.5825,701395
2013-07-08,41.9192,42.0875,40.404,40.9091,613958
2013-07-09,41.2458,43.266,41.2458,41.7508,920462
2013-07-10,41.33,42.4242,39.899,39.9832,521532
2013-07-11,40.404,40.9933,38.9731,39.3098,391327
2013-07-14,39.5623,40.1515,38.1313,38.2155,258271
2013-07-15,38.7205,39.9832,37.3737,38.0471,533174
2013-07-16,38.2997,39.4781,37.6263,37.8788,335729
2013-07-17,37.2896,38.7205,36.7003,36.9529,444787
2013-07-18,37.037,38.6364,36.6162,36.7845,367567
2013-07-21,36.7845,37.4579,35.5219,36.1953,215503
2013-07-22,35.7744,36.8687,35.7744,36.1111,229759
2013-07-23,36.2795,36.6162,34.9327,35.101,167508
2013-07-24,35.3535,36.9529,35.101,36.532,156103
2013-07-25,36.1953,36.6162,35.0168,35.9428,167033
2013-07-28,34.9327,36.1111,34.6801,34.8485,115474
2013-07-29,35.5219,35.9428,35.0168,35.2694,101218
2013-07-30,35.1852,36.1953,35.0168,35.6902,107633
2013-07-31,35.7744,35.8586,34.596,34.8485,159192
2013-08-01,34.7643,35.4377,34.7643,35.0168,42293
2013-08-04,34.596,34.8485,34.0909,34.5118,74369
2013-08-05,34.8485,36.0269,34.4276,35.6061,113098
2013-08-12,35.5219,35.6902,35.101,35.5219,49658
2013-08-13,35.6061,36.7845,35.5219,36.6162,122602
2013-08-14,37.037,37.3737,35.9428,36.6162,104306
2013-08-18,36.6162,37.7946,36.6162,37.4579,226908
2013-08-19,38.0471,38.2997,37.2054,37.963,260410
2013-08-20,38.2997,38.7205,37.037,37.2896,222394
2013-08-21,37.4579,37.8788,36.7003,36.7003,222869
2013-08-22,36.4478,39.899,36.4478,38.9731,395366
2013-08-25,40.3199,40.3199,37.963,38.8889,533412
2013-08-26,38.468,39.8148,38.468,38.5522,375408
2013-08-27,38.7205,39.2256,37.8788,38.1313,209563
2013-08-29,37.5421,38.2997,36.2795,36.4478,340956
2013-09-01,37.7946,37.7946,36.7845,36.9529,129017
2013-09-02,37.7104,38.2997,36.7845,37.037,215741
2013-09-03,37.7104,39.1414,36.8687,38.2155,355212
2013-09-04,38.9731,39.0572,37.4579,37.963,248530
2013-09-05,37.963,38.9731,36.8687,37.2896,351886
2013-09-08,36.9529,38.0471,36.7845,37.6263,203623
2013-09-09,37.4579,38.1313,37.2054,37.5421,208850
2013-09-10,37.8788,38.1313,36.9529,37.037,301514
2013-09-11,37.4579,38.0471,36.6162,36.7003,197446
2013-09-12,36.8687,37.4579,36.4478,36.6162,154915
2013-09-15,37.4579,37.7104,36.8687,37.037,287496
2013-09-16,37.7104,39.3939,37.7104,39.2256,828274
2013-09-17,39.4781,39.4781,37.8788,38.5522,340243
2013-09-18,38.7205,39.1414,38.2997,38.5522,1019066
2013-09-19,38.8047,38.9731,38.0471,38.468,377071
2013-09-22,38.7205,38.7205,37.037,37.1212,211939
2013-09-23,37.1212,38.8889,36.7003,38.2997,241639
2013-09-24,38.2997,38.2997,37.2896,37.3737,201010
2013-09-25,37.3737,37.5421,36.7845,37.1212,131630
2013-09-26,36.7845,37.7946,36.7845,36.8687,177725
2013-09-29,36.8687,36.9529,35.8586,36.0269,105970
2013-09-30,35.6061,36.1953,35.5219,35.6061,80071
2013-10-01,36.1953,36.6162,35.6902,35.6902,73656
2013-10-02,36.2795,38.1313,36.2795,37.2896,110246
2013-10-03,37.7104,38.5522,37.2054,37.4579,142560
2013-10-06,36.3636,37.7946,36.3636,36.9529,164894
2013-10-07,36.532,37.2896,36.2795,36.2795,71042
2013-10-08,36.2795,37.2896,36.2795,36.6162,80546
2013-10-09,36.9529,38.7205,36.9529,38.1313,298426
2013-10-10,38.7205,40.0673,37.5421,39.7306,696643
2013-10-20,39.9832,39.9832,37.8788,37.963,237125
2013-10-21,37.2054,38.5522,36.0269,37.963,258746
2013-10-22,38.0471,38.9731,37.6263,38.1313,315295
2013-10-23,37.7946,37.7946,35.6061,35.8586,289397
2013-10-24,35.9428,37.2054,35.3535,36.8687,295574
2013-10-27,37.2054,37.2054,36.3636,36.7003,100267
2013-10-28,38.1313,40.7407,38.0471,40.0673,1308938
2013-10-29,42.0875,42.0875,39.3939,39.9832,1104840
2013-10-30,40.404,40.7407,39.2256,39.7306,325750
2013-10-31,39.9832,40.1515,38.7205,39.1414,278942
2013-11-03,38.7205,39.0572,38.1313,38.2155,351648
2013-11-04,38.468,40.0673,38.468,39.3098,643896
2013-11-05,39.5623,39.7306,39.1414,39.3939,474250
2013-11-06,38.9731,39.9832,38.8047,38.8889,455242
2013-11-07,39.5623,39.8148,38.9731,39.0572,478289
2013-11-10,39.0572,39.0572,37.7946,37.963,366617
2013-11-11,38.2997,38.6364,37.963,38.0471,195782
2013-11-12,37.7104,38.7205,37.6263,38.2155,498010
2013-11-13,38.7205,40.5724,38.3838,40.3199,1202494
2013-11-14,40.8249,43.3502,40.4882,42.0875,3616272
2013-11-18,46.2727,46.2727,44.3636,46.2727,3314520
2013-11-19,48.5455,49.7273,47.2727,49.1818,3131480
2013-11-20,50.4545,54.0909,49.1818,52.6364,2388980
2013-11-21,52.7273,55.9091,50.5455,55.0,3500420
2013-11-24,55.3636,56.7273,51.6364,55.1818,3917100
2013-11-25,55.4545,60.6364,55.4545,59.5455,3290320
