Date,Open,High,Low,Close,Volume
2012-10-01,251.0,251.0,247.5,249.65,1050
2012-10-02,250.55,255.0,250.5,251.15,650
2012-10-03,256.0,256.0,256.0,256.0,50
2012-10-04,257.3,257.35,250.5,255.05,150
2012-10-07,248.0,250.05,247.5,249.6,600
2012-10-08,250.0,250.0,249.6,249.9,250
2012-10-09,253.5,253.5,253.45,253.45,1450
2012-10-10,253.5,254.95,250.5,252.65,1450
2012-10-11,253.25,256.0,253.25,254.3,850
2012-10-15,252.5,254.5,252.5,252.6,1000
2012-10-16,251.2,252.5,250.55,251.6,1100
2012-10-17,252.05,252.05,252.0,252.0,100
2012-10-18,252.0,252.0,250.5,251.35,400
2012-10-22,250.0,250.0,250.0,250.0,150
2012-10-23,250.0,252.5,247.5,249.15,850
2012-11-04,248.5,250.0,248.5,249.0,150
2012-11-05,250.0,250.0,249.0,249.8,300
2012-11-06,251.85,251.85,251.8,251.8,100
2012-11-07,247.5,247.55,247.5,247.5,200
2012-11-08,250.0,266.25,250.0,266.05,11800
2012-11-11,274.5,274.5,255.0,266.85,1750
2012-11-12,272.25,272.25,265.5,265.7,2200
2012-11-13,265.8,271.75,265.75,268.75,1600
2012-11-14,270.0,288.9,269.0,288.15,4050
2012-11-15,299.5,309.75,299.5,309.0,11150
2012-11-18,310.0,317.0,309.25,311.5,2650
2012-11-19,295.0,296.5,288.6,292.0,2550
2012-11-20,285.0,287.5,285.0,286.05,2050
2012-11-21,285.0,297.45,283.25,288.2,950
2012-11-22,285.05,293.5,285.0,286.0,550
2012-11-26,277.5,277.5,264.6,271.05,200
2012-11-27,275.0,280.0,268.1,278.4,550
2012-11-28,276.05,279.0,270.5,274.35,650
2012-11-29,287.0,287.5,278.0,281.0,500
2012-12-02,279.5,279.75,274.5,277.4,900
2012-12-03,279.75,284.0,271.5,276.2,350
2012-12-04,267.55,277.4,267.55,271.9,600
2012-12-05,275.0,279.45,272.0,275.1,450
2012-12-06,272.75,273.0,272.75,272.85,200
2012-12-09,261.55,277.95,261.55,267.0,150
2012-12-10,280.0,280.0,268.5,275.0,650
2012-12-11,270.0,273.5,270.0,271.9,400
2012-12-18,260.0,260.0,260.0,260.0,200
2012-12-19,260.5,260.95,260.5,260.7,200
2012-12-20,261.0,264.5,259.25,261.3,700
2012-12-23,255.0,255.0,251.0,252.35,750
2012-12-26,257.55,257.55,257.5,257.5,100
2012-12-27,263.5,267.0,263.5,265.15,650
2013-01-02,265.0,265.0,262.5,263.75,200
2013-01-03,262.5,262.5,255.5,257.55,450
2013-01-06,250.5,265.0,250.5,256.3,750
2013-01-07,256.5,256.5,255.0,255.65,350
2013-01-08,254.0,254.0,252.5,252.85,600
2013-01-09,253.55,253.55,253.0,253.2,500
2013-01-10,253.5,253.5,252.55,253.1,400
2013-01-13,257.0,257.0,257.0,257.0,50
2013-01-14,253.55,254.3,253.5,253.85,300
2013-01-15,253.55,253.55,253.0,253.25,400
2013-01-16,267.5,267.5,255.0,259.55,1850
2013-01-17,262.5,271.75,262.5,270.75,3500
2013-01-20,272.5,275.0,263.15,266.35,1400
2013-01-21,259.0,267.5,259.0,264.45,600
2013-01-22,268.0,268.0,262.05,264.05,1600
2013-01-23,265.0,265.0,264.9,264.95,650
2013-01-24,263.5,263.5,256.0,261.7,1700
2013-01-27,259.0,259.0,256.5,257.5,1700
2013-01-28,261.0,261.25,255.0,258.25,800
2013-01-29,256.0,260.0,256.0,258.6,700
2013-01-30,260.95,260.95,255.25,256.15,950
2013-01-31,256.75,256.75,256.5,256.55,600
2013-02-03,257.5,257.5,254.75,255.7,450
2013-02-04,255.05,255.05,254.05,254.65,900
2013-02-05,254.95,262.5,254.95,256.6,850
2013-02-06,256.5,265.0,256.5,260.4,550
2013-02-07,259.5,262.0,259.5,260.3,2150
2013-02-10,262.5,262.5,261.0,261.5,1650
2013-02-11,260.05,260.15,260.0,260.0,2850
2013-02-12,261.0,261.0,261.0,261.0,50
2013-02-14,261.0,264.0,260.0,262.35,3150
2013-02-17,261.5,261.5,258.05,260.35,1000
2013-02-18,258.35,260.5,258.35,259.4,200
2013-02-19,260.0,264.0,258.0,258.8,600
2013-02-24,255.5,255.5,252.0,253.25,500
2013-02-25,256.0,256.0,255.0,255.25,2000
2013-02-26,259.8,262.25,259.8,261.55,1350
2013-02-27,260.0,263.25,260.0,260.0,3750
2013-02-28,263.75,263.75,260.5,262.65,600
2013-03-04,262.65,262.65,260.15,261.45,2500
2013-03-05,260.0,260.5,260.0,260.15,800
2013-03-06,260.5,275.0,260.5,268.25,5000
2013-03-07,265.0,268.0,265.0,266.55,350
2013-03-11,265.0,267.0,265.0,265.6,1750
2013-03-12,267.5,272.0,267.5,269.9,1450
2013-03-13,272.5,272.5,270.0,270.9,950
2013-03-14,274.4,274.5,265.0,272.25,2550
2013-03-18,272.5,277.25,272.5,274.25,4600
2013-03-19,274.45,274.45,270.5,271.0,6300
2013-03-20,280.0,280.0,268.15,273.35,1500
2013-03-24,269.0,275.0,269.0,272.85,450
2013-03-25,267.55,267.55,265.0,266.05,1200
2013-03-27,265.0,265.0,260.0,263.15,1350
2013-03-28,266.0,267.45,265.0,265.9,1350
2013-04-01,246.25,250.0,246.0,246.3,1250
2013-04-02,250.0,252.5,244.55,250.05,1200
2013-04-03,250.0,250.05,250.0,250.0,2750
2013-04-04,252.5,252.5,252.5,252.5,100
2013-04-07,250.0,253.0,239.0,250.8,1200
2013-04-08,253.0,253.0,252.5,252.7,2200
2013-04-09,250.0,254.25,250.0,253.75,1800
2013-04-10,253.75,253.75,251.55,252.15,1800
2013-04-11,250.0,250.5,248.0,249.55,1350
2013-04-15,248.5,249.05,248.5,248.9,350
2013-04-16,248.0,248.5,248.0,248.05,1800
2013-04-17,255.0,255.0,254.0,254.25,1050
2013-04-18,250.0,250.0,250.0,250.0,750
2013-04-21,255.0,255.0,250.0,252.75,400
2013-04-22,260.0,271.7,260.0,271.65,10600
2013-04-23,285.0,288.0,275.0,286.15,10450
2013-04-24,298.0,298.0,285.0,295.25,5350
2013-04-25,285.0,292.5,285.0,290.7,3400
2013-04-28,282.6,285.0,282.55,283.15,1550
2013-04-29,283.55,283.55,282.5,283.25,1100
