Date,Open,High,Low,Close,Volume
2012-10-01,29.2,30.0,28.5,29.65,126750
2012-10-02,30.025,30.8,30.0,30.1,133850
2012-10-03,30.0,30.5,29.6,29.725,161100
2012-10-04,29.35,30.45,29.2,29.525,141450
2012-10-07,28.6,30.2,28.6,28.825,101300
2012-10-08,28.5,29.475,28.0,28.2,127500
2012-10-09,29.7,29.7,28.525,29.25,100550
2012-10-10,30.0,30.0,28.5,28.65,82250
2012-10-11,28.225,28.9,28.2,28.325,71950
2012-10-14,28.1,28.6,27.6,27.725,119100
2012-10-15,28.5,28.5,27.725,27.8,75600
2012-10-16,28.2,28.2,27.6,27.825,58250
2012-10-17,28.5,28.5,27.35,27.475,73650
2012-10-18,27.25,27.8,27.25,27.575,40500
2012-10-21,27.625,27.8,27.0,27.125,54700
2012-10-22,27.15,27.3,27.0,27.1,62050
2012-10-23,27.1,27.8,27.1,27.35,64300
2012-10-30,26.025,27.975,26.025,27.125,36700
2012-10-31,27.025,27.2,26.8,26.85,44500
2012-11-01,26.25,27.5,26.25,26.75,35950
2012-11-04,26.75,27.2,26.325,26.4,59850
2012-11-05,26.25,26.8,26.2,26.275,53400
2012-11-06,26.35,26.4,26.0,26.1,59250
2012-11-07,26.1,26.2,25.525,25.6,80400
2012-11-08,25.5,27.825,25.5,27.825,131300
2012-11-11,29.9,30.25,28.2,29.275,474450
2012-11-12,29.25,29.7,27.8,28.25,125400
2012-11-13,27.675,28.8,27.675,28.4,75050
2012-11-14,29.0,29.0,27.875,28.075,61200
2012-11-15,28.025,28.575,28.025,28.425,76300
2012-11-18,28.4,28.625,27.975,28.025,64300
2012-11-19,27.8,27.9,27.15,27.2,68650
2012-11-20,26.875,27.45,26.575,26.625,59750
2012-11-21,27.4,27.4,26.375,26.55,43700
2012-11-22,27.0,27.0,26.2,26.275,81850
2012-11-26,26.275,26.85,25.925,26.025,43000
2012-11-27,25.925,26.2,25.7,25.9,45400
2012-11-28,26.3,26.3,25.525,25.775,48550
2012-11-29,26.0,27.25,26.0,27.1,63450
2012-12-02,28.0,28.5,26.5,26.85,72400
2012-12-03,27.0,27.0,26.4,26.5,40000
2012-12-04,26.65,28.2,26.4,27.45,114750
2012-12-05,27.6,28.0,27.2,27.375,81550
2012-12-06,26.8,27.3,26.8,26.95,36450
2012-12-09,27.0,27.0,26.425,26.525,43750
2012-12-10,25.9,26.375,25.9,26.275,45450
2012-12-11,26.975,27.0,26.0,26.275,61650
2012-12-12,26.1,27.1,26.1,26.775,81950
2012-12-13,26.5,27.0,26.425,26.575,85850
2012-12-17,26.9,26.975,26.4,26.75,88300
2012-12-18,26.4,26.8,26.3,26.35,65750
2012-12-19,26.4,26.7,26.4,26.525,85950
2012-12-20,26.5,26.9,26.5,26.75,46950
2012-12-23,26.6,26.95,26.325,26.475,49000
2012-12-24,26.5,26.7,26.35,26.5,55550
2012-12-26,26.75,28.325,26.525,27.875,265300
2012-12-27,28.0,28.6,27.525,27.625,126150
2012-12-30,27.55,27.575,27.3,27.35,71200
2013-01-01,27.325,27.85,27.325,27.425,77000
2013-01-02,27.4,27.4,26.975,27.15,41700
2013-01-03,27.2,27.35,27.0,27.225,50150
2013-01-06,27.2,27.425,27.125,27.2,49950
2013-01-07,27.375,27.375,26.9,27.0,48250
2013-01-08,27.025,27.3,27.025,27.175,47700
2013-01-09,27.375,27.7,27.175,27.225,87500
2013-01-10,27.25,28.3,27.25,27.8,205650
2013-01-13,28.0,28.2,27.575,27.675,63150
2013-01-14,28.0,28.0,27.425,27.55,48000
2013-01-15,27.425,27.775,27.4,27.475,45850
2013-01-16,27.275,27.5,27.275,27.3,65000
2013-01-17,27.275,27.675,27.275,27.45,43250
2013-01-20,27.525,27.525,27.225,27.275,46500
2013-01-21,27.2,27.225,27.0,27.025,59050
2013-01-22,27.5,27.5,27.0,27.2,43000
2013-01-23,27.1,27.325,27.1,27.2,38450
2013-01-24,27.1,27.625,27.075,27.425,90700
2013-01-27,27.35,27.6,27.175,27.175,127650
2013-01-28,27.225,27.4,27.075,27.125,56950
2013-01-29,27.275,27.55,27.175,27.225,115550
2013-01-30,27.25,27.5,27.15,27.2,75850
2013-01-31,27.025,27.25,27.025,27.125,72400
2013-02-03,27.2,27.45,27.0,27.05,130500
2013-02-04,27.0,27.3,27.0,27.0,95350
2013-02-05,27.5,27.5,26.825,26.925,123400
2013-02-06,27.0,27.2,26.575,26.925,76950
2013-02-07,27.1,27.2,26.825,26.925,79950
2013-02-10,27.5,29.275,27.5,29.275,564850
2013-02-11,30.5,31.475,29.825,30.025,472650
