Date,Open,High,Low,Close,Volume
2012-10-01,141.2121,145.3939,136.3636,143.0909,78705
2012-10-02,146.0606,154.5454,146.0606,147.2727,59565
2012-10-03,148.8485,149.394,141.8788,143.3333,65670
2012-10-04,143.0303,143.5758,139.5152,141.2727,24915
2012-10-07,143.1515,143.9394,132.7879,136.3636,38115
2012-10-08,140.606,140.606,127.9394,129.2121,83820
2012-10-09,131.2121,140.4242,131.2121,138.3636,78210
2012-10-10,142.4242,142.4242,133.4545,134.6667,51645
2012-10-11,136.0606,143.6364,134.303,139.8788,66000
2012-10-14,145.3939,147.2727,137.1515,138.9091,75900
2012-10-15,144.2424,144.2424,135.0909,138.1212,36795
2012-10-16,140.9697,140.9697,137.6364,138.2424,15510
2012-10-17,138.7879,140.303,137.8788,138.2424,23100
2012-10-18,142.4242,142.7273,136.4242,138.303,37620
2012-10-21,138.1818,141.1515,133.9394,135.0303,21285
2012-10-22,93.9394,137.5758,93.9394,131.6364,62535
2012-10-23,133.2727,133.2727,130.303,131.8788,53955
2012-10-30,131.5152,132.7879,128.5455,129.9394,14520
2012-10-31,128.4242,129.2727,127.5758,127.9394,26400
2012-11-01,128.7273,128.7273,126.0606,126.1212,27060
2012-11-04,125.4546,126.1212,124.2424,124.4848,35970
2012-11-05,125.1515,129.394,125.1515,128.0606,30195
2012-11-06,127.5758,129.697,126.0606,126.7879,23265
2012-11-07,126.1212,126.4848,125.1515,125.1515,28875
2012-11-08,121.2121,124.2424,121.2121,123.3939,28215
2012-11-11,120.9697,123.5758,119.3939,120.2424,15180
2012-11-12,123.0303,123.0303,119.3939,120.1212,10560
2012-11-13,119.3939,129.0909,119.3939,128.1818,21120
2012-11-14,129.0909,133.6364,128.4848,131.2121,70455
2012-11-15,130.7273,135.1515,130.7273,132.4242,51810
2012-11-18,133.2727,134.2424,130.303,130.9091,39270
2012-11-19,130.3636,130.3636,124.2424,125.2121,49005
2012-11-20,124.4242,128.4848,124.3636,125.5152,54780
2012-11-22,130.9091,134.4727,130.9091,131.9273,33138
2012-11-26,139.6364,139.6364,127.2727,128.5818,12925
2012-11-27,125.9636,129.4545,125.8182,127.7091,1513
2012-11-28,139.6364,139.6364,125.8182,126.5455,5088
2012-11-29,132.3636,134.1818,129.5273,132.4364,17600
2012-12-02,133.1636,136.0,128.0727,128.1454,12238
2012-12-03,129.4545,129.4545,123.6364,124.4364,11000
2012-12-04,123.6364,125.8182,122.6909,124.0,6463
2012-12-05,124.0727,124.2909,122.3273,122.6182,14988
2012-12-06,123.4909,126.1818,123.1273,124.5091,6875
2012-12-09,121.4545,122.5455,121.4545,122.2546,5088
2012-12-10,122.9091,123.4182,121.6,122.0364,13750
2012-12-11,122.8364,124.1454,122.4727,123.2,3713
2012-12-12,123.7091,124.6545,122.6909,123.3455,4263
2012-12-13,125.4545,125.4545,123.1273,124.2182,1925
2012-12-17,125.0909,125.8182,123.2727,123.5636,10175
2012-12-18,125.0909,130.9091,124.0,130.1818,20900
2012-12-19,134.4727,134.4727,127.7091,132.6545,14713
2012-12-20,130.9091,131.7818,128.0,129.6,8800
2012-12-23,129.4545,129.4545,125.8909,126.5455,8938
2012-12-24,130.1091,130.1091,125.8182,127.2,7563
2012-12-26,127.6364,128.0,125.8182,126.3273,6188
2012-12-27,126.0364,126.2546,124.2182,124.5091,7563
2012-12-30,124.5091,125.0909,123.7818,124.2182,5913
2013-01-01,124.7273,124.7273,123.9273,124.1454,3438
2013-01-02,123.6364,123.7091,122.9091,122.9091,9075
2013-01-03,122.1818,123.2727,121.9636,122.2546,6600
2013-01-06,122.2546,122.2546,121.7454,122.0364,8525
2013-01-07,120.9455,120.9455,120.3636,120.4364,5775
2013-01-08,120.9455,121.0909,120.1454,120.5818,2613
2013-01-09,120.0,121.3091,119.3455,119.4909,5913
2013-01-10,120.7273,121.0909,120.7273,120.8,3850
2013-01-13,121.6,123.3455,120.9455,122.3273,3850
2013-01-14,122.4,122.9091,118.5455,120.0727,13200
2013-01-15,120.0727,121.4545,120.0727,120.7273,2888
2013-01-16,120.0727,121.4545,120.0,120.3636,2750
2013-01-17,120.7273,121.4545,120.3636,120.8,5363
2013-01-20,120.9455,121.4545,119.2727,120.3636,5913
2013-01-21,119.4182,119.4182,117.7454,118.4727,5088
2013-01-22,116.9455,117.8182,116.9455,117.4545,6738
2013-01-23,119.2727,119.2727,116.3636,116.5091,11825
2013-01-24,117.8182,118.4727,116.3636,116.5818,20350
2013-01-27,116.7273,117.8182,116.3636,116.5091,17600
2013-01-28,116.5091,116.5091,106.9818,108.7273,45238
2013-01-29,108.4364,113.8182,105.8182,111.2,19663
2013-01-30,112.7273,112.7273,109.0909,111.4909,10450
2013-01-31,111.2727,111.2727,109.5273,109.6,9763
2013-02-03,108.6545,109.8909,108.6545,109.0909,13338
2013-02-04,110.5455,110.5455,109.4545,109.7454,3713
2013-02-05,108.9455,109.9636,108.9455,109.1636,12375
2013-02-06,110.5455,110.5455,108.5091,108.7273,12650
2013-02-07,108.7273,109.0909,108.3636,108.5818,9625
2013-02-10,108.0727,109.3818,108.0,108.5818,9213
2013-02-11,110.3273,110.5455,109.0909,109.3091,15538
2013-02-12,110.5455,110.5455,108.1454,108.2182,21725
