Date,Open,High,Low,Close,Volume
2012-10-01,115.1515,116.6061,113.9394,115.0212,19800
2012-10-02,115.1515,116.6727,115.1515,115.8939,54450
2012-10-03,115.1818,117.5758,114.0909,115.5,6600
2012-10-07,112.4546,115.1515,112.4242,113.3424,4950
2012-10-08,112.9091,112.9091,112.5758,112.6394,16500
2012-10-09,112.1212,118.1818,112.1212,117.3061,42900
2012-10-10,113.7879,115.1515,113.697,114.0909,13200
2012-10-14,110.1818,110.1818,110.1818,110.1818,1650
2012-10-16,115.1515,115.1515,115.1515,115.1515,26400
2012-10-30,115.1515,115.1515,115.1515,115.1515,4950
2012-10-31,113.9394,113.9394,113.6364,113.7121,6600
2012-11-01,116.3636,116.6667,116.3636,116.5909,6600
2012-11-05,113.6364,113.6364,112.3333,113.0909,18150
2012-11-06,112.1212,113.6364,112.1212,112.8788,3300
2012-11-07,114.8485,115.7576,114.8485,115.1455,64350
2012-11-11,113.6364,113.8182,113.6364,113.697,13200
2012-11-12,112.7273,112.7273,112.7273,112.7273,1650
2012-11-13,112.1212,112.1212,110.9091,111.3667,11550
2012-11-19,110.9091,111.3636,109.697,110.397,28050
2012-11-20,110.4546,110.6061,110.4546,110.5303,6600
2012-11-21,109.5454,109.5454,109.2727,109.3454,24750
2012-11-22,109.3485,109.3485,108.1818,108.897,9900
2012-11-26,108.8182,108.8485,107.1212,108.6152,42900
2012-11-27,108.1818,108.1818,108.1818,108.1818,1650
2012-11-28,108.9394,108.9394,108.4848,108.7091,8250
2012-11-29,109.3939,111.5152,109.3636,110.4667,23100
2012-12-02,110.6061,110.6061,110.0606,110.4121,14850
2012-12-03,111.8182,111.8182,111.5152,111.6667,3300
2012-12-04,109.0909,109.0909,109.0909,109.0909,6600
2012-12-05,109.3939,109.3939,109.2424,109.2909,4950
2012-12-06,108.8485,108.8485,108.8182,108.8242,16500
2012-12-09,108.5152,108.6061,108.1818,108.4424,33000
2012-12-11,107.8788,107.8788,107.8788,107.8788,9900
2012-12-12,108.1818,108.1818,107.6364,107.7364,47850
2012-12-13,108.4848,112.8788,107.5758,111.4788,49500
2012-12-17,109.3939,113.4848,109.3939,112.0515,14850
2012-12-18,110.3515,111.3636,110.3485,111.2515,56100
2012-12-19,110.003,113.9394,110.003,112.7273,8250
2012-12-20,113.6364,117.4242,113.6364,117.1182,52800
2012-12-23,118.1818,122.7273,116.8788,122.6727,72600
2012-12-24,125.7576,128.3485,124.2424,128.0727,74250
2012-12-26,130.303,133.6364,125.7879,133.2848,117150
2012-12-27,137.5758,138.9091,134.8515,138.5818,120450
2012-12-30,141.8182,141.8182,133.3333,138.5454,84150
2013-01-01,133.3636,133.3636,133.0303,133.203,6600
