Date,Open,High,Low,Close,Volume
2012-10-01,60.1478,62.6912,60.1478,60.7665,400784
2012-10-02,63.8598,63.8598,62.0725,62.4162,515709
2012-10-03,63.1724,64.1347,61.4539,62.6224,634271
2012-10-04,64.2035,64.6847,62.21,62.6224,469884
2012-10-07,62.6224,63.5161,59.9416,60.5602,334593
2012-10-08,61.8663,61.8663,59.8041,59.8728,256036
2012-10-09,61.1789,62.0038,60.6977,61.1102,189845
2012-10-10,58.4293,62.5537,58.4293,59.8041,243671
2012-10-11,60.4915,61.935,58.9105,59.1167,352050
2012-10-14,60.4915,60.5602,59.3229,60.0791,224759
2012-10-15,60.2165,60.5602,58.773,58.9792,232033
2012-10-16,60.4915,60.4915,57.9481,58.3605,344776
2012-10-17,58.498,58.9792,57.2607,57.4669,247308
2012-10-18,57.7419,58.9792,57.3982,58.0856,90195
2012-10-21,58.0856,58.4293,56.7795,57.3294,143293
2012-10-22,57.0545,63.0349,57.0545,61.1102,643727
2012-10-23,63.2411,63.2411,58.773,60.0791,463338
2012-10-30,60.4915,60.8352,59.2542,60.5602,271311
2012-10-31,60.4915,62.6224,60.4228,60.9039,488796
2012-11-01,61.1789,63.1724,60.9727,61.7288,808114
2012-11-04,61.8663,61.8663,60.1478,60.1478,291677
2012-11-05,59.8041,60.354,59.1854,59.7354,240034
2012-11-06,60.1478,60.1478,58.6355,58.9792,472794
2012-11-08,57.2332,60.1581,57.1542,58.1818,461725
2012-11-11,58.498,58.498,54.8617,55.0198,221375
2012-11-12,57.0751,57.3123,54.5455,54.7826,173938
2012-11-13,54.4664,58.1028,54.3874,56.996,382030
2012-11-14,56.1265,57.3913,56.1265,57.0751,394048
2012-11-15,58.6561,60.0,58.1818,59.3676,479435
2012-11-18,59.6838,61.581,58.8933,60.1581,531933
2012-11-19,60.0791,60.0791,57.5494,58.0237,433895
2012-11-20,58.1028,58.8142,57.0751,57.2332,100568
2012-11-21,58.2609,59.2885,56.996,58.8142,225803
2012-11-22,59.2885,59.4466,57.5494,57.8656,363055
2012-11-26,57.7075,57.8656,55.336,55.5731,182160
2012-11-27,55.415,56.1265,55.0198,55.0988,90448
2012-11-28,57.5494,57.5494,53.0435,54.0711,161920
2012-11-29,55.336,57.7075,54.9407,57.2332,345345
2012-12-02,57.3123,57.7075,55.6522,55.8893,184690
2012-12-03,54.6245,55.9684,54.2292,54.3083,135988
2012-12-04,53.7549,56.6008,53.7549,54.6245,122073
2012-12-05,54.5455,55.0988,53.913,54.1502,79063
2012-12-06,53.7549,54.1502,53.2016,53.4387,104995
2012-12-09,52.1739,54.1502,52.1739,52.8063,79695
2012-12-10,52.5692,53.4387,52.1739,52.6482,48070
2012-12-11,52.9644,53.2806,52.4111,52.9644,37318
2012-12-12,53.7549,54.5455,52.7273,52.9644,53130
2012-12-13,52.9644,53.5968,52.4111,52.6482,25933
2012-12-17,53.7549,54.8617,53.7549,54.0711,98038
2012-12-18,54.5455,54.5455,52.8854,53.1225,103730
2012-12-19,53.2016,55.7312,53.2016,55.0988,101200
2012-12-20,55.336,56.3636,53.7549,53.9921,197973
2012-12-23,54.5455,54.8617,53.6759,53.9921,117013
2012-12-24,53.7549,53.9921,52.9644,53.0435,94243
2012-12-26,53.1225,54.5455,53.1225,53.5968,75268
2012-12-27,56.8379,56.917,53.834,54.9407,118910
2012-12-30,55.336,57.6285,53.5178,56.996,561660
2013-01-01,57.6285,57.7075,55.336,55.415,75900
2013-01-02,54.7036,54.7036,53.4387,53.5968,119543
2013-01-03,55.1779,55.415,53.7549,54.0711,115115
2013-01-06,55.5731,55.5731,53.9921,54.1502,85388
2013-01-07,53.913,53.9921,53.5178,53.5968,75268
2013-01-08,53.7549,53.7549,53.2016,53.2806,56293
2013-01-09,53.7549,53.7549,53.2016,53.4387,97405
2013-01-10,53.5178,53.6759,53.2016,53.2806,110688
2013-01-13,53.3597,53.5178,52.8854,52.9644,54395
2013-01-14,52.9644,52.9644,52.332,52.4111,108790
2013-01-15,52.5692,52.9644,52.253,52.332,110055
2013-01-16,52.9644,52.9644,52.253,52.4111,63250
2013-01-17,53.2806,54.4664,53.2016,54.2292,301703
2013-01-20,54.7826,54.7826,53.7549,54.0711,108158
2013-01-21,53.2016,53.3597,52.8854,53.0435,125235
2013-01-22,52.9644,53.9921,52.9644,53.4387,135988
2013-01-23,54.1502,55.336,53.6759,54.4664,197340
2013-01-24,55.336,55.8103,53.7549,54.3874,430100
2013-01-27,55.2569,55.5731,54.3083,54.8617,382663
2013-01-28,55.336,55.7312,54.5455,54.9407,287155
2013-01-29,58.7352,58.8142,56.4427,57.3913,939895
2013-01-30,59.0514,59.1304,57.7075,58.3399,543318
2013-01-31,57.7866,58.5771,57.2332,57.3123,178365
2013-02-03,56.917,59.2885,56.917,58.6561,435793
2013-02-04,59.2885,60.8696,59.2095,59.5257,749513
2013-02-05,60.3953,61.8182,59.1304,61.581,597080
2013-02-06,62.0553,62.5296,61.0277,61.1067,351670
2013-02-07,61.1858,62.4506,60.3162,61.9763,745718
2013-02-10,63.083,64.3478,62.0553,62.4506,757103
2013-02-11,62.8458,62.8458,61.6601,61.8972,356098
2013-02-12,62.2925,64.1107,61.8972,63.1621,1487640
2013-02-13,63.3202,64.4269,63.3202,63.9526,666655
2013-02-14,64.4269,65.6126,64.4269,65.0593,966460
2013-02-17,64.5059,65.2174,64.0316,64.3478,715990
2013-02-18,64.9802,65.6917,64.0316,64.3478,977213
2013-02-19,65.2964,65.2964,62.6087,62.9249,605935
2013-02-20,63.1621,63.2411,61.2648,61.7391,377603
2013-02-24,62.4506,62.4506,60.1581,60.5534,242880
2013-02-25,61.2648,61.4229,58.8142,59.0514,169510
2013-02-26,59.3676,60.3953,58.498,60.1581,308660
2013-02-27,59.6838,60.0791,57.3913,57.6285,348508
2013-02-28,58.3399,58.419,56.2846,57.1542,146108
2013-03-03,54.5455,54.5455,53.2016,54.3083,230863
2013-03-04,56.7589,56.7589,54.5455,56.1265,184690
2013-03-05,56.6008,56.6008,54.4664,54.4664,165083
2013-03-06,56.5217,56.5217,53.834,54.4664,342183
2013-03-07,53.9921,54.9407,53.9921,54.8617,60088
2013-03-10,55.7312,55.7312,53.2016,54.1502,48703
2013-03-11,53.2806,54.3874,52.8063,53.7549,111953
2013-03-12,53.0435,54.8617,52.9644,54.4664,142945
2013-03-13,55.0988,56.8379,55.0988,56.2055,251735
2013-03-14,55.4941,56.8379,55.336,56.3636,272608
2013-03-18,56.5217,56.5217,55.4941,56.2846,121440
2013-03-19,57.3913,58.1818,56.3636,57.7866,528770
2013-03-20,59.1304,59.1304,56.996,57.1542,191015
2013-03-24,56.5217,57.0751,54.7036,54.8617,174570
2013-03-25,53.834,55.336,52.7273,53.6759,486393
2013-03-27,52.8854,53.0435,52.332,52.4111,199870
2013-03-28,54.5455,54.5455,52.4111,53.3597,423775
2013-03-31,52.4111,53.6759,52.332,53.0435,90448
2013-04-01,52.5692,52.8854,52.332,52.6482,287788
2013-04-02,52.9644,53.4387,52.4111,53.2806,97405
2013-04-03,54.1502,55.0198,53.9921,54.3874,211255
2013-04-04,53.2016,54.7826,53.1225,54.6245,214418
2013-04-07,54.5455,54.7036,53.5178,54.6245,190383
2013-04-08,53.0435,54.7036,53.0435,53.913,134723
2013-04-09,54.5455,55.9684,54.3083,55.415,232760
2013-04-10,56.5217,56.5217,54.8617,55.0198,228965
2013-04-11,54.8617,55.2569,54.1502,54.4664,110055
2013-04-15,55.4941,55.6522,54.4664,55.415,119543
2013-04-16,55.4941,56.7589,53.5968,53.6759,178998
2013-04-17,53.834,54.2292,53.2806,53.834,208725
2013-04-18,55.1779,56.5217,54.2292,55.4941,259325
2013-04-21,55.6522,56.3636,54.7826,55.0198,85388
2013-04-22,54.6245,55.2569,54.3083,54.8617,141048
2013-04-23,56.0474,56.0474,54.4664,54.7036,98670
2013-04-24,54.5455,55.415,54.3874,54.7036,122705
2013-04-25,54.5455,55.0988,54.0711,54.6245,125235
2013-04-28,54.3083,54.9407,53.7549,54.3874,170143
2013-04-29,53.2016,54.3874,53.2016,54.3083,117013
2013-04-30,54.5455,54.5455,53.7549,54.0711,149903
2013-05-02,54.5455,55.0198,53.9921,54.7036,68943
2013-05-05,55.2569,55.2569,54.3083,54.3874,72738
2013-05-06,54.3874,54.5455,54.1502,54.4664,62618
2013-05-07,54.6245,55.1779,54.4664,55.0198,118910
2013-05-08,55.336,55.9684,54.5455,54.6245,153698
2013-05-09,54.5455,55.9684,54.3083,55.415,202400
2013-05-12,56.5217,57.0751,55.6522,56.8379,302335
2013-05-13,57.0751,57.6285,56.0474,56.917,256163
2013-05-14,57.3913,59.6838,57.3913,59.3676,535095
2013-05-15,59.6047,59.6838,56.7589,56.917,341550
2013-05-16,57.6285,59.1304,57.3123,58.8142,312455
2013-05-19,59.2885,60.6324,58.2609,60.4743,623013
2013-05-20,60.8696,60.8696,58.419,59.4466,961400
2013-05-21,59.7628,60.0,57.1542,58.0237,354833
2013-05-22,57.7075,59.0514,57.0751,57.2332,284625
2013-05-26,57.3123,57.3123,56.2846,56.4427,63883
2013-05-27,57.0751,57.9447,57.0751,57.4704,191015
2013-05-28,58.0237,58.0237,56.917,57.7075,253633
2013-05-29,58.498,58.6561,57.8656,58.2609,363688
2013-05-30,59.5257,59.5257,57.8656,58.419,370645
2013-06-02,58.7352,60.0791,58.498,59.6838,425673
2013-06-03,59.921,61.6601,59.921,61.1858,802643
2013-06-04,61.6601,62.8458,61.3439,61.9763,924083
2013-06-05,61.581,62.4506,61.1858,61.8972,765958
2013-06-06,62.0553,62.2925,61.0277,61.1067,666655
2013-06-09,59.7628,60.3162,58.498,58.6561,561660
2013-06-10,59.6047,61.3439,58.6561,61.1067,409860
2013-06-11,61.9763,63.083,60.8696,61.4229,623013
2013-06-12,61.2648,62.0553,60.1581,60.9486,482598
2013-06-13,60.8696,61.2648,60.2371,60.8696,407330
2013-06-16,61.581,62.5296,60.8696,61.8972,629970
2013-06-17,62.9249,64.8221,62.5296,62.6878,1005043
2013-06-18,63.2411,68.7747,62.8458,67.668,2299138
2013-06-19,69.17,74.3874,69.0119,73.2016,4440783
2013-06-20,74.6245,75.0988,70.83,71.5415,1988580
2013-06-23,71.6206,74.3083,70.1186,70.5138,2082190
2013-06-24,70.5138,72.253,68.6956,71.4624,1573660
2013-06-26,72.7273,74.2292,71.9368,72.332,1641338
2013-06-27,73.1225,73.913,68.9328,69.249,1456015
2013-06-30,69.249,72.0158,68.6956,70.9091,1062600
2013-07-02,71.9368,75.0988,71.9368,74.7036,2312420
2013-07-03,75.415,77.0751,73.1225,74.2292,2048668
2013-07-04,74.6245,74.6245,72.1739,72.7273,1348490
2013-07-07,73.3597,74.5455,71.3043,71.8577,1098020
2013-07-08,73.1225,73.5178,70.5138,71.1462,1251718
2013-07-09,72.332,75.0988,71.9368,74.6245,3393995
2013-07-10,74.9407,75.0988,72.0158,72.4111,1030343
2013-07-11,72.4901,73.5178,70.751,70.9091,662228
2013-07-14,70.5929,71.6206,69.0119,69.8024,600243
2013-07-15,71.0672,73.4387,69.6443,71.2253,874115
2013-07-16,72.9644,73.913,69.7233,71.0672,1526223
2013-07-17,71.4624,75.4941,70.9881,74.9407,3061933
2013-07-18,74.3083,75.0988,69.9605,71.3043,1383910
2013-07-21,72.332,73.2806,65.9289,67.5099,566088
2013-07-22,67.9842,68.7747,65.9289,67.0356,568618
2013-07-23,66.6403,67.9051,63.7945,64.1107,512325
2013-07-24,64.9802,68.3794,64.1107,66.9565,399108
2013-07-25,67.1937,67.1937,63.7154,63.8735,542685
2013-07-28,64.0316,64.4269,59.921,61.9763,167613
2013-07-29,64.0316,65.0593,62.4506,64.2688,289053
2013-07-30,63.7154,65.6126,63.083,63.1621,367483
2013-07-31,63.6364,64.0316,62.4506,62.7668,286523
2013-08-01,64.0316,64.0316,61.8972,62.4506,148005
2013-08-04,61.7391,62.2925,61.1067,61.581,138518
2013-08-05,62.2134,63.1621,61.502,62.6878,184690
2013-08-12,61.6601,63.1621,61.6601,62.9249,63250
2013-08-13,63.6364,64.1897,63.3202,63.7945,203665
2013-08-14,63.7945,63.8735,62.9249,63.3202,178998
2013-08-18,63.8735,67.3518,63.8735,66.3241,241615
2013-08-19,65.6126,66.7984,65.2964,66.2451,226435
2013-08-20,66.9565,68.3004,64.9012,65.5336,589490
2013-08-21,65.6917,66.9565,64.585,64.9012,205563
2013-08-22,64.9012,66.0079,64.8221,65.6126,515488
2013-08-25,67.1146,67.5889,64.1897,64.5059,891825
2013-08-26,65.6126,66.8775,64.1107,64.2688,306130
2013-08-27,64.1107,65.4545,63.7154,64.8221,519283
2013-08-29,65.1383,65.3755,63.7945,64.0316,409860
2013-09-01,64.5059,65.0593,63.4783,63.5573,235923
2013-09-02,63.7154,64.585,63.083,63.2411,261855
2013-09-03,63.3202,64.0316,63.3202,63.4783,203665
2013-09-04,63.6364,64.585,63.3992,63.6364,218213
2013-09-05,62.9249,63.7154,62.9249,63.083,148638
2013-09-08,62.6087,62.8458,61.9763,62.0553,191648
2013-09-09,61.4229,62.6878,61.4229,61.8182,125868
2013-09-10,61.6601,62.2134,60.7115,61.1067,254898
2013-09-11,61.6601,62.2925,60.0791,60.5534,296643
2013-09-12,60.4743,61.1858,59.921,60.0791,305498
2013-09-15,61.502,64.3478,60.8696,63.2411,209358
2013-09-16,64.7431,66.0079,62.8458,63.3992,287155
2013-09-17,63.2411,64.0316,62.5296,63.0039,211255
2013-09-18,62.5296,63.8735,62.4506,62.9249,249205
2013-09-19,62.7668,62.9249,61.1858,61.6601,213785
2013-09-22,62.0553,63.083,60.4743,60.6324,121440
2013-09-23,61.502,61.502,60.3162,60.3953,106260
2013-09-24,60.4743,62.4506,60.4743,60.7905,85388
2013-09-25,61.6601,66.166,60.5534,60.8696,92978
2013-09-26,61.1067,61.1858,59.921,60.0791,80328
2013-09-29,61.6601,61.6601,59.2885,59.3676,90448
2013-09-30,59.2885,59.2885,57.2332,58.0237,216948
2013-10-01,60.4743,60.4743,57.7866,58.1028,49968
2013-10-02,58.498,58.498,57.7866,58.0237,80328
2013-10-03,58.8142,58.8933,57.7866,58.1818,175835
