Date,Open,High,Low,Close,Volume
2012-10-01,78.3926,79.6443,77.2068,77.8656,184665
2012-10-02,80.6983,82.8063,78.3926,79.1173,269597
2012-10-03,80.7642,83.0039,79.249,79.776,361436
2012-10-04,81.0277,81.6864,79.0514,79.776,105501
2012-10-07,79.249,81.0277,77.7997,78.195,165766
2012-10-08,77.9974,79.1831,77.0751,77.4045,100568
2012-10-09,77.7339,79.5125,77.7339,78.0632,67399
2012-10-10,78.0632,78.9196,76.4163,76.7457,136241
2012-10-11,77.4045,77.4045,75.1647,75.4941,97532
2012-10-14,76.7457,77.0092,74.1107,74.6377,61783
2012-10-15,74.9012,76.4822,74.5718,74.9671,53358
2012-10-16,75.6258,76.3505,74.7036,75.0329,66792
2012-10-17,75.0988,75.6258,74.44,74.7036,120833
2012-10-18,75.0988,75.7576,73.8472,74.5718,38633
2012-10-21,74.7694,75.4941,73.913,73.9789,33396
2012-10-22,75.2964,76.2846,73.4519,75.5599,26641
2012-10-23,74.1107,76.7457,74.1107,75.4941,27704
2012-10-30,77.668,77.668,74.5059,75.2306,40607
2012-10-31,75.0988,75.7576,74.7694,75.2964,89183
2012-11-01,75.7576,75.7576,74.1107,74.3742,79316
2012-11-04,75.0988,75.0988,72.4638,72.859,44857
2012-11-05,72.1344,73.7813,71.8709,72.7931,39013
2012-11-06,73.1225,73.386,70.6851,71.7391,55179
2012-11-07,71.6732,71.805,70.4875,70.6851,50549
2012-11-08,70.3557,71.4756,69.8287,70.0922,39848
2012-11-11,69.3017,69.3017,67.1937,67.7207,87740
2012-11-12,68.7747,69.697,67.7866,68.1818,60341
2012-11-13,68.7747,73.7154,68.5112,73.3202,68614
2012-11-14,72.4638,73.5178,69.8946,73.3202,206828
2012-11-15,72.332,74.1107,71.805,73.4519,32106
2012-11-18,75.2306,75.2306,72.2003,72.9249,62693
2012-11-19,71.6732,72.3979,69.8946,70.0263,29222
2012-11-20,69.4993,71.1462,69.17,69.4993,26034
2012-11-21,71.3439,71.4097,69.4335,69.697,23225
2012-11-22,69.8287,70.6192,69.3017,69.7628,18292
2012-11-26,69.17,69.17,67.9183,68.1818,29373
2012-11-27,68.2477,69.17,65.8762,66.8643,25351
2012-11-28,69.3676,69.4335,66.0738,66.7984,22770
2012-11-29,69.1041,70.5534,67.2595,70.4216,53206
2012-12-02,71.0804,71.6732,69.17,69.8287,80758
2012-12-03,68.7747,68.8406,68.1159,68.2477,39316
2012-12-04,67.5889,68.5112,67.1937,68.2477,27855
2012-12-05,69.17,69.17,68.1818,68.5771,17685
2012-12-06,69.17,69.17,67.523,68.6429,28235
2012-12-09,69.1041,69.1041,66.6008,68.0501,58519
2012-12-10,66.9302,68.8406,66.8643,68.1159,34838
2012-12-11,67.5889,71.0804,67.5889,70.1581,35521
2012-12-12,69.8287,70.4216,69.0382,69.7628,18899
2012-12-13,69.8946,70.3557,69.8287,69.8946,65502
2012-12-17,69.17,70.6851,69.17,70.0263,48804
2012-12-18,69.17,70.1581,69.0382,69.1041,72712
2012-12-19,69.3676,70.4875,68.6429,69.0382,46071
2012-12-20,69.6311,70.9486,68.3794,68.5771,94344
2012-12-23,68.4453,69.17,67.0619,67.9842,103300
2012-12-24,68.1818,68.8406,68.0501,68.7088,36432
2012-12-26,68.5112,69.8287,68.2477,68.9064,34535
2012-12-27,69.7628,70.1581,69.2358,69.6311,32637
2012-12-30,71.0145,71.0145,69.697,69.9605,41214
2013-01-01,71.0804,71.0804,68.9064,69.17,23074
2013-01-02,69.17,69.5652,67.8524,68.1818,32333
2013-01-03,68.3794,68.9723,68.0501,68.5112,4402
2013-01-06,68.6429,69.17,68.1818,68.3794,21935
2013-01-07,70.2898,70.2898,67.8524,68.1818,13662
2013-01-08,68.4453,69.17,67.523,67.7866,18368
2013-01-09,67.8524,68.6429,67.7207,67.9842,65350
2013-01-10,67.9183,68.1159,67.7207,67.8524,16394
2013-01-13,67.9183,67.9183,67.3254,67.3913,36128
2013-01-14,67.3913,68.1818,66.5349,67.1278,41366
2013-01-15,67.1937,67.5889,66.8643,67.0619,18596
2013-01-16,67.1937,67.6548,66.7325,66.8643,38102
2013-01-17,67.1278,67.5889,67.1278,67.4572,81517
2013-01-20,67.1937,68.2477,66.9302,67.6548,25275
