Date,Open,High,Low,Close,Volume
2012-10-01,120.7971,122.8261,118.6957,120.2898,62307
2012-10-02,124.6377,124.6377,120.7971,121.2319,108261
2012-10-03,121.5217,122.3913,119.5652,119.7826,80454
2012-10-04,121.0145,122.971,118.2609,118.6957,59202
2012-10-07,122.1739,122.1739,113.1884,114.4928,78729
2012-10-08,118.0435,118.8406,112.3913,113.913,62031
2012-10-09,115.942,117.029,113.9855,114.2754,120957
2012-10-10,116.6667,117.3913,113.0435,113.3333,89493
2012-10-11,114.4928,114.4928,112.3188,112.5362,48300
2012-10-14,113.0435,113.7681,111.3043,111.6667,88251
2012-10-15,111.7391,117.3913,111.2319,113.8406,52509
2012-10-16,114.7826,115.1449,112.1739,112.3913,30567
2012-10-17,113.0435,113.8406,112.3188,112.7536,48300
2012-10-18,115.1449,115.2174,112.3913,112.7536,24150
2012-10-21,114.9275,114.9275,113.0435,113.3333,20907
2012-10-22,113.4783,114.4203,111.5942,112.6812,28635
2012-10-23,113.9855,121.6667,113.913,119.5652,248400
2012-10-30,120.7246,121.6667,117.8261,118.1159,49611
2012-10-31,119.2029,119.5652,118.1884,119.1304,39330
2012-11-01,119.7101,120.6522,118.8406,120.2898,81627
2012-11-04,123.1884,130.0725,121.1594,127.8985,438081
2012-11-05,129.7101,131.087,126.2319,127.8261,183885
2012-11-06,127.5362,127.7536,120.7971,122.3188,120474
2012-11-07,121.087,124.5652,119.5652,120.0,118818
2012-11-08,119.9275,125.5072,119.6377,122.8261,168705
2012-11-11,121.7391,124.6377,117.8985,118.5507,91839
2012-11-12,117.029,121.3043,115.942,117.029,96669
2012-11-13,117.3913,120.2898,114.4928,119.2754,61824
2012-11-14,117.029,120.942,117.029,118.5507,67206
2012-11-15,118.8406,122.8986,118.8406,121.7391,110469
2012-11-18,122.4638,122.4638,118.2609,119.2029,146901
2012-11-19,117.5362,119.4203,114.8551,115.6522,69759
2012-11-20,115.2899,117.3913,113.4058,113.9855,55545
2012-11-21,115.8696,118.2609,114.5652,115.8696,75348
2012-11-22,117.029,117.5362,115.2899,115.7971,47955
2012-11-26,114.7826,115.942,111.884,112.1739,65550
2012-11-27,111.2319,113.4058,110.2898,110.6522,42159
2012-11-28,113.4058,113.4058,108.6957,109.2029,46161
2012-11-29,112.3188,115.2174,111.5942,113.913,78315
2012-12-02,118.0435,118.0435,110.7971,112.6812,80730
2012-12-03,113.4058,113.4058,109.1304,109.8551,41400
2012-12-04,110.5797,111.3768,108.9855,110.6522,36846
2012-12-05,111.1594,111.5217,109.4203,110.0725,30429
2012-12-06,108.1884,110.942,108.1884,108.913,43194
2012-12-09,107.8985,108.6957,107.6087,107.8985,25254
2012-12-10,107.3913,108.6232,105.5797,106.0145,27048
2012-12-11,105.0725,107.1015,105.0725,106.5217,31878
2012-12-12,106.5942,109.6377,105.942,106.2319,19665
2012-12-13,107.8985,108.1884,105.7971,106.4493,32223
2012-12-17,107.1015,109.3478,107.1015,107.971,25668
2012-12-18,107.5362,107.7536,106.7391,106.8841,30291
2012-12-19,107.971,108.6957,107.6087,108.2609,35604
2012-12-20,109.4203,109.6377,107.8261,108.0435,41676
2012-12-23,109.2029,109.2029,106.3043,106.5942,29601
2012-12-24,106.8841,107.8985,106.5217,107.1015,22011
2012-12-26,108.3333,110.7971,107.8985,109.7101,62238
2012-12-27,111.5217,111.884,110.1449,111.5942,66861
2012-12-30,112.4638,112.8986,112.3188,112.6812,63204
2013-01-01,115.8696,115.8696,113.0435,113.116,50025
2013-01-02,111.087,112.7536,111.087,112.1014,51336
2013-01-03,113.0435,113.1884,111.8116,112.6812,30705
2013-01-06,112.3913,113.6232,112.1739,113.0435,31740
2013-01-07,113.5507,113.5507,112.1014,112.2464,26634
2013-01-08,113.116,113.116,112.1014,112.2464,45126
2013-01-09,112.8986,112.971,112.2464,112.7536,39813
2013-01-10,112.3188,114.9275,112.3188,114.2029,88734
2013-01-13,115.1449,115.1449,113.116,113.2609,30774
2013-01-14,115.2174,115.2174,112.6812,112.6812,38640
2013-01-15,112.7536,113.0435,111.3768,111.884,19389
2013-01-16,113.0435,113.7681,111.884,112.029,30153
2013-01-17,114.2029,114.2029,112.3913,113.1884,26151
2013-01-20,113.7681,113.7681,112.3188,112.3188,14145
2013-01-21,112.029,112.5362,112.029,112.2464,12558
2013-01-22,112.8986,113.7681,112.5362,113.1884,11592
2013-01-23,113.9855,114.1304,113.4058,113.8406,42504
2013-01-24,113.8406,117.3913,113.8406,116.9565,84801
2013-01-27,117.3913,118.913,114.4928,115.0725,45678
2013-01-28,114.9275,117.3913,114.8551,117.029,39123
2013-01-29,118.1159,119.4203,117.4638,118.1884,94323
2013-01-30,119.1304,119.1304,116.1594,116.9565,85629
2013-01-31,117.029,119.2754,117.029,118.6957,74313
2013-02-03,119.4203,121.7391,118.8406,120.6522,96255
2013-02-04,121.8116,122.1739,119.7101,120.2898,67896
2013-02-05,119.6377,122.3913,119.2029,121.4493,106122
2013-02-06,121.0145,122.3913,120.3623,120.6522,61893
2013-02-07,120.0725,121.3768,120.0725,120.3623,35259
2013-02-10,121.8116,122.2464,121.0145,121.5217,89355
2013-02-11,122.7536,122.7536,119.5652,120.3623,61617
2013-02-12,120.5073,121.5942,118.3333,118.4783,64515
2013-02-13,118.3333,120.1449,118.1884,118.5507,42918
2013-02-14,119.1304,121.7391,118.913,120.2898,35949
2013-02-17,121.3043,123.1884,120.7246,121.4493,79143
2013-02-18,121.0145,122.1739,120.0,120.5073,40710
2013-02-19,119.8551,120.0725,118.2609,118.6232,27186
2013-02-20,118.8406,120.942,115.2899,116.5942,37122
2013-02-24,116.6667,117.029,113.116,114.3478,23667
2013-02-25,114.3478,116.3768,112.6087,113.4783,15870
2013-02-26,115.2174,115.3623,113.4058,114.7102,16353
2013-02-27,113.9855,115.942,110.1449,111.087,36432
2013-02-28,113.6957,113.6957,110.1449,111.6667,10143
2013-03-03,108.6957,109.4203,103.0435,104.5652,24150
2013-03-04,104.7101,110.7246,104.7101,108.7681,10281
2013-03-05,109.4203,109.4203,105.7971,106.6667,13869
2013-03-06,107.6812,109.058,106.6667,106.7391,16215
2013-03-07,105.2899,106.8841,103.6957,104.9275,20217
2013-03-10,106.0145,106.1594,102.8986,103.6232,20907
2013-03-11,103.6232,104.3478,102.2464,103.5507,17388
2013-03-12,102.6087,105.4348,102.5362,104.7826,7866
2013-03-13,107.1015,110.8696,106.2319,107.6812,22149
2013-03-14,108.6957,108.6957,106.2319,107.2464,14283
2013-03-18,106.5217,107.971,106.5217,107.4638,9522
2013-03-19,107.3188,108.3333,107.3188,107.8985,7728
2013-03-20,107.971,108.0435,106.5942,106.5942,12075
2013-03-24,105.8696,105.8696,103.1884,103.3333,19596
2013-03-25,103.3333,104.3478,102.8986,103.1159,7245
2013-03-27,101.4493,101.4493,99.3478,99.8551,14214
2013-03-28,100.3623,103.9855,100.3623,103.4058,18009
2013-03-31,103.2609,103.2609,99.7102,100.2898,13248
2013-04-01,98.6957,98.6957,96.0145,97.3913,17457
2013-04-02,97.6087,98.4783,97.4638,97.8261,6831
2013-04-03,97.971,100.0,97.971,98.6957,7314
2013-04-04,98.5507,98.5507,96.7391,97.4638,12144
2013-04-07,98.5507,98.5507,97.1739,97.3188,20424
2013-04-08,96.9565,101.4493,96.0145,100.2898,44850
2013-04-09,102.1739,110.2898,102.1739,109.3478,83214
2013-04-10,112.3188,114.1304,107.2464,108.8406,54234
2013-04-11,105.8696,114.4203,105.0725,113.6957,76521
2013-04-15,112.3188,116.6667,112.3188,115.4348,70725
2013-04-16,114.4928,114.4928,107.6087,108.6232,53475
2013-04-17,111.3768,113.0435,107.2464,111.4493,49197
2013-04-18,111.4493,117.2464,111.4493,114.9275,133722
2013-04-21,115.8696,126.0145,115.8696,121.2319,200652
2013-04-22,121.7391,122.4638,118.6232,119.3478,77142
2013-04-23,121.0145,124.4928,116.6667,123.4058,146211
2013-04-24,121.7391,123.913,120.2174,121.087,43746
2013-04-25,119.7826,120.8696,116.087,117.4638,43953
2013-04-28,116.0145,118.1159,109.7826,111.4493,63549
2013-04-29,110.942,114.4928,109.3478,109.5652,90045
2013-04-30,113.0435,115.0,106.5942,107.1739,54165
2013-05-02,107.1015,109.4203,105.8696,106.5217,62514
2013-05-05,104.2029,108.6957,104.2029,105.942,39951
2013-05-06,112.3188,112.3188,105.4348,106.6667,38364
2013-05-07,108.6957,111.5942,108.5507,111.087,73899
2013-05-08,111.5942,112.8986,108.9855,109.3478,83214
2013-05-09,109.058,111.5217,107.971,110.7246,90045
2013-05-13,115.6522,121.7391,115.6522,119.3913,122533
2013-05-14,121.6522,123.3913,120.3478,122.4348,134320
2013-05-15,120.0,120.0,116.1739,117.1304,122878
2013-05-16,117.1304,118.6087,116.5217,117.1304,100453
2013-05-19,118.6957,118.9565,116.6087,117.5652,221548
2013-05-20,119.1304,123.3913,117.5652,120.087,111953
2013-05-21,120.7826,121.7391,116.6956,117.0435,67103
2013-05-22,117.3913,118.1739,114.6087,115.1304,61065
2013-05-26,117.3043,117.3913,113.4783,114.087,28980
