Date,Open,High,Low,Close,Volume
2012-10-01,171.7101,174.8252,170.3751,171.7737,504461
2012-10-02,174.1895,176.7959,173.2994,176.1602,1000428
2012-10-03,177.9402,187.5397,176.7324,185.569,4027824
2012-10-04,187.5397,193.8334,184.9968,187.1583,2158156
2012-10-07,187.6669,196.4399,184.3611,189.1291,2061102
2012-10-08,188.1755,192.6256,184.1068,187.349,1875645
2012-10-09,190.0826,192.6256,186.2683,188.5569,1586056
2012-10-10,191.9262,197.3299,190.8455,194.9778,2914926
2012-10-11,197.0757,198.9828,193.3249,194.2784,1759715
2012-10-14,196.6942,203.3694,195.3592,201.78,2092247
2012-10-15,203.4329,206.1666,200.2543,201.2079,1656526
2012-10-16,202.1615,203.0515,198.8557,199.8728,1094336
2012-10-17,200.2543,200.2543,196.2492,196.6306,1165908
2012-10-18,197.5842,204.6408,196.4399,203.4965,1463362
2012-10-21,205.9122,209.2181,204.5137,206.8023,1778277
2012-10-22,211.0617,211.0617,202.7972,204.0687,1254939
2012-10-23,206.6116,208.0102,203.6236,207.438,1441183
2012-10-30,207.3109,209.7266,204.8951,205.3401,806634
2012-10-31,206.4844,206.4844,202.2251,203.1786,1276647
2012-11-01,203.1151,203.8779,200.2543,200.9536,988001
2012-11-04,201.5258,201.5258,196.5671,197.2028,934205
2012-11-05,197.1392,198.9193,195.8042,198.1564,994608
2012-11-06,198.9828,202.7972,198.4107,200.1271,888430
2012-11-07,202.4793,202.7972,197.5207,198.5378,516731
2012-11-08,198.665,200.1271,195.5499,196.2492,665694
2012-11-11,195.4863,197.0121,185.8233,188.684,1297410
2012-11-12,190.8455,193.007,186.8404,189.2562,550078
2012-11-13,190.7184,192.6256,187.6033,190.6548,504618
2012-11-14,195.1049,195.1049,188.8112,189.8284,818747
2012-11-15,190.4005,191.9898,188.8748,189.6376,817803
2012-11-18,193.0706,193.0706,185.7597,186.3954,850678
2012-11-19,186.459,186.459,179.021,179.4024,648548
2012-11-20,179.4024,182.2632,176.2238,178.3217,445159
2012-11-21,184.3611,184.3611,177.3681,179.5931,511068
2012-11-22,179.2753,179.2753,171.0108,171.8372,1534147
2012-11-26,171.7101,174.1895,159.8856,161.4749,933890
2012-11-27,160.9027,168.4679,158.6141,166.6879,528685
2012-11-28,167.8322,168.4679,162.8735,164.3992,482125
2012-11-29,167.1964,174.8252,166.6243,173.5537,640998
2012-12-02,175.4609,176.3509,167.0693,167.8957,645874
2012-12-03,167.1964,167.26,160.6484,162.7464,407722
2012-12-04,164.9714,165.2892,161.602,162.7464,268197
2012-12-05,162.7464,163.8271,160.3941,161.6656,586729
2012-12-09,157.0248,157.7686,150.0,152.0661,510015
2012-12-10,150.0,153.6364,150.0,150.4132,303952
2012-12-11,149.0083,151.6529,148.9256,151.157,182589
2012-12-12,152.4793,152.6446,148.843,150.1653,196383
2012-12-13,149.5041,150.4132,147.8512,148.1818,359370
2012-12-17,149.5041,150.0,146.6942,149.2562,459558
2012-12-18,149.5041,150.0,148.0165,148.6777,149677
2012-12-19,148.843,151.8182,148.7603,149.4215,207394
2012-12-20,149.5868,150.4959,147.1074,147.6859,160204
2012-12-23,147.2727,149.5868,147.2727,148.0992,158268
2012-12-24,148.6777,148.6777,146.1157,146.5289,208604
2012-12-26,147.1074,148.3471,146.1157,146.4463,132011
2012-12-27,147.1901,147.1901,145.3719,146.281,195415
2012-12-30,147.1074,147.9339,146.281,147.5207,208483
2013-01-01,147.1074,151.157,147.1074,148.2645,220704
2013-01-02,147.1901,147.8512,145.8678,146.3636,85184
2013-01-03,145.9504,147.3554,145.9504,146.6942,66671
2013-01-06,149.5868,152.8926,149.5868,150.7438,321013
2013-01-07,149.5868,149.5868,148.3471,149.0909,112893
2013-01-08,149.5868,149.5868,147.2727,147.5207,52998
2013-01-09,147.9339,148.595,146.8595,147.5207,99462
2013-01-10,147.1901,148.1818,146.6942,147.1901,137093
2013-01-13,147.2727,147.2727,144.6281,145.2066,163471
2013-01-14,145.0413,146.1983,143.8017,144.2975,112772
2013-01-15,144.2149,144.5455,142.8925,143.6364,98736
2013-01-16,143.8843,144.5455,141.9835,142.9752,160204
2013-01-17,143.2231,144.2149,142.1488,142.7273,195657
2013-01-20,142.4793,143.3058,142.1488,142.2314,66429
2013-01-21,142.1488,142.4793,141.0744,141.405,59169
2013-01-22,141.3223,142.1488,139.5041,139.8347,108537
2013-01-23,139.2562,139.2562,135.5372,135.8678,400026
2013-01-24,136.3636,138.595,135.5372,137.1901,177749
2013-01-27,138.1818,139.2562,136.1157,136.6942,137577
2013-01-28,137.0248,138.4297,136.1983,137.6859,143506
2013-01-29,138.7603,139.6694,137.7686,138.0992,376189
2013-01-30,138.0992,139.5041,136.7769,136.9422,184041
2013-01-31,136.0331,137.9339,135.9504,137.0248,193842
2013-02-03,136.6116,139.5041,136.6116,138.595,235708
2013-02-04,138.843,140.2479,138.0992,138.3471,186461
2013-02-05,138.0165,145.4545,138.0165,144.876,449394
2013-02-06,146.281,149.5868,144.6281,148.4298,428219
2013-02-07,148.843,152.7273,147.5207,150.0,319924
2013-02-10,151.0744,151.9008,149.8347,150.5785,218405
2013-02-11,149.7521,150.8264,148.3471,148.595,261239
2013-02-12,147.9339,149.1736,147.5207,148.2645,232441
2013-02-13,148.0165,150.4132,146.5289,147.9339,271524
2013-02-14,148.7603,149.6694,148.0165,149.5041,368808
2013-02-17,151.0744,151.6529,148.595,148.6777,210419
2013-02-18,151.0744,151.0744,147.1901,148.0992,228569
2013-02-19,148.3471,148.5124,146.0331,147.3554,259424
2013-02-20,145.9504,147.5207,142.1488,143.6364,313874
2013-02-24,142.1488,143.719,139.0083,140.1653,349569
2013-02-25,138.9256,141.3223,136.7769,138.0165,227238
2013-02-26,140.4959,140.6611,138.3471,138.7603,181258
2013-02-27,138.5124,140.4132,135.7025,136.4463,154033
2013-02-28,137.8512,137.8512,135.2066,136.7769,51062
2013-03-03,135.124,135.7025,130.6612,133.8843,192148
2013-03-04,136.0331,136.1983,134.2975,135.7025,115918
2013-03-05,135.9504,136.3636,133.9669,135.5372,76109
2013-03-06,135.7025,137.1901,134.9587,135.7025,157300
2013-03-07,135.5372,136.9422,134.4628,136.1157,75504
2013-03-10,137.8512,137.9339,136.1157,136.1983,93291
2013-03-11,136.3636,137.2727,134.3802,136.7769,145079
2013-03-12,136.7769,140.4959,135.8678,139.0083,106480
2013-03-13,141.6529,145.4545,141.3223,143.719,198319
2013-03-14,144.0496,144.6281,141.3223,144.2975,107206
2013-03-18,142.1488,145.2066,142.1488,144.876,78287
2013-03-19,145.4545,149.5868,145.3719,146.8595,133584
2013-03-20,144.7934,147.1074,144.7934,145.8678,80465
2013-03-24,145.8678,146.1157,143.8017,144.3802,99341
2013-03-25,144.6281,144.6281,142.3141,142.7273,90024
2013-03-27,141.405,142.9752,140.4959,141.7355,122694
2013-03-28,142.0661,144.5455,141.9008,144.1322,84337
2013-03-31,145.4545,145.5372,142.3141,144.6281,112046
2013-04-01,141.3223,142.9752,141.3223,142.1488,125235
