Date,Open,High,Low,Close,Volume
2012-10-01,93.0,98.0,93.0,96.0,3550
2012-10-02,98.0,99.0,91.4,93.7,5600
2012-10-03,88.2,92.4,88.2,89.8,2050
2012-10-04,86.2,94.5,86.2,91.1,1400
2012-10-07,91.1,91.1,85.2,87.3,1600
2012-10-08,85.0,87.5,85.0,85.1,3150
2012-10-09,91.0,91.0,86.5,87.5,1250
2012-10-10,88.0,88.0,84.5,84.8,650
2012-10-11,92.0,92.0,85.1,87.3,3350
2012-10-14,85.7,85.7,83.0,84.6,1650
2012-10-15,84.0,84.0,82.0,82.7,1000
2012-10-16,82.5,86.4,81.6,82.3,2000
2012-10-17,82.6,86.1,82.6,83.6,550
2012-10-18,85.0,85.0,82.6,84.0,1250
2012-10-21,82.7,84.8,78.8,81.7,2200
2012-10-22,88.0,88.0,85.0,87.1,7150
2012-10-23,88.7,88.8,83.0,84.0,5400
2012-10-30,82.8,86.6,80.0,82.1,5000
2012-10-31,82.2,82.6,82.0,82.1,1950
2012-11-01,82.3,84.9,82.3,84.1,1350
2012-11-04,84.4,86.9,84.4,86.3,4800
2012-11-05,86.9,94.9,86.9,94.8,13750
2012-11-06,95.5,95.5,90.0,91.0,3250
2012-11-07,87.5,90.0,86.3,87.5,6150
2012-11-08,86.0,90.5,85.0,86.1,4550
2012-11-12,84.0,84.0,77.5,77.6,5700
2012-11-13,80.0,83.9,79.0,80.9,700
2012-11-14,84.9,84.9,77.2,79.8,4000
2012-11-15,79.0,79.0,72.6,73.7,12150
2012-11-18,77.7,81.0,75.3,79.9,3350
2012-11-19,79.9,84.9,79.9,83.1,9600
2012-11-20,78.2,83.2,78.0,81.6,8300
2012-11-21,84.9,84.9,78.0,81.2,4050
2012-11-22,83.7,83.7,79.4,80.3,6450
2012-11-26,78.0,79.0,77.8,78.3,500
2012-11-27,78.0,78.3,77.7,78.0,750
2012-11-28,78.2,81.3,76.5,77.5,2650
2012-11-29,82.7,83.0,79.7,80.8,1850
2012-12-02,77.4,78.5,75.0,76.8,3900
2012-12-03,75.2,75.5,74.0,75.0,2250
2012-12-04,74.2,79.9,74.0,75.6,750
2012-12-05,75.2,76.1,75.0,75.6,1350
2012-12-06,74.2,76.0,74.2,74.9,2000
