Date,Open,High,Low,Close,Volume
2022-04-12,11.0,11.0,11.0,11.0,100
2022-04-13,12.1,12.1,12.1,12.1,143
2022-04-17,13.3,13.3,13.3,13.3,1
2022-04-18,14.6,14.6,14.6,14.6,5
2022-04-19,16.0,16.0,16.0,16.0,1
2022-04-20,17.6,17.6,17.6,17.6,1
2022-04-21,19.3,19.3,19.3,19.3,1
2022-04-24,21.2,21.2,21.2,21.2,1475238
2022-04-25,23.1,23.1,20.5,20.9,2067566
2022-04-26,21.0,21.0,19.1,19.3,376911
2022-04-27,19.0,19.7,18.9,19.3,599494
2022-04-28,19.1,20.3,18.7,20.1,1024187
2022-05-05,20.3,20.5,19.9,20.3,350321
2022-05-08,20.4,20.9,19.1,19.5,500355
2022-05-09,19.9,20.5,19.0,20.2,595393
2022-05-10,19.8,20.5,19.4,19.6,280320
2022-05-11,19.9,19.9,18.7,18.9,147221
2022-05-12,18.5,19.2,18.1,18.5,303804
2022-05-16,18.2,18.5,17.1,17.3,264770
2022-05-17,17.4,17.6,16.0,16.4,422129
2022-05-18,17.2,17.2,15.4,15.7,10319
2022-05-19,16.0,16.0,14.5,15.1,430855
2022-05-22,16.1,16.1,14.7,14.9,95219
2022-05-23,15.0,16.1,14.9,15.7,329024
2022-05-24,15.6,15.6,15.0,15.5,29960
2022-05-26,15.4,16.2,15.4,16.1,148506
2022-05-29,16.5,17.7,16.3,17.7,507256
2022-05-30,18.9,18.9,17.3,17.5,94556
2022-05-31,17.9,17.9,16.6,16.9,40035
2022-06-09,20.7,22.1,20.7,22.1,1385647
2022-06-12,20.1,24.3,20.1,24.3,1129236
2022-06-13,24.2,24.9,22.2,22.5,495720
2022-06-14,22.5,23.7,21.3,22.7,352611
2022-06-15,22.2,24.6,22.2,24.5,901541
2022-06-16,24.9,26.3,23.4,24.9,831743
2022-06-19,23.7,26.7,23.7,26.4,936380
2022-06-20,26.9,27.4,26.0,26.7,938010
2022-06-21,29.3,29.3,25.6,27.5,783512
2022-06-22,30.2,30.2,26.4,26.8,391472
2022-06-23,29.4,29.4,26.3,28.5,891660
2022-06-26,30.0,30.9,28.2,29.9,1358212
2022-06-27,30.1,30.3,28.5,28.8,663658
2022-06-28,29.4,30.6,27.5,29.8,804593
2022-06-29,30.9,32.6,30.0,32.1,769686
2022-06-30,35.3,35.3,31.8,32.1,640051
2022-07-03,33.5,33.5,31.5,31.7,541386
2022-07-04,31.0,34.6,31.0,33.8,895615
2022-07-05,34.0,35.9,33.2,34.6,566956
2022-07-06,34.4,36.0,34.4,35.7,481901
2022-07-07,36.5,39.1,36.0,37.9,862543
2022-07-12,37.9,41.6,37.9,41.3,630945
