Date,Open,High,Low,Close,Volume
2021-11-03,10.1,10.2,8.3,10.0,525773
2021-11-07,10.1,10.1,10.1,10.1,13474
2021-11-11,10.0,10.0,10.0,10.0,41097
2021-11-14,10.0,10.0,8.1,8.9,33139
2021-11-16,9.5,9.5,9.5,9.5,50000
2021-11-22,10.1,10.1,10.0,10.0,2644
2021-11-24,10.0,10.0,9.0,9.5,37806
2021-12-01,8.9,8.9,8.6,8.6,86526
2021-12-02,9.5,9.5,9.2,9.3,20000
2021-12-06,0.0,9.3,9.3,9.3,100
2021-12-07,9.4,9.4,9.4,9.4,23886
2021-12-08,9.3,9.3,9.3,9.3,27567
2021-12-09,9.2,9.3,9.2,9.3,128008
2021-12-14,8.6,8.6,8.1,8.2,31463
2021-12-15,9.7,9.7,9.7,9.7,136
2021-12-19,9.2,9.2,8.7,9.1,5787
2021-12-20,8.7,9.0,8.2,9.0,204060
2021-12-21,8.8,8.8,8.5,8.6,30000
2021-12-22,8.3,9.9,8.3,8.3,3905
2021-12-23,8.7,8.7,8.7,8.7,7001
2021-12-26,9.6,9.6,9.6,9.6,53933
2021-12-27,9.0,9.5,9.0,9.4,6006
2021-12-28,9.4,9.9,8.9,9.2,237487
2021-12-30,9.8,10.1,9.6,10.0,261310
2022-01-02,10.2,10.2,8.8,9.4,5
2022-01-03,9.5,9.5,8.7,9.5,336
2022-01-04,9.2,9.2,9.2,9.2,1
2022-01-05,8.9,9.8,8.9,9.8,10062
2022-01-06,9.8,9.8,9.3,9.3,11664
2022-01-10,9.2,9.2,8.7,8.8,6000
2022-01-11,9.3,9.3,9.3,9.3,39329
2022-01-13,8.7,8.7,8.7,8.7,1
2022-01-17,8.4,8.4,8.4,8.4,3
2022-01-20,9.5,9.8,8.6,8.6,17700
2022-01-23,8.5,8.5,8.5,8.5,10
2022-01-24,8.6,8.6,8.6,8.6,23
2022-01-27,9.9,9.9,8.6,9.0,3
2022-01-30,9.6,9.6,9.4,9.5,2
2022-01-31,9.1,9.1,8.9,9.0,52000
2022-02-01,8.9,8.9,8.9,8.9,7866
2022-02-02,9.0,9.0,9.0,9.0,20750
2022-02-07,10.1,10.1,10.1,10.1,1
2022-02-08,9.1,9.9,8.6,8.9,103264
2022-02-10,9.1,9.1,9.0,9.1,7866
2022-02-13,8.9,8.9,8.9,8.9,787
2022-02-14,9.1,9.1,8.8,9.0,20226
2022-02-15,9.1,9.1,9.0,9.0,25000
2022-02-16,9.0,9.0,9.0,9.0,13000
2022-02-22,10.3,10.3,10.3,10.3,100
2022-02-23,10.3,10.3,10.3,10.3,100
2022-02-27,8.4,8.4,8.4,8.4,3933
2022-02-28,9.5,9.5,9.5,9.5,26
2022-03-01,9.8,9.8,8.5,8.5,10280
2022-03-06,8.5,9.8,8.5,9.1,10600
2022-03-07,9.3,9.3,9.3,9.3,5
2022-03-08,9.8,9.8,9.8,9.8,10
2022-03-10,9.6,9.7,9.2,9.5,100000
2022-03-14,9.0,10.0,9.0,9.0,23718
2022-03-15,9.8,9.8,9.8,9.8,5
2022-03-16,9.9,9.9,9.9,9.9,1500
2022-03-20,9.6,10.0,9.5,9.5,68100
2022-03-21,9.8,10.0,9.6,9.8,107027
2022-03-22,10.3,10.3,9.7,9.8,66486
2022-03-23,10.2,11.5,10.0,10.3,438799
2022-03-24,10.3,10.3,9.7,9.8,52996
2022-03-27,10.3,10.5,10.1,10.4,221233
2022-03-28,10.1,10.3,10.1,10.2,36513
2022-03-29,10.3,12.2,10.2,12.1,1499259
2022-03-30,12.2,14.2,11.6,12.5,685276
2022-03-31,13.2,15.0,13.2,15.0,2301049
2022-04-03,16.3,17.7,13.6,14.1,605084
2022-04-04,15.6,16.9,14.8,16.9,2591189
2022-04-05,18.4,20.2,18.4,20.2,3678507
2022-04-06,20.7,24.2,20.5,21.1,4263973
2022-04-07,19.4,21.8,18.5,20.2,2561700
2022-04-10,20.2,21.2,19.1,19.4,1552658
2022-04-11,18.9,19.4,17.6,18.2,1796046
2022-04-12,18.2,20.0,18.0,20.0,1407651
2022-04-13,20.2,21.5,19.8,21.2,2568632
2022-04-17,21.4,22.4,21.4,21.6,1684093
2022-04-18,21.5,21.5,19.5,19.6,1454622
2022-04-19,19.4,21.1,19.4,20.9,950777
2022-04-20,21.0,21.2,20.1,20.8,972415
2022-04-21,21.1,21.6,20.1,20.4,1098294
2022-04-24,20.4,20.7,19.3,19.4,1215258
2022-04-25,19.2,19.8,19.0,19.4,533887
2022-04-26,20.0,20.0,18.2,18.4,550025
2022-04-27,18.9,18.9,17.5,17.6,304369
2022-04-28,18.1,18.8,17.5,18.1,514472
2022-05-05,18.4,18.7,17.9,18.1,214307
2022-05-08,18.9,18.9,17.2,17.3,261792
2022-05-09,17.2,18.5,17.2,17.7,448201
2022-05-10,18.3,18.3,17.6,17.9,332247
2022-05-11,18.0,18.1,17.3,17.4,303470
2022-05-12,17.1,18.4,17.0,18.1,735732
2022-05-16,18.8,19.0,17.6,18.1,578498
2022-05-17,18.4,18.4,17.3,17.9,290387
2022-05-18,18.2,18.2,17.2,17.4,198277
2022-05-19,17.6,18.6,16.2,18.2,1071974
2022-05-22,18.2,19.6,18.2,18.5,570619
2022-05-23,18.5,19.8,18.4,19.6,840853
2022-05-24,19.0,19.9,18.4,18.8,711399
2022-05-26,19.0,19.9,18.6,19.5,425378
2022-05-29,19.0,20.6,19.0,20.3,515366
2022-05-30,20.5,20.5,19.7,20.0,313674
2022-05-31,19.6,19.8,19.1,19.6,373285
2022-06-12,21.0,22.1,20.9,21.7,4249467
2022-06-13,22.0,22.0,20.0,20.5,879524
2022-06-14,20.9,21.1,20.0,20.8,1319354
2022-06-15,21.9,22.3,21.0,21.8,1775831
2022-06-16,22.0,22.9,21.7,22.5,1421628
2022-06-19,23.0,24.6,22.7,24.1,2939334
2022-06-20,24.6,24.6,23.0,23.3,1181861
2022-06-21,25.6,25.6,23.0,24.2,2119490
2022-06-22,26.6,26.6,23.3,23.4,677782
2022-06-23,25.7,25.7,22.9,24.0,1796532
2022-06-26,25.7,25.7,24.3,25.4,1760167
2022-06-27,25.0,25.5,24.4,24.5,1956986
2022-06-28,25.0,26.0,24.0,25.8,2266978
2022-06-29,28.3,28.3,25.5,27.4,1885419
2022-06-30,30.1,30.1,26.8,27.5,2173063
2022-07-03,29.0,29.0,26.7,27.4,1093514
2022-07-04,27.0,28.9,27.0,28.8,2188907
2022-07-05,28.5,29.8,28.3,28.8,1761667
2022-07-06,28.8,30.7,28.8,30.5,1857649
