Date,Open,High,Low,Close,Volume
2012-10-01,511.2855,511.2855,508.8415,509.1347,1125
2012-10-02,526.9271,537.6807,518.1287,527.9047,2608
2012-10-03,537.6807,547.4567,528.2958,540.5158,3938
2012-10-04,539.6359,539.6359,539.1471,539.4404,153
2012-10-08,521.1592,521.5503,504.4423,518.7152,921
2012-10-09,518.3242,518.3242,518.1287,518.2264,307
2012-10-10,518.1287,522.0391,518.1287,519.3995,563
2012-10-11,516.1735,519.4974,512.3608,515.1959,511
2012-10-14,503.5624,517.9332,503.4647,508.2549,153
2012-10-15,507.3751,513.1429,504.4423,506.2997,3580
2012-10-16,504.4423,513.1429,504.4423,509.1347,460
2012-10-17,506.8863,511.2855,506.8863,507.8639,307
2012-10-18,510.3079,510.3079,509.428,510.0146,460
2012-10-21,503.4647,504.54,503.4647,504.149,1739
2012-10-22,503.4647,504.8333,498.5767,500.6296,409
2012-10-23,508.3527,508.3527,508.3527,508.3527,358
2012-10-30,508.4504,508.4504,508.3527,508.3527,614
2012-10-31,508.3527,508.3527,503.7579,508.1571,1790
2012-11-01,503.7579,503.7579,503.7579,503.7579,51
2012-11-04,512.2631,512.2631,504.4423,507.5706,256
2012-11-05,506.6907,506.6907,506.3975,506.4952,358
2012-11-06,506.8863,508.3527,506.8863,507.8639,307
2012-11-07,507.8639,508.3527,498.5767,505.9087,1688
2012-11-08,508.3527,542.5687,508.3527,530.8375,12122
2012-11-11,519.1063,519.1063,510.8944,517.5422,460
2012-11-12,537.6807,537.6807,518.2264,529.4689,10434
2012-11-13,530.3487,537.6807,529.8599,534.6501,15651
2012-11-14,530.8375,571.8968,530.8375,565.4446,28028
2012-11-15,581.6728,596.3368,581.6728,586.5608,28079
2012-11-18,581.6728,586.5608,581.6728,582.8459,7212
2012-11-19,566.911,567.9863,560.1655,560.8499,22964
2012-11-20,548.4343,565.0535,548.4343,560.8499,17083
2012-11-21,561.1431,565.0535,560.3611,562.5118,10127
2012-11-22,562.1207,562.3163,560.1655,561.0454,10127
2012-11-26,550.3895,557.2327,550.3895,556.9395,3120
2012-11-27,552.3447,557.2327,552.3447,553.1268,1330
2012-11-28,552.8336,557.2327,549.4119,552.3447,6649
2012-11-29,552.3447,559.1879,552.3447,554.5932,2250
2012-12-02,554.7888,554.7888,547.4567,550.8784,614
2012-12-05,561.0454,561.0454,540.8091,554.4955,3580
2012-12-09,547.4567,548.4343,537.6807,541.8844,409
2012-12-10,539.7336,539.7336,539.6359,539.6359,460
2012-12-11,546.4791,547.4567,537.6807,542.2755,511
2012-12-12,537.6807,542.5687,537.6807,541.1023,716
2012-12-17,541.1023,541.5911,537.6807,540.418,409
2012-12-18,539.6359,542.5687,539.6359,540.9068,665
2012-12-19,540.9068,542.5687,542.5687,542.5687,102
2012-12-20,542.5687,542.5687,538.6583,542.2755,2302
2012-12-23,538.756,538.756,538.6583,538.6583,102
2012-12-24,538.6583,547.4567,538.6583,545.5015,5882
2012-12-26,545.0128,545.5015,545.0128,545.4038,563
2012-12-27,532.7927,537.6807,532.7927,537.3875,1534
2012-12-30,537.6807,537.6807,532.7927,536.8008,1279
2013-01-01,532.2062,537.6807,532.2062,536.5076,256
2013-01-02,533.7703,533.7703,533.7703,533.7703,51
