Date,Open,High,Low,Close,Volume
2022-02-01,14.5,14.5,14.4,14.4,2000
2022-02-02,14.4,14.4,14.0,14.3,1310
2022-02-03,12.0,12.0,11.6,11.9,43394
2022-02-07,11.8,14.2,11.8,12.4,59
2022-02-08,14.2,14.2,14.2,14.2,500
2022-02-09,14.2,14.2,14.2,14.2,5
2022-02-10,11.4,11.4,11.4,11.4,50000
2022-02-13,11.0,13.0,11.0,13.0,622
2022-02-14,10.5,12.5,10.5,10.7,11000
2022-02-15,10.7,10.7,10.0,10.5,34737
2022-02-16,12.4,12.4,10.3,10.8,57797
2022-02-17,12.6,12.6,10.2,11.2,334
2022-02-20,13.0,13.0,13.0,13.0,500
2022-02-22,13.4,13.4,12.0,12.0,15055
2022-02-23,0.0,12.0,12.0,12.0,479
2022-02-24,12.3,12.3,12.3,12.3,2000
2022-02-27,10.5,10.5,10.5,10.5,100000
2022-02-28,11.0,11.0,11.0,11.0,500
2022-03-01,11.0,11.0,11.0,11.0,500
2022-03-02,11.0,11.0,11.0,11.0,1000
2022-03-03,11.0,11.0,11.0,11.0,500
2022-03-06,0.0,11.0,11.0,11.0,100
2022-03-07,11.0,11.0,11.0,11.0,182400
2022-03-08,11.0,11.0,11.0,11.0,91000
2022-03-09,13.2,13.2,13.2,13.2,5
2022-03-13,12.9,13.3,12.9,13.0,44641
2022-03-14,13.2,13.4,12.0,13.0,126422
2022-03-15,13.5,13.5,13.5,13.5,30000
2022-03-16,14.0,15.0,14.0,14.7,6936
2022-03-20,15.5,15.5,13.5,14.6,46142
2022-03-21,14.9,15.9,14.8,15.6,41136
2022-03-22,15.7,17.9,15.4,17.6,234101
2022-03-23,19.0,21.0,18.4,19.4,483513
2022-03-24,19.0,19.4,17.6,18.9,57698
2022-03-27,19.2,20.4,18.6,18.8,240815
2022-03-28,18.6,18.7,17.5,18.5,94536
2022-03-29,22.2,22.2,20.5,22.1,383706
2022-03-30,22.7,26.5,22.7,26.3,1102751
2022-03-31,25.2,31.5,25.2,31.5,1301044
2022-04-03,36.0,36.0,29.1,30.2,393873
2022-04-04,34.4,36.2,30.7,36.2,822609
2022-04-05,40.1,43.4,38.2,43.4,1199677
2022-04-06,45.9,51.7,43.0,44.6,1279777
2022-04-07,43.6,46.9,38.0,42.9,726733
2022-04-10,45.8,45.8,39.5,40.0,324947
2022-04-11,39.5,40.5,36.0,36.6,1442848
2022-04-12,37.4,40.2,36.7,40.2,816299
2022-04-13,40.8,41.9,39.2,40.8,869094
2022-04-17,41.0,42.5,40.8,41.6,750226
2022-04-18,42.0,42.0,37.6,38.1,477416
2022-04-19,37.2,40.6,37.2,39.4,252471
2022-04-20,39.3,40.8,38.1,38.7,369796
2022-04-21,39.6,39.6,37.0,37.4,342660
2022-04-24,38.9,38.9,35.5,35.7,307816
2022-04-25,35.3,37.2,35.0,36.2,99703
2022-04-26,35.3,37.6,34.4,34.7,111045
2022-04-27,36.1,36.2,34.5,35.0,45075
2022-04-28,37.1,37.1,34.1,34.8,163897
2022-05-05,36.0,37.4,35.2,36.9,290271
2022-05-08,36.8,36.8,35.6,36.0,56774
2022-05-09,36.5,39.4,36.3,38.6,697226
2022-05-10,39.8,39.8,36.9,37.1,247926
2022-05-11,38.4,38.4,35.4,35.7,123360
2022-05-12,37.7,37.7,34.7,35.6,125212
2022-05-16,36.7,36.7,34.0,34.2,307620
2022-05-17,34.2,34.4,32.5,33.8,51549
2022-05-18,36.3,36.3,32.8,32.8,148928
