Date,Open,High,Low,Close,Volume
2013-01-24,15.0,15.0,15.0,15.0,480
2013-02-06,15.75,15.75,15.75,15.75,240
2013-02-07,16.5833,16.5833,16.5833,16.5833,240
2013-03-25,15.5833,15.5833,15.5833,15.5833,240
2013-06-10,14.0833,14.0833,14.0833,14.0833,240
2013-06-19,15.0,15.0,15.0,15.0,240
2013-09-04,13.5,13.5,13.5,13.5,240
2013-09-15,14.8333,14.8333,14.8333,14.8333,240
2013-09-16,16.25,16.25,16.25,16.25,240
2013-09-22,17.8333,17.8333,17.8333,17.8333,240
2013-09-23,19.5833,19.5833,19.5833,19.5833,240
2013-09-24,21.5,21.5,21.5,21.5,240
2013-09-25,23.5833,23.5833,23.5833,23.5833,5760
2013-09-26,25.9167,25.9167,25.9167,25.9167,8640
2013-09-29,28.5,28.5,28.5,28.5,1200
2013-09-30,28.5,31.3333,28.5,31.0,5760
2013-10-01,34.0833,34.0833,34.0833,34.0833,2640
2013-10-03,30.8333,32.5,30.8333,31.25,1440
2013-10-10,31.25,31.6667,28.5833,29.6667,1440
2013-10-20,31.25,31.25,27.5,29.0,720
2013-10-21,26.25,26.6667,26.1667,26.3333,3360
2013-10-23,26.3333,26.3333,24.6667,25.5,480
2013-10-24,24.1667,24.1667,23.0,23.9167,1920
2013-10-27,21.9167,21.9167,21.8333,21.8333,720
2013-10-28,20.0,21.6667,20.0,21.25,960
2013-10-29,21.6667,21.6667,21.6667,21.6667,240
2013-10-31,20.0,20.0,19.5833,19.6667,960
2013-11-04,21.5833,21.5833,21.5833,21.5833,960
2013-11-05,20.0,20.0,20.0,20.0,720
2013-11-07,20.0,20.0,20.0,20.0,240
2013-11-10,21.6667,22.0,21.6667,21.8333,720
2013-11-11,23.8333,24.0,23.8333,23.9167,720
2013-11-12,25.8333,25.8333,25.8333,25.8333,480
2013-11-14,25.8333,25.8333,25.8333,25.8333,1200
2013-11-17,25.0,25.0,25.0,25.0,240
2013-11-18,24.25,24.25,22.9167,23.75,1200
2013-11-20,21.5,21.5,21.5,21.5,480
2013-11-21,22.0833,22.0833,22.0833,22.0833,720
2013-11-26,24.25,24.25,24.25,24.25,1440
2013-11-27,26.5833,26.5833,26.5833,26.5833,960
2013-12-01,24.4167,25.0833,24.4167,24.9167,5280
2013-12-02,26.6667,27.3333,26.6667,27.1667,1680
2013-12-04,25.3333,25.3333,25.3333,25.3333,1200
2013-12-05,26.6667,26.6667,26.6667,26.6667,240
2013-12-08,24.4167,29.3333,24.4167,27.6667,1200
2013-12-09,30.4167,30.4167,30.4167,30.4167,720
2013-12-11,33.3333,33.4167,33.3333,33.3333,14640
2013-12-12,35.8333,36.6667,34.1667,34.8333,11280
2013-12-15,38.25,38.25,38.25,38.25,960
2013-12-17,41.9167,42.0,41.9167,41.9167,4560
2013-12-18,46.0833,46.0833,46.0833,46.0833,3120
2013-12-19,46.0833,50.4167,46.0833,50.0,3120
2013-12-24,45.0,45.0,45.0,45.0,480
2013-12-26,49.5,49.5,46.0,48.9167,1440
