Date,Open,High,Low,Close,Volume
2012-10-01,40.363,43.905,40.363,41.8388,179564
2012-10-02,42.134,44.2001,42.134,43.1671,366582
2012-10-03,45.3808,45.9711,42.7981,43.2408,627458
2012-10-04,44.8642,45.0118,42.8719,43.3146,293401
2012-10-07,43.4622,44.0525,41.0272,41.3223,190406
2012-10-08,42.7981,42.7981,40.8058,41.4699,115192
2012-10-09,42.2816,43.3146,41.6913,42.7981,126034
2012-10-10,42.8719,42.8719,40.5844,40.9534,122646
2012-10-11,42.7243,42.7243,40.2155,40.4368,44044
2012-10-14,41.3223,41.8388,40.5844,40.8058,134165
2012-10-15,41.3223,43.4622,40.5844,40.8058,301532
2012-10-16,41.2485,42.4292,40.5844,40.8058,84022
2012-10-17,41.3223,42.2078,40.6582,41.6175,216154
2012-10-18,41.1747,41.6913,40.9534,41.0272,21006
2012-10-21,40.5844,40.5844,38.8135,39.4038,52175
2012-10-22,39.1086,40.5844,38.0756,38.7397,100962
2012-10-23,39.5514,39.6251,38.3707,39.0348,206668
2012-10-30,38.8872,39.7727,38.8872,39.33,46754
2012-10-31,39.1086,40.5844,39.1086,39.9941,296111
2012-11-01,39.9203,40.5844,39.1824,39.5514,119935
2012-11-04,39.4038,39.4038,38.0018,38.8135,69793
2012-11-05,37.6328,38.961,37.4852,38.0756,58951
2012-11-06,38.3707,38.3707,36.526,37.6328,88766
2012-11-07,36.0832,37.2639,36.0832,36.3784,56241
2012-11-08,35.4929,36.526,35.2715,35.4191,73181
2012-11-11,34.6074,36.157,34.4599,35.6405,109771
2012-11-12,36.157,36.157,34.3861,35.4929,65050
2012-11-13,35.5667,36.5998,35.4929,36.0094,81990
2012-11-14,36.8949,37.2639,36.0832,36.0832,54886
2012-11-15,36.8949,37.0425,36.3784,36.7473,54886
2012-11-18,36.9687,36.9687,35.6405,36.2308,58274
2012-11-19,34.8288,34.9764,34.0171,34.6074,35913
2012-11-20,34.5336,34.6812,33.5744,33.7957,41334
2012-11-21,33.5006,33.9433,33.2054,33.7957,39978
2012-11-22,34.6812,35.1978,33.8695,34.2385,10842
2012-11-26,33.353,33.353,32.32,32.7627,10842
2012-11-27,32.6889,33.5744,32.6889,32.7627,18973
2012-11-28,32.7627,33.2054,32.7627,32.9103,14907
2012-11-29,33.9433,35.4191,33.9433,34.9026,42011
2012-12-02,35.7143,35.7143,33.2054,34.6074,36590
2012-12-03,33.2054,33.5744,32.9103,33.0578,6098
2012-12-04,31.8772,34.6812,31.8034,33.353,20328
2012-12-05,33.4268,33.9433,32.4675,33.1316,17618
2012-12-06,32.5413,33.2792,32.0248,33.1316,168722
2012-12-09,32.6151,33.2054,32.4675,33.1316,16262
2012-12-10,32.6151,32.6151,31.5821,31.5821,27782
2012-12-11,31.7296,31.7296,31.7296,31.7296,678
2012-12-12,32.4675,32.4675,31.951,32.32,9486
2012-12-13,32.4675,32.4675,32.3937,32.3937,23038
2012-12-17,33.2054,34.3123,33.2054,33.722,38623
2012-12-18,33.4268,33.722,32.7627,33.4268,23038
2012-12-19,33.5744,33.5744,33.2054,33.353,8809
2012-12-20,33.5744,33.9433,33.4268,33.722,13552
2012-12-23,33.9433,33.9433,32.6151,33.0578,5421
2012-12-24,33.2054,33.2054,32.7627,32.7627,7454
2012-12-26,32.9103,33.353,32.5413,32.9103,21683
2012-12-27,33.1316,33.5744,33.1316,33.2792,33202
2012-12-30,33.9433,33.9433,33.4268,33.5744,18973
2013-01-01,32.9103,33.0578,32.9103,32.9103,4743
2013-01-02,32.4675,32.8365,32.1724,32.3937,8131
2013-01-03,32.0986,32.6151,32.0986,32.32,11519
2013-01-06,32.32,32.4675,32.0986,32.2462,13552
2013-01-07,31.5083,31.7296,31.5083,31.6558,2710
2013-01-08,32.3937,32.3937,31.7296,31.8034,25071
2013-01-09,31.6558,31.8772,31.6558,31.7296,8809
2013-01-10,31.8034,31.8034,31.7296,31.7296,12874
2013-01-13,32.0248,32.0248,31.8772,31.951,2710
2013-01-14,31.951,32.0986,31.7296,31.951,6098
2013-01-15,32.0986,32.32,32.0248,32.1724,10164
2013-01-16,32.4675,32.4675,32.3937,32.3937,4066
2013-01-17,32.6151,33.2054,32.5413,33.1316,52175
2013-01-20,33.1316,33.1316,32.0986,32.6151,35913
2013-01-21,32.0248,33.2054,32.0248,32.4675,14907
2013-01-22,32.4675,32.6151,32.4675,32.5413,1355
2013-01-23,33.5744,35.1978,33.5744,34.5336,116547
2013-01-24,34.6074,34.6812,33.6482,34.4599,113837
2013-01-27,34.4599,34.6812,33.9433,34.2385,81990
2013-01-28,34.0909,35.0502,34.0909,34.755,33880
2013-01-29,35.4191,35.7881,35.0502,35.1978,60984
2013-01-30,34.2385,35.4191,34.1647,34.6074,71148
2013-01-31,33.4268,35.7881,33.4268,35.4929,54208
2013-02-03,36.0832,37.2639,34.8288,36.9687,88766
2013-02-04,36.9687,37.3377,35.8619,36.2308,61662
2013-02-05,36.4522,37.1163,36.157,36.8211,35913
2013-02-06,36.526,36.8211,35.8619,36.3046,44722
2013-02-07,36.3784,36.5998,35.7881,35.9357,40656
