Date,Open,High,Low,Close,Volume
2012-10-01,44.0329,46.0631,43.0727,45.5418,2837633
2012-10-02,46.0905,47.9835,45.9534,46.2003,4270118
2012-10-03,47.1879,48.011,45.1303,45.2949,3488265
2012-10-04,46.2826,46.9136,45.0754,45.5967,2212515
2012-10-07,45.8436,47.0508,44.1701,44.6914,2006573
2012-10-08,45.5418,46.5021,43.6763,44.7188,1758713
2012-10-09,46.6392,46.6392,45.4321,46.4472,2433038
2012-10-10,47.4623,49.0809,47.4074,47.9561,6119955
2012-10-11,48.834,48.834,47.4623,47.9561,2868615
2012-10-14,48.5597,50.2058,47.7915,48.3128,3672338
2012-10-15,48.7791,49.1084,46.2277,46.8038,2720993
2012-10-16,46.6667,48.011,46.6667,47.2702,2132325
2012-10-17,47.7092,47.7092,45.8711,46.0905,1321313
2012-10-18,46.3649,47.0508,45.7613,46.0357,1098968
2012-10-21,46.8587,46.8587,44.4719,44.8285,605070
2012-10-22,45.3772,45.8162,44.4993,45.5693,493898
2012-10-23,46.3374,47.0508,45.5418,45.679,922185
2012-10-30,48.011,48.7791,46.6118,48.642,3366158
2012-10-31,49.3827,50.0411,48.011,48.4499,3080025
2012-11-01,48.0658,49.0809,47.5446,47.7092,1580108
2012-11-04,47.9835,48.203,45.9259,46.2277,2075828
2012-11-05,46.6118,47.6543,45.8985,47.1879,1979235
2012-11-06,47.7366,47.7366,46.3923,46.8861,1088033
2012-11-07,46.9684,47.4623,46.118,46.4198,951345
2012-11-08,46.6118,46.8587,45.2126,45.4047,634230
2012-11-11,45.2675,45.487,42.524,43.1001,978683
2012-11-12,43.8957,44.6091,42.9081,43.786,636053
2012-11-13,44.4444,46.8861,43.4842,46.1728,752693
2012-11-14,46.6392,46.6392,44.6365,44.9931,883913
2012-11-15,46.7764,46.7764,44.9931,45.1852,1137240
2012-11-18,46.0631,46.0631,44.6639,44.9383,1355940
2012-11-19,43.9781,43.9781,42.3868,42.8258,1069808
2012-11-20,43.6214,43.7586,42.1125,42.524,883913
2012-11-21,42.7984,43.5117,42.3594,42.7709,1731375
2012-11-26,41.6049,44.4444,39.2593,39.7531,850500
2012-11-27,39.0946,39.2593,37.9012,38.107,475065
2012-11-28,39.0535,39.3416,36.8313,37.1605,471420
2012-11-29,39.0535,40.8642,38.4774,40.8642,837135
2012-12-02,42.7572,43.1276,39.7119,40.3292,998730
2012-12-03,39.3004,40.1235,39.2181,39.5473,379080
2012-12-04,38.8477,39.8765,38.3128,39.5062,354780
2012-12-05,39.9177,39.9588,38.93,39.2593,266085
2012-12-06,38.6831,39.5473,38.4774,38.642,352350
2012-12-09,38.1481,38.3539,37.4074,37.4897,317115
2012-12-10,37.037,37.5309,36.7078,36.9959,270945
2012-12-11,37.2016,37.4486,36.4609,36.6667,295245
2012-12-12,37.6955,37.6955,36.0494,36.4198,250290
2012-12-13,36.8313,37.2016,36.5432,36.9547,178605
2012-12-17,36.8724,37.6543,36.6255,37.1193,219915
2012-12-18,37.2428,37.8601,37.1193,37.572,331695
2012-12-19,37.8601,39.3416,37.7778,38.642,332910
2012-12-20,38.8889,39.0946,38.107,38.5185,269730
2012-12-23,37.9835,38.0247,37.2428,37.5309,157950
2012-12-24,37.8189,37.8601,37.0782,37.2839,201690
2012-12-26,37.4486,37.8601,37.2839,37.5309,232065
2012-12-27,38.4362,38.4362,37.572,37.9835,212625
2012-12-30,38.0658,40.7819,38.0658,40.4938,1372950
2013-01-01,41.5638,41.5638,39.0946,39.177,329265
2013-01-02,38.93,39.0946,38.2716,38.3951,232065
2013-01-03,38.3128,38.8066,38.1481,38.4774,219915
2013-01-06,38.6831,38.8477,38.0247,38.1481,211410
2013-01-07,37.7778,37.9835,37.3663,37.6132,230850
2013-01-08,37.4897,37.9012,36.9547,37.0782,517590
2013-01-09,38.642,38.642,36.8313,36.9547,498150
2013-01-10,37.037,37.8601,36.6667,37.3251,235710
2013-01-13,37.5309,37.6132,37.2839,37.4074,211410
2013-01-14,37.1193,37.4486,37.0782,37.1193,160380
2013-01-15,37.1605,37.3251,36.9959,37.037,166455
2013-01-16,37.037,37.3251,36.8724,36.9547,235710
2013-01-17,37.2016,37.572,37.037,37.2839,294030
2013-01-20,37.6955,37.6955,36.9959,37.037,260010
2013-01-21,36.8724,37.037,36.5021,36.6255,166455
2013-01-22,36.8724,36.9959,36.5432,36.7078,241785
2013-01-23,36.9959,37.3251,36.8313,36.9547,223560
2013-01-24,36.9547,38.3951,36.8724,37.8601,572265
2013-01-27,38.107,38.7243,37.9835,38.107,605070
2013-01-28,38.3539,38.3539,37.8601,38.0247,411885
2013-01-29,38.5185,39.5062,38.5185,39.0535,945270
2013-01-30,39.3827,39.3827,37.9835,38.2305,765450
2013-01-31,38.2305,39.3827,38.2305,38.8066,759375
2013-02-03,38.9712,39.465,38.4774,39.0535,755730
2013-02-04,39.2181,39.4239,38.8477,38.93,770310
2013-02-05,38.7654,40.0823,38.642,39.9177,1060695
2013-02-06,40.0,40.6996,39.8765,39.9588,989010
2013-02-07,39.9177,40.2469,39.6708,39.8354,810405
2013-02-10,39.9588,41.8518,39.8354,40.9053,1119015
2013-02-11,41.5638,41.5638,40.3292,40.7407,704700
2013-02-12,41.1111,41.7695,40.3704,40.4938,900315
