Date,Open,High,Low,Close,Volume
2021-09-30,12.0,12.0,12.0,12.0,51
2021-10-03,14.4,14.4,14.4,14.4,61
2021-10-04,17.2,17.2,17.2,17.2,3636
2021-10-05,20.6,20.6,13.8,14.4,658335
2021-10-06,14.0,14.0,13.3,13.5,151629
2021-10-07,13.5,13.7,12.9,13.1,234450
2021-10-10,12.6,12.6,12.1,12.5,108329
2021-10-11,12.1,12.7,11.7,12.3,69328
2021-10-12,13.7,13.7,12.0,12.2,150816
2021-10-13,12.2,12.9,12.0,12.5,85787
2021-10-14,12.5,12.5,12.1,12.1,21793
2021-10-17,12.5,12.5,12.0,12.1,54744
2021-10-18,12.3,12.3,12.0,12.1,45256
2021-10-19,12.0,12.0,11.1,11.9,5623
2021-10-21,11.0,11.9,11.0,11.1,6041
2021-10-24,11.2,11.3,11.2,11.3,40000
2021-10-26,10.8,11.7,10.7,11.3,114622
2021-10-27,10.8,10.8,10.7,10.7,7244
2021-10-31,10.6,10.6,10.6,10.6,11978
2021-11-01,10.6,11.0,10.5,10.6,27235
2021-11-02,11.9,11.9,10.4,10.5,24245
2021-11-10,10.0,10.0,10.0,10.0,361
2021-11-11,10.0,10.0,9.8,10.0,10500
2021-11-14,9.0,9.5,9.0,9.4,2000
2021-11-15,9.0,9.0,9.0,9.0,3269
2021-11-17,8.9,9.2,8.9,9.2,6803
2021-11-23,9.3,9.3,9.2,9.3,12700
2021-11-24,9.3,9.3,9.3,9.3,14544
2021-11-25,9.2,9.2,9.2,9.2,2700
2021-11-29,10.0,11.0,9.8,10.5,932571
2021-12-01,9.4,9.4,9.3,9.3,13622
2021-12-02,9.2,9.2,9.2,9.2,10300
2021-12-05,9.9,10.0,9.7,9.9,79109
2021-12-07,10.0,10.0,9.7,9.9,56122
2021-12-08,10.0,10.0,9.8,9.9,57882
2021-12-09,10.4,10.5,10.4,10.4,3397
2021-12-13,9.5,10.4,9.1,9.9,67269
2021-12-14,9.7,9.8,9.7,9.8,67461
2021-12-15,10.4,10.4,10.4,10.4,7000
2021-12-19,10.0,10.0,10.0,10.0,10000
2021-12-20,0.0,10.0,10.0,10.0,24000
2021-12-21,9.9,10.0,9.8,9.9,15002
2021-12-22,9.9,9.9,9.9,9.9,8173
2021-12-26,9.7,9.7,9.6,9.6,29968
2021-12-27,10.1,10.1,9.4,9.6,70244
2021-12-29,10.4,10.4,10.4,10.4,1
2022-01-03,10.4,10.4,10.4,10.4,174
2022-01-04,9.7,9.7,9.7,9.7,10000
2022-01-05,9.6,10.3,9.0,9.0,372517
2022-01-06,10.3,10.3,9.5,9.9,10
2022-01-10,9.5,9.5,9.3,9.4,45186
2022-01-11,9.3,9.3,9.2,9.3,14811
2022-01-12,9.2,9.5,9.2,9.4,10000
2022-01-17,9.3,9.3,9.3,9.3,10000
2022-01-19,9.3,9.3,9.3,9.3,4500
2022-01-23,9.0,9.0,9.0,9.0,2500
2022-01-24,9.2,9.2,9.0,9.1,5000
2022-01-25,9.0,9.0,9.0,9.0,2500
2022-01-26,9.0,9.0,9.0,9.0,15250
2022-01-30,10.0,10.0,10.0,10.0,10000
2022-01-31,9.4,9.4,9.4,9.4,7674
2022-02-07,9.3,9.3,9.3,9.3,120
2022-02-10,10.0,10.0,10.0,10.0,1
2022-02-13,8.7,8.7,8.7,8.7,350
2022-02-14,8.7,9.9,8.7,8.7,18573
2022-02-15,9.9,9.9,9.9,9.9,4
2022-02-16,9.7,10.0,9.6,9.8,75000
