Date,Open,High,Low,Close,Volume
2012-10-01,191.3805,198.5185,191.3805,194.4781,147312
2012-10-02,201.6162,203.367,197.9125,200.7407,169884
2012-10-03,203.2997,211.4478,201.4815,206.5993,420404
2012-10-04,208.7542,214.1414,204.7812,206.1279,331452
2012-10-07,206.1279,211.3131,204.0404,205.3199,208494
2012-10-08,204.8485,208.4175,199.3266,201.1448,151470
2012-10-09,205.3872,205.3872,198.8552,199.3266,207455
2012-10-10,203.7037,206.734,199.4613,200.4041,163053
2012-10-11,204.0404,205.9933,196.0943,198.5859,178794
2012-10-14,201.5488,205.3199,199.9327,202.6263,221414
2012-10-15,202.6936,205.3872,198.5185,199.2593,150876
2012-10-16,203.0303,203.0303,198.6532,198.7879,147164
2012-10-17,201.3468,201.3468,196.9697,197.7778,77666
2012-10-18,198.6532,202.0202,197.3064,200.202,105287
2012-10-21,202.6936,204.5791,200.0,202.2896,93407
2012-10-22,203.9731,203.9731,199.798,200.6734,117018
2012-10-23,201.2794,202.0202,200.6734,201.3468,83457
2012-10-30,200.1347,202.0202,200.1347,200.3367,51381
2012-10-31,200.6734,200.6734,198.8552,199.1919,67271
2012-11-01,198.6532,200.6061,196.9697,197.3064,80190
2012-11-04,197.7104,197.7104,193.6027,193.8047,44699
2012-11-05,196.3636,196.3636,192.6599,193.8721,46926
2012-11-06,198.4512,208.0135,197.7778,205.6566,450252
2012-11-07,208.3502,209.4276,202.6936,203.2997,275616
2012-11-08,204.7138,205.3872,194.0067,196.3636,132611
2012-11-11,195.2862,195.9596,187.2054,187.9461,195426
2012-11-12,195.2862,198.5859,192.5926,193.6027,276953
2012-11-13,196.5656,201.6835,190.0337,197.4411,231957
2012-11-14,199.4613,200.6061,195.8249,197.3737,110336
2012-11-15,199.5959,199.5959,194.6128,195.4209,163796
2012-11-18,196.5656,196.633,191.9192,192.9293,171072
2012-11-19,191.4478,192.5926,188.5522,188.8215,165578
2012-11-20,189.2929,190.9091,186.5993,186.936,94892
2012-11-21,190.5051,190.5724,186.1953,186.8687,95634
2012-11-22,185.1852,189.2256,185.1852,186.3973,69053
2012-11-26,186.6667,188.4848,179.2593,180.7407,88655
2012-11-27,180.8081,180.8081,176.835,177.5084,118206
2012-11-28,180.4714,180.4714,177.1044,177.7104,45738
2012-11-29,181.1448,184.8485,180.2694,184.4444,78705
2012-12-02,186.532,187.4747,179.798,180.6734,94298
2012-12-03,181.1448,182.1549,180.4714,180.8081,38016
2012-12-04,181.1448,181.6835,179.9327,180.8754,47520
2012-12-05,184.8485,184.8485,180.0,181.2795,25542
2012-12-06,180.4714,181.5488,179.798,180.8081,76181
2012-12-09,180.8754,181.0101,179.2593,180.6061,65934
