Date,Open,High,Low,Close,Volume
2012-10-01,53.36,57.36,53.28,54.16,226000
2012-10-02,56.72,57.2,55.04,56.32,254000
2012-10-03,56.4,58.64,56.4,56.48,200000
2012-10-04,57.6,59.52,56.72,57.12,229000
2012-10-07,57.2,57.6,54.72,55.6,111500
2012-10-08,56.8,57.44,54.88,56.0,117250
2012-10-09,57.52,58.16,56.64,56.96,166500
2012-10-10,57.6,58.24,55.2,55.92,206000
2012-10-11,55.28,55.84,54.32,54.64,85500
2012-10-14,55.28,55.28,52.64,53.04,71250
2012-10-15,53.44,54.4,52.56,52.88,100500
2012-10-16,53.92,55.84,53.92,55.12,61000
2012-10-17,55.52,56.8,54.56,54.8,82750
2012-10-18,56.0,56.0,54.72,54.8,26250
2012-10-21,54.4,55.2,54.08,54.48,61500
2012-10-22,54.4,55.04,54.16,54.88,23000
2012-10-23,54.56,55.6,54.24,54.96,33750
2012-10-30,53.92,55.04,53.68,54.16,10500
2012-10-31,55.04,56.72,53.92,55.92,214750
2012-11-01,56.0,56.0,54.88,55.28,23500
2012-11-04,54.8,56.0,52.96,53.92,15500
2012-11-05,53.12,54.16,52.88,53.44,25500
2012-11-06,54.24,54.24,52.48,52.56,26500
2012-11-07,52.08,52.16,52.0,52.0,29500
2012-11-08,53.04,53.04,51.52,51.76,26250
2012-11-11,50.64,51.92,50.0,50.8,26000
2012-11-12,50.0,50.0,48.24,48.32,24500
2012-11-13,50.64,51.52,49.6,50.32,14250
2012-11-14,50.4,51.84,48.08,51.04,250500
2012-11-15,51.04,51.2,49.6,50.8,31500
2012-11-18,50.8,51.68,49.6,50.48,54750
2012-11-19,50.72,50.72,48.32,48.4,35000
2012-11-20,47.6,48.48,47.12,47.44,12000
2012-11-21,48.0,48.0,43.2,46.08,22000
2012-11-22,47.68,48.56,47.2,47.68,23000
2012-11-26,46.8,47.28,45.76,46.48,8750
2012-11-27,44.56,46.08,44.56,44.72,44250
2012-11-28,45.2,45.28,43.2,43.76,12500
2012-11-29,46.8,48.08,45.2,47.92,120250
2012-12-02,48.8,49.6,45.44,46.16,44000
2012-12-03,45.6,45.76,44.8,45.12,31000
2012-12-04,45.2,47.12,44.96,45.36,22500
2012-12-05,46.32,46.32,45.6,45.84,5250
2012-12-06,44.8,45.68,44.0,44.4,75750
2012-12-09,45.12,45.12,43.2,43.36,25750
2012-12-10,42.4,44.24,42.4,42.72,12750
2012-12-11,42.8,44.8,42.8,43.76,6250
2012-12-12,44.48,44.48,43.04,43.36,16750
2012-12-13,43.36,44.0,43.12,43.68,19500
2012-12-17,44.8,46.0,44.64,45.2,61000
2012-12-18,45.52,45.6,43.84,44.56,24750
2012-12-19,44.08,46.08,44.08,45.44,26250
2012-12-20,45.68,46.0,45.44,45.6,24250
2012-12-23,44.32,45.68,44.32,45.2,12500
2012-12-24,44.96,45.76,44.96,45.52,28500
2012-12-26,46.4,46.4,45.36,45.52,30250
2012-12-27,45.6,47.04,45.2,46.56,55000
2012-12-30,45.84,46.72,45.84,46.4,48750
2013-01-01,46.4,46.4,45.68,45.76,18000
2013-01-02,44.88,45.2,44.72,44.72,18500
2013-01-03,44.8,45.28,44.8,44.8,10750
2013-01-06,45.36,45.36,44.56,44.72,17000
2013-01-07,44.48,44.72,44.24,44.48,14250
2013-01-08,44.48,44.8,44.32,44.56,32500
2013-01-09,44.4,45.28,44.4,44.48,14750
2013-01-10,44.0,44.88,44.0,44.32,10500
2013-01-13,44.56,44.56,44.32,44.32,8000
2013-01-14,44.48,44.88,44.24,44.32,30500
2013-01-15,44.0,44.8,44.0,44.32,9500
2013-01-16,44.64,44.72,44.32,44.48,6500
2013-01-17,45.36,45.36,44.4,44.8,7750
2013-01-20,44.48,45.52,44.48,44.8,25000
2013-01-21,44.24,44.8,44.24,44.4,6000
2013-01-22,44.32,45.52,44.32,45.12,17500
2013-01-23,46.16,46.88,45.84,46.56,46750
2013-01-24,45.6,46.72,45.6,46.08,25500
2013-01-27,45.92,47.12,45.92,46.64,52000
2013-01-28,46.4,47.76,46.4,47.52,38750
2013-01-29,48.8,49.76,48.24,49.04,91250
2013-01-30,48.08,49.36,48.08,49.2,65500
2013-01-31,49.2,51.84,49.2,51.6,91500
2013-02-03,51.6,53.6,51.6,52.8,106000
2013-02-04,52.16,52.32,50.8,51.36,29500
2013-02-05,50.64,51.92,50.64,51.6,24000
2013-02-06,51.6,51.6,50.8,51.2,45000
2013-02-07,51.6,51.6,50.48,50.8,60000
2013-02-10,51.6,52.4,51.04,51.92,26500
2013-02-11,52.8,52.8,52.16,52.4,46750
2013-02-12,53.2,53.44,52.08,52.24,66750
2013-02-13,52.72,54.4,52.16,52.32,41500
2013-02-14,54.0,54.08,52.8,53.12,88250
2013-02-17,53.68,54.48,52.48,52.64,24750
2013-02-18,52.72,52.72,51.2,51.44,24000
2013-02-19,52.0,52.0,49.92,51.04,14750
2013-02-20,51.2,51.2,50.16,50.72,27750
2013-02-24,50.4,50.4,48.8,49.76,17500
2013-02-25,48.96,48.96,47.04,47.68,58750
2013-02-26,48.56,49.6,48.32,48.56,36750
