Date,Open,High,Low,Close,Volume
2012-10-01,74.3926,74.3926,73.3722,73.9553,13377
2012-10-02,72.9835,76.2877,72.8863,74.1497,27783
2012-10-03,76.6278,77.2595,73.3722,75.2187,23667
2012-10-04,73.6637,75.8017,72.8863,73.7123,15435
2012-10-07,72.449,72.449,70.4568,71.3314,17493
2012-10-08,70.4568,71.38,69.5335,70.068,22638
2012-10-09,72.8863,73.7609,71.4286,73.0807,16464
2012-10-10,69.7279,69.7765,69.7279,69.7279,5145
2012-10-11,71.4286,71.4286,68.7561,70.0194,17493
2012-10-14,69.4849,72.4004,69.242,70.1166,9261
2012-10-15,68.7561,69.4849,68.7561,68.8533,10290
2012-10-16,69.4849,69.4849,68.999,69.2906,18522
2012-10-17,69.5335,70.9427,68.2702,69.5821,11319
2012-10-21,68.999,69.5821,68.7561,69.2906,8232
2012-10-22,68.999,68.999,68.999,68.999,7203
2012-10-23,71.4286,71.4286,69.0962,70.1166,8232
2012-10-30,71.4286,71.4286,69.242,69.5821,23667
2012-10-31,69.4849,69.4849,69.4849,69.4849,12348
2012-11-01,69.9708,69.9708,69.4363,69.5335,7203
2012-11-04,69.0476,71.2828,68.173,69.5335,5145
2012-11-05,68.5131,68.999,68.0272,68.4645,14406
2012-11-06,68.2702,69.4849,68.1244,68.173,20580
2012-11-07,67.93,67.93,67.3469,67.6385,8232
2012-11-08,67.0554,67.0554,67.0554,67.0554,2058
2012-11-11,66.6181,68.8047,66.6181,67.4441,18522
2012-11-12,68.0758,68.8047,67.6385,68.0272,23667
2012-11-13,66.6181,69.9708,66.6181,69.242,6174
2012-11-14,68.1244,70.6025,68.1244,68.9019,23667
2012-11-15,72.8377,72.8863,69.4849,72.3032,20580
2012-11-18,72.8863,74.344,72.3032,72.8377,73059
2012-11-19,71.4286,72.4004,71.4286,71.7201,19551
2012-11-20,70.4568,72.6433,70.4568,71.0884,15435
2012-11-21,70.6997,73.1778,70.6025,71.2342,24696
2012-11-22,72.8863,76.2391,72.8863,73.6637,14406
2012-11-26,72.8863,74.2468,72.8863,73.7609,7203
2012-11-27,72.8863,74.344,72.8863,73.0807,14406
2012-11-28,74.3926,74.3926,72.8863,73.9067,23667
2012-11-29,74.7327,75.8017,73.8581,75.0729,47334
2012-12-02,75.3158,75.3158,73.7123,74.1011,20580
2012-12-03,74.8299,74.8299,74.8299,74.8299,2058
2012-12-04,73.8095,74.8299,71.4772,72.9835,13377
2012-12-05,72.8863,73.3722,71.6715,72.7405,22638
2012-12-06,72.0117,72.3518,70.4568,71.9145,29841
2012-12-09,69.242,70.4082,69.242,69.5821,5145
2012-12-10,69.9708,69.9708,68.5131,69.6793,33957
2012-12-11,70.4568,70.4568,70.4568,70.4568,2058
2012-12-12,69.7279,70.0194,69.7279,69.9222,4116
2012-12-13,70.068,74.344,70.068,70.6025,111132
2012-12-17,72.8863,75.1215,72.8863,74.1983,16464
2012-12-18,73.5666,75.3158,73.5666,74.7327,12348
2012-12-19,76.1905,77.2595,75.3158,76.8222,23667
2012-12-20,77.2595,77.7454,75.413,76.725,28812
2012-12-23,78.9602,79.2031,76.7736,78.3771,8232
2012-12-24,78.4257,80.4179,77.7454,79.2517,16464
2012-12-26,77.7454,77.7454,75.8017,76.3848,25725
2012-12-27,76.8222,76.8707,75.3158,76.0933,32928
2012-12-30,77.7454,77.7454,75.8017,76.8222,17493
2013-01-01,75.7046,75.8503,75.7046,75.8017,3087
2013-01-02,75.8017,75.8017,75.8017,75.8017,20580
2013-01-03,75.8017,76.2391,75.8017,75.8503,24696
2013-01-06,75.7532,77.6968,75.7532,76.0447,16464
2013-01-07,76.2877,76.2877,75.3158,76.1905,22638
2013-01-08,76.7736,77.1623,76.7736,76.8222,26754
2013-01-09,77.7454,77.7454,75.8017,77.3567,24696
2013-01-10,76.0447,76.0447,75.9475,75.9961,12348
2013-01-13,77.2595,77.2595,77.2595,77.2595,2058
2013-01-14,76.7736,76.7736,76.7736,76.7736,1029
2013-01-15,77.3081,77.6968,77.3081,77.5024,2058
2013-01-16,77.7454,78.0855,77.2595,77.4053,8232
2013-01-17,76.8222,77.0651,76.2391,76.8707,27783
2013-01-20,77.2595,77.2595,76.0933,76.3363,25725
2013-01-21,76.7736,77.6968,76.7736,76.9679,20580
2013-01-22,76.2877,80.6122,76.2877,79.3975,21609
2013-01-23,82.6045,82.6045,79.5918,82.3615,14406
2013-01-24,84.0622,84.0622,80.6608,82.1672,11319
2013-01-27,82.2157,82.2157,81.3897,81.6327,6174
2013-01-28,81.827,83.0904,81.827,82.6045,21609
2013-01-29,82.6045,83.0904,82.1672,82.6531,22638
2013-01-30,82.7502,82.7502,82.7502,82.7502,1029
2013-01-31,82.6045,82.6045,82.6045,82.6045,1029
2013-02-03,82.1186,84.7911,82.1186,83.2362,14406
2013-02-04,81.6812,82.6045,81.1467,81.7784,22638
2013-02-05,83.5277,86.6861,83.5277,85.3256,32928
2013-02-06,86.9777,87.4636,85.034,86.0544,33957
2013-02-07,86.9777,87.7065,86.4917,87.1234,20580
2013-02-10,86.8805,86.9777,86.8319,86.8319,11319
2013-02-11,88.8727,88.8727,85.034,85.9572,42189
2013-02-12,86.5403,86.9777,84.5481,85.6171,16464
2013-02-13,83.8192,83.8192,83.4791,83.5763,10290
2013-02-14,83.6735,83.6735,83.0904,83.4305,24696
2013-02-17,84.5481,85.034,83.3333,83.7221,60711
2013-02-18,83.6249,83.8192,83.1876,83.4791,27783
2013-02-19,82.8474,84.0136,80.1749,82.4587,13377
2013-02-20,79.3003,81.1467,78.7172,79.8834,5145
2013-02-24,82.6045,82.6045,81.5841,81.9242,8232
2013-02-25,80.5151,80.5151,79.8348,80.0777,43218
2013-02-26,80.3693,80.3693,80.3207,80.3207,11319
2013-02-27,78.7172,79.1059,77.7454,77.9883,60711
2013-02-28,78.2313,78.2313,77.7454,77.8912,3087
2013-03-03,75.3158,75.3158,73.8581,74.7327,7203
2013-03-04,77.2595,77.2595,77.2595,77.2595,1029
2013-03-05,76.3363,76.3363,74.8785,76.0933,7203
2013-03-06,73.0321,75.9475,73.0321,74.0039,3087
2013-03-07,74.3926,77.0165,74.1983,75.2673,17493
2013-03-10,73.9067,74.0525,72.9349,73.1778,25725
2013-03-11,72.8863,73.4694,72.8863,73.3722,14406
2013-03-13,75.3158,76.7736,75.3158,75.7532,4116
2013-03-14,74.4898,74.6356,74.4898,74.5384,8232
2013-03-18,77.2109,77.2109,77.2109,77.2109,1029
2013-03-19,76.0933,76.0933,76.0933,76.0933,3087
2013-03-20,77.2109,77.2595,77.2109,77.2109,3087
2013-03-24,74.0039,74.0525,74.0039,74.0039,8232
2013-03-25,74.1011,74.1011,74.1011,74.1011,2058
2013-03-27,75.5588,76.5306,74.1497,75.6074,19551
2013-03-28,75.3158,75.8017,74.8299,75.1215,6174
2013-04-01,71.9145,75.8017,71.9145,75.1701,17493
2013-04-02,73.9067,76.0447,73.9067,75.7532,38073
2013-04-03,75.3158,81.1467,75.3158,79.7862,81291
2013-04-04,79.689,81.6327,79.689,81.4383,34986
2013-04-07,79.2031,80.7094,79.2031,79.689,3087
2013-04-08,78.9602,78.9602,77.7454,78.7658,14406
2013-04-09,77.9398,81.1467,77.8426,78.3771,10290
2013-04-10,79.932,79.9806,79.7862,79.932,28812
2013-04-11,79.2031,80.6608,79.2031,80.0777,8232
2013-04-15,80.1749,80.1749,80.1749,80.1749,5145
2013-04-16,79.8834,79.8834,77.7454,78.5228,40131
2013-04-17,76.725,76.725,76.6764,76.6764,2058
2013-04-18,77.7454,77.7454,77.2595,77.551,3087
2013-04-21,77.2595,77.2595,76.5792,76.9193,4116
2013-04-22,75.3644,75.5102,75.3644,75.4616,3087
2013-04-23,76.2877,76.2877,75.8017,76.0447,2058
2013-04-24,79.2031,79.2031,79.2031,79.2031,1029
2013-04-25,77.7454,77.7454,75.3644,75.3644,23667
2013-04-28,75.8017,77.7454,74.1011,76.9193,7203
2013-04-29,76.7736,77.7454,76.7736,77.4538,6174
2013-04-30,77.7454,77.7454,77.7454,77.7454,1029
2013-05-07,77.7454,77.7454,77.7454,77.7454,2058
2013-05-08,79.2031,79.2031,77.5024,78.0855,12348
2013-05-09,77.794,77.794,77.7454,77.7454,4116
2013-05-13,77.7454,78.7172,77.7454,77.8912,8232
2013-05-14,79.2031,82.6045,78.2313,80.5151,42189
2013-05-15,79.2517,79.689,79.0573,79.2031,19551
2013-05-16,80.6608,83.5763,80.6608,82.8474,36015
2013-05-19,86.0058,87.4636,83.6249,85.7629,50421
2013-05-20,88.9213,94.1691,88.9213,91.691,123480
2013-05-21,91.8853,92.5656,87.5607,89.0185,67914
2013-05-22,87.4636,89.1642,84.5481,87.3178,41160
2013-05-26,91.3022,91.3022,86.4917,88.6297,4116
2013-05-27,88.9213,88.9213,86.0544,87.5607,21609
2013-05-28,86.7347,86.7347,83.8192,84.5967,38073
2013-05-29,89.31,89.3586,86.4917,87.9009,69972
2013-05-30,94.6064,95.724,89.8931,91.2051,107016
2013-06-02,92.3226,92.3226,89.6501,89.8931,53508
2013-06-03,89.8931,89.8931,86.5403,87.9981,73059
2013-06-04,87.9009,87.9981,83.5763,84.3537,99813
2013-06-05,85.034,86.3946,82.6045,84.6939,188307
2013-06-06,83.5763,85.277,82.8474,83.4305,115248
2013-06-09,57.2886,77.7454,57.2886,76.3848,90552
2013-06-10,78.7172,80.1749,76.4334,77.4538,43218
2013-06-11,76.8222,79.689,76.8222,78.0855,92610
2013-06-12,77.7454,78.7658,77.2595,77.3567,97755
2013-06-13,75.3644,77.7454,75.3158,75.6074,74088
2013-06-16,76.2877,78.7172,76.2877,77.0651,192423
2013-06-17,79.689,79.689,75.413,76.1905,152292
2013-06-19,79.0816,80.102,76.5306,79.5918,97020
2013-06-20,80.102,80.6122,75.7653,76.4796,45080
2013-06-23,79.5918,79.5918,75.102,76.1735,25480
2013-06-24,75.5102,77.551,75.5102,76.6837,5880
2013-06-26,77.0408,77.551,74.5918,75.7143,16660
2013-06-27,79.4898,79.4898,73.2143,73.8265,49000
2013-06-30,72.449,72.449,70.9184,71.7347,19600
2013-07-02,73.4694,74.2347,72.3469,73.1633,34300
2013-07-03,73.4694,73.4694,70.9184,71.1224,50960
2013-07-04,71.4286,74.2857,71.4286,72.9082,53900
2013-07-07,73.4694,73.5204,71.4796,72.1429,61740
2013-07-08,72.0408,72.1939,70.4082,70.7653,45080
2013-07-09,70.9184,72.449,69.5918,70.9694,55860
2013-07-10,71.4286,71.4286,70.051,70.7143,22540
2013-07-11,69.4898,70.4082,68.4184,69.2347,68600
2013-07-14,67.6531,69.3878,67.6531,68.0612,8820
2013-07-15,66.8367,66.8367,66.3265,66.5306,9800
2013-07-16,68.1122,72.9592,68.1122,72.3469,54880
2013-07-17,73.4694,75.5102,71.4286,74.1837,60760
2013-07-18,75.9694,77.0408,72.449,74.2857,142100
2013-07-21,78.5714,78.5714,72.2449,74.6939,40180
2013-07-22,77.551,78.5714,75.0,76.0714,99960
2013-07-23,75.5102,75.5102,69.1327,73.2143,30380
2013-07-24,75.4592,77.551,75.4592,75.9184,82320
2013-07-25,75.5102,76.0714,73.4694,74.0816,159740
2013-07-28,71.4286,71.4286,69.6429,70.3061,12740
2013-07-29,70.4082,70.6633,70.4082,70.5102,10780
2013-07-30,71.4286,75.3571,71.4286,72.6531,10780
2013-07-31,73.4694,73.7245,72.6531,73.4184,16660
2013-08-01,72.5,74.949,71.9388,74.6939,61740
2013-08-04,71.9898,71.9898,71.9898,71.9898,3920
2013-08-05,73.4694,73.9286,73.4694,73.8776,36260
2013-08-12,71.4286,71.4286,71.0714,71.1735,2940
2013-08-13,73.4184,74.4898,73.4184,73.6735,3920
2013-08-14,73.9286,74.4388,72.5,73.3673,35280
2013-08-18,73.9796,73.9796,73.9796,73.9796,4900
2013-08-19,74.4898,76.5306,73.9796,75.2551,39200
2013-08-20,77.551,81.0714,77.1939,80.051,212660
2013-08-21,79.0816,79.6429,79.0816,79.5918,39200
2013-08-22,79.5918,79.8469,72.551,73.5204,82320
2013-08-25,78.4694,80.8673,77.2959,80.2041,28420
2013-08-26,83.6735,88.2143,83.6735,87.0918,358680
2013-08-27,86.7347,91.8367,86.7347,87.9082,111720
2013-08-29,85.3061,85.7143,84.0306,84.5408,33320
2013-09-01,83.4184,89.7959,83.4184,88.6735,82320
2013-09-02,90.8163,91.8367,86.7347,87.2449,131320
2013-09-03,86.2245,87.7041,86.0204,87.0918,37240
2013-09-04,88.2653,89.2857,86.8367,88.5714,124460
2013-09-05,85.7143,86.2245,84.6939,85.8163,29400
2013-09-08,85.7143,86.6837,84.7959,85.3571,50960
2013-09-09,85.2041,85.2041,83.6735,84.1327,77420
2013-09-10,83.2143,83.2653,80.6122,80.8163,68600
2013-09-11,84.1837,88.2653,81.1735,85.6633,31360
2013-09-12,84.1837,86.9898,84.1837,85.5102,29400
2013-09-15,87.7551,88.7755,86.7347,87.7551,21560
2013-09-16,85.7143,85.7143,84.1837,85.4082,24500
2013-09-17,85.2551,85.2551,83.7245,84.5408,26460
2013-09-18,84.5408,85.7143,84.5408,84.6429,26460
2013-09-19,85.7143,85.7143,84.6939,85.051,22540
2013-09-22,85.7143,85.7143,84.7449,84.949,27440
2013-09-23,84.1837,86.5306,84.1837,84.4898,42140
2013-09-24,86.5816,88.2653,86.2245,86.6327,23520
2013-09-25,87.7041,88.2653,84.4898,87.7041,34300
2013-09-26,87.7041,91.8367,87.7041,91.6837,94080
2013-09-29,91.3265,91.3265,84.1837,88.3673,19600
2013-09-30,84.2347,87.7041,84.1837,85.3061,33320
2013-10-01,90.2041,90.8163,88.7755,89.6939,10780
2013-10-02,89.2857,89.2857,89.2857,89.2857,4900
2013-10-03,89.1837,89.1837,89.1327,89.1327,3920
2013-10-06,89.2347,89.2347,86.7857,87.602,8820
2013-10-07,87.6531,88.1633,87.6531,87.9592,2940
2013-10-08,89.1327,89.1327,89.1327,89.1327,1960
2013-10-09,87.7041,88.4694,87.7041,87.8061,16660
2013-10-10,86.6837,87.7041,86.6837,87.0918,16660
2013-10-20,87.7041,88.2653,84.1837,87.1939,19600
2013-10-21,83.1633,83.1633,82.6531,82.7551,16660
2013-10-22,82.8571,83.1633,82.8571,83.0102,6860
2013-10-23,80.6633,82.1429,80.6633,81.5816,5880
2013-10-24,84.6939,86.1735,80.6122,83.2143,27440
2013-10-28,76.5306,86.7347,76.5306,85.7143,14700
2013-10-30,84.1837,85.7143,84.1837,84.898,5880
2013-10-31,84.898,86.6327,84.898,86.0204,30380
2013-11-03,87.602,87.7041,87.398,87.602,61740
2013-11-04,89.2347,94.3367,89.2347,93.7245,196980
2013-11-05,96.8877,97.1429,93.8776,96.8877,301840
2013-11-06,100.4592,101.0204,93.4694,100.0,320460
2013-11-07,105.6123,108.1633,96.9388,107.5,426300
2013-11-10,113.2653,116.8878,107.6531,116.8878,543900
2013-11-11,124.4898,126.7857,115.3571,124.6939,501760
2013-11-12,130.102,131.6327,121.4286,123.5204,484120
2013-11-13,126.5306,129.1327,116.2755,121.1735,274400
2013-11-14,122.3979,131.7347,122.3979,130.051,575260
2013-11-17,131.6327,132.5,125.051,130.7143,260680
2013-11-18,131.6327,131.6327,122.449,123.5204,166600
2013-11-19,125.4592,127.5,118.8776,126.9388,176400
2013-11-20,122.9592,127.551,121.9898,125.9184,218540
2013-11-21,126.0204,127.0408,122.9592,125.8163,227360
2013-11-24,125.4082,126.5306,117.8571,119.3877,469420
2013-11-25,119.898,121.3776,114.8469,117.398,51940
2013-11-26,113.7755,114.7959,108.2143,110.2551,64680
2013-11-27,114.2857,114.2857,108.8265,110.9184,16660
2013-11-28,112.7551,119.898,111.2245,117.398,54880
2013-12-01,119.8469,120.9184,114.898,119.3367,37240
2013-12-02,119.898,126.5306,118.3673,122.2449,63700
2013-12-03,118.8776,126.0204,118.4694,122.3979,35280
2013-12-04,126.0204,126.0204,117.8571,119.2857,17640
2013-12-05,121.4286,121.4286,115.8163,117.8061,12740
2013-12-08,118.8776,123.9796,117.8571,117.9592,41160
2013-12-09,122.1429,122.1429,117.3469,119.6939,17640
2013-12-10,116.4286,118.2143,113.2653,116.5306,33320
2013-12-11,117.3469,117.3469,111.2245,114.4898,94080
2013-12-12,110.3571,119.3367,109.6939,112.2449,59780
2013-12-15,117.3469,117.3469,113.3673,116.1735,6860
2013-12-17,119.2347,119.2347,111.3265,113.0612,17640
2013-12-18,110.8163,110.9184,109.1837,110.2551,20580
2013-12-19,112.7551,112.7551,107.1429,108.9286,14700
2013-12-22,108.4694,108.6735,104.5918,107.9592,108780
2013-12-23,111.2245,111.2245,105.102,105.8673,26460
2013-12-24,111.7347,111.7347,104.0816,107.449,2940
2013-12-29,105.102,105.102,105.102,105.102,980
2013-12-30,109.1837,109.6939,107.7041,108.9796,13720
2014-01-01,109.6939,111.7347,109.1837,110.7653,30380
2014-01-02,112.1429,114.2857,110.7143,112.0918,30380
2014-01-06,112.2449,112.2449,109.1837,110.2041,3920
2014-01-07,111.9388,113.6735,111.0204,112.551,20580
2014-01-08,116.3265,116.3265,112.7551,114.5408,20580
2014-01-09,117.8571,117.8571,114.0306,115.4082,19600
2014-01-12,117.0918,121.3776,115.8163,118.9796,95060
2014-01-13,122.449,122.9082,117.9082,120.1531,54880
2014-01-15,127.551,128.5714,121.4286,123.1633,76440
2014-01-16,124.3877,126.5306,121.9898,124.2857,98000
2014-01-19,126.9898,127.0408,122.9082,124.5408,51940
2014-01-20,123.0102,132.1429,122.449,129.5918,142100
2014-01-21,130.051,130.051,125.6123,126.8877,90160
