Date,Open,High,Low,Close,Volume
2012-10-01,37.7316,37.7316,33.6484,34.1021,40336
2012-10-02,37.051,37.4291,35.3875,35.3875,80011
2012-10-03,37.5803,37.5803,34.4801,35.1607,40006
2012-10-04,36.5217,36.673,34.4801,34.8582,43312
2012-10-07,35.9168,35.9168,34.4801,34.707,48271
2012-10-08,34.4045,34.8582,34.2533,34.4801,21821
2012-10-09,35.5387,36.2949,34.2533,35.0094,16531
2012-10-10,34.7826,34.7826,33.5728,34.0265,43312
2012-10-11,33.8752,33.8752,32.8923,33.0435,18184
2012-10-14,32.6654,32.741,32.5142,32.5898,4298
2012-10-15,32.5142,35.0094,32.5142,34.4045,26119
2012-10-16,33.3459,34.3289,33.3459,33.8752,7274
2012-10-17,33.2703,34.7826,33.2703,34.5558,10580
2012-10-18,33.7996,34.7826,33.7996,33.7996,17854
2012-10-21,33.724,33.724,32.6654,33.1947,24136
2012-10-22,33.6484,33.6484,33.6484,33.6484,8927
2012-10-23,32.1361,34.7826,32.1361,33.6484,28764
2012-10-30,35.0094,35.0094,35.0094,35.0094,331
2012-10-31,34.7826,36.2949,33.3459,35.3875,14548
2012-11-01,35.4631,35.4631,33.9509,34.2533,19176
2012-11-04,33.3459,33.7996,33.3459,33.4216,7604
2012-11-05,33.2703,33.2703,33.0435,33.1947,5621
2012-11-06,32.5898,32.8923,31.758,32.3629,11903
2012-11-07,32.1361,32.5142,30.2457,31.758,7274
2012-11-08,30.6994,30.6994,30.6994,30.6994,331
2012-11-11,31.758,31.758,30.2457,30.6994,1984
2012-11-12,28.8091,30.6238,28.8091,30.2457,28764
2012-11-13,32.5142,32.5142,31.0775,32.2873,3306
2012-11-14,30.3214,32.8923,30.3214,31.8336,7274
2012-11-15,32.4386,32.5142,32.3629,32.4386,1323
2012-11-18,33.7996,33.7996,32.5142,32.9679,3306
2012-11-19,30.9263,31.0775,30.8507,30.8507,16531
2012-11-20,29.7164,29.8677,29.6408,29.7164,6613
2012-11-21,30.2457,30.2457,29.8677,30.0945,9919
2012-11-22,30.8507,30.8507,29.7921,29.9433,11241
2012-11-26,29.4896,29.4896,29.1115,29.2628,4629
2012-11-27,29.8677,29.8677,28.3554,29.1115,1323
2012-11-28,29.4896,29.4896,27.5992,28.2042,5290
2012-11-29,30.2457,30.2457,28.5822,29.1871,20168
2012-12-02,29.4896,29.4896,29.1115,29.2628,14217
2012-12-04,28.7335,29.4896,28.1285,28.5066,8927
2012-12-05,27.9773,28.431,27.2968,27.7505,39014
2012-12-06,27.3724,27.3724,26.9187,27.2212,21491
2012-12-09,27.3724,27.448,27.3724,27.3724,3968
2012-12-10,26.6163,26.6163,26.6163,26.6163,992
2012-12-11,27.9773,27.9773,27.9773,27.9773,6613
2012-12-12,27.5992,28.3554,26.6919,27.9773,13225
2012-12-13,27.9773,27.9773,27.9773,27.9773,1653
2012-12-17,27.9773,29.0359,27.9017,28.3554,5621
2012-12-18,27.9773,28.0529,27.9773,27.9773,3306
2012-12-19,28.0529,28.6578,27.9773,28.2798,7274
2012-12-20,28.8847,28.8847,28.1285,28.5066,7274
2012-12-24,28.7335,28.7335,28.7335,28.7335,1653
2012-12-26,27.9773,28.7335,27.9773,28.0529,1984
2012-12-27,28.3554,29.1115,28.3554,28.5822,5621
2012-12-30,29.1115,29.7164,28.2798,28.9603,10249
2013-01-01,29.3384,29.4896,28.9603,29.1871,18515
2013-01-02,28.2042,28.9603,28.2042,28.5066,3306
2013-01-03,28.3554,28.3554,28.3554,28.3554,992
2013-01-06,28.2798,28.2798,28.2042,28.2042,2645
2013-01-07,27.8261,28.431,27.8261,28.2042,2976
2013-01-08,28.1285,28.1285,27.7505,28.0529,32401
2013-01-09,28.1285,28.431,28.1285,28.2042,992
2013-01-13,28.2042,28.2042,28.0529,28.0529,2314
2013-01-14,27.9017,27.9017,27.3724,27.5992,10911
2013-01-15,28.2798,28.2798,28.2798,28.2798,331
2013-01-16,28.431,28.431,28.431,28.431,331
2013-01-17,28.7335,28.7335,28.3554,28.431,6282
2013-01-20,28.3554,28.6578,28.1285,28.3554,7935
2013-01-21,28.5066,28.5822,28.5066,28.5066,3968
2013-01-22,27.7505,28.431,27.7505,28.1285,10249
2013-01-23,28.9603,30.2457,28.5066,29.414,7935
2013-01-24,30.2457,31.0019,29.4896,30.3214,6613
2013-01-27,31.0019,31.0019,30.2457,30.397,10249
2013-01-28,30.2457,30.4726,30.0189,30.2457,3968
2013-01-29,30.775,32.1361,30.5482,30.775,11903
2013-01-30,30.3214,31.6824,30.2457,30.3214,11572
2013-01-31,30.5482,30.6238,30.2457,30.5482,27773
2013-02-03,31.3043,33.0435,31.2287,32.9679,129936
2013-02-04,34.0265,34.0265,31.758,32.2873,10249
2013-02-05,32.0605,32.5898,31.6068,32.0605,11241
2013-02-06,32.1361,32.1361,31.9093,31.9849,20829
2013-02-07,31.758,32.2873,31.6824,31.9849,24136
2013-02-10,31.758,32.2873,31.758,31.8336,30748
2013-02-11,33.1191,33.1947,31.758,32.1361,43643
2013-02-12,32.8923,33.6484,31.8336,32.2873,43312
2013-02-13,33.4216,35.4631,33.3459,35.4631,478084
2013-02-14,35.6144,37.5803,35.6144,36.2949,132911
2013-02-17,37.7316,37.8072,33.3459,34.3289,99188
2013-02-18,34.7826,35.3119,33.6484,34.1777,154733
2013-02-19,34.4045,34.4045,33.2703,33.724,136218
2013-02-20,33.8752,35.1607,32.5142,32.741,100179
2013-02-24,32.5898,32.6654,31.38,31.6824,61496
2013-02-25,31.758,32.8166,30.5482,30.6994,61166
2013-02-26,30.8507,31.4556,30.3214,31.1531,72407
2013-02-27,31.6824,31.6824,30.2457,30.5482,78358
2013-03-03,28.7826,29.5652,27.4783,27.8261,40538
2013-03-04,28.6957,29.7391,27.8261,27.8261,50025
2013-03-05,29.1304,29.1304,27.6522,27.7391,22425
2013-03-06,26.4348,26.9565,26.3478,26.5217,9200
2013-03-07,27.6522,27.6522,26.5217,26.8696,6038
2013-03-10,26.8696,26.8696,25.3043,26.087,18113
2013-03-11,25.5652,26.2609,25.5652,25.913,10925
2013-03-12,24.6957,26.6087,24.6957,26.1739,21563
2013-03-13,26.5217,26.9565,26.2609,26.5217,13225
2013-03-14,25.3043,26.2609,25.3043,25.913,2013
2013-03-18,25.913,27.5652,25.913,26.4348,10638
2013-03-19,26.4348,26.8696,26.4348,26.6087,11788
2013-03-24,25.3043,26.087,25.3043,25.6522,4888
2013-03-25,26.5217,26.5217,25.2174,26.087,2588
2013-03-27,25.2174,25.2174,24.0,24.2609,4025
2013-03-28,25.0435,25.0435,24.2609,24.3478,4600
2013-03-31,23.5652,23.5652,23.5652,23.5652,2300
2013-04-01,22.1739,23.0435,22.1739,22.3478,17250
2013-04-03,22.0,22.0,21.7391,21.8261,7763
2013-04-04,21.7391,21.7391,20.8696,21.2174,20125
2013-04-07,22.1739,22.1739,21.2174,21.3913,7763
2013-04-08,22.6087,23.0435,22.3478,22.7826,5750
2013-04-09,22.7826,23.3043,22.5217,22.9565,30475
2013-04-10,22.9565,23.913,22.9565,23.4783,47438
2013-04-11,22.7826,23.913,22.7826,23.4783,48013
2013-04-15,23.8261,25.8261,23.4783,25.0435,28175
2013-04-16,23.913,23.913,23.0435,23.0435,37663
2013-04-17,23.4783,23.7391,22.8696,23.3913,28750
2013-04-18,23.7391,23.8261,22.6957,23.2174,12363
2013-04-21,22.6957,23.2174,22.4348,22.5217,10638
2013-04-22,22.6087,22.6957,22.5217,22.6087,18113
2013-04-23,22.6087,22.7826,22.6087,22.6087,8050
2013-04-24,22.6957,22.6957,22.4348,22.5217,9488
2013-04-25,22.1739,22.1739,21.913,22.0,6613
2013-04-28,21.7391,21.7391,21.1304,21.3913,4888
2013-04-29,20.8696,21.7391,20.8696,21.3913,7188
2013-04-30,21.7391,22.8696,21.7391,22.3478,21275
2013-05-02,22.087,23.5652,22.087,23.3043,36513
2013-05-05,23.7391,23.913,22.9565,23.1304,17825
2013-05-06,22.1739,23.2174,22.087,22.2609,15813
2013-05-07,22.6957,23.4783,22.5217,23.1304,30763
2013-05-08,23.913,24.3478,22.4348,23.8261,57788
2013-05-09,24.087,26.1739,23.4783,26.087,241788
2013-05-12,27.6522,28.6087,27.4783,28.1739,74750
2013-05-13,27.6522,30.3478,27.5652,29.913,188888
2013-05-14,28.9565,30.8696,28.6957,29.913,162725
2013-05-15,29.5652,31.6522,28.8696,31.2174,84813
2013-05-16,30.087,31.7391,30.0,30.087,169913
2013-05-19,31.2174,33.0435,30.8696,33.0435,285200
2013-05-20,33.0435,33.3043,31.4783,32.5217,158125
2013-05-21,32.6087,35.6522,30.6957,35.3913,298713
2013-05-22,35.6522,37.8261,33.2174,36.3478,388125
2013-05-26,36.5217,37.8261,34.0,34.3478,238338
2013-05-27,35.5652,36.4348,33.913,34.6957,229425
2013-05-28,35.7391,35.7391,34.087,34.4348,176813
2013-05-29,35.2174,36.9565,34.6957,36.5217,156688
2013-05-30,37.8261,38.6087,35.4783,35.913,157550
2013-06-02,36.4348,37.3043,35.8261,36.6957,311363
2013-06-03,36.7826,37.2174,35.2174,35.7391,117300
2013-06-04,36.8696,37.3913,35.0435,35.3043,272550
2013-06-05,35.6522,36.2609,33.5652,35.0435,272550
2013-06-06,36.1739,36.1739,33.5652,33.913,80500
2013-06-09,32.6087,32.8696,31.3043,31.4783,109825
2013-06-10,32.1739,33.8261,31.3043,33.3043,144900
2013-06-11,35.2174,35.2174,32.1739,32.5217,119600
2013-06-12,32.6087,32.7826,31.3043,32.2609,135700
2013-06-13,32.7826,34.1739,32.4348,33.0435,107238
2013-06-16,33.0435,33.3043,32.0,32.1739,184575
2013-06-17,34.3478,34.4348,31.7391,32.1739,136563
2013-06-18,32.1739,32.5217,31.3043,31.4783,167900
2013-06-19,32.9565,32.9565,31.4783,31.7391,110975
2013-06-20,32.1739,32.4348,30.4348,30.6957,77050
2013-06-23,31.3043,31.3043,30.087,30.3478,64975
2013-06-24,29.5652,30.0,29.5652,29.5652,12075
2013-06-26,31.3043,31.3043,29.5652,30.0,41975
2013-06-27,29.7391,30.087,29.1304,29.3913,23863
2013-06-30,29.5652,29.5652,28.7826,28.9565,27025
2013-07-02,29.7391,30.6957,29.5652,30.0,47438
2013-07-03,30.6957,30.6957,29.5652,29.6522,53188
2013-07-04,29.3043,31.0435,29.3043,30.6087,80213
2013-07-07,30.8696,31.3043,29.1304,29.3913,89988
2013-07-08,30.2609,30.2609,28.8696,29.0435,50313
2013-07-09,28.9565,31.5652,28.6957,30.087,177675
2013-07-10,30.2609,30.3478,28.6957,28.8696,61238
2013-07-11,29.5652,29.5652,28.0,28.5217,22138
2013-07-14,28.6957,28.6957,27.3043,27.7391,20125
2013-07-15,27.8261,29.3913,27.0435,27.5652,97175
2013-07-16,29.5652,29.5652,27.7391,27.7391,119600
2013-07-17,29.1304,29.3913,28.1739,28.4348,96025
2013-07-18,29.4783,29.5652,28.7826,28.9565,84238
2013-07-21,29.6522,29.6522,26.3478,26.9565,52325
2013-07-22,28.087,28.1739,27.0435,27.7391,12363
2013-07-23,26.3478,26.3478,25.0435,26.087,15813
2013-07-24,26.8696,27.7391,26.8696,27.2174,10925
2013-07-25,27.0435,27.0435,25.6522,26.0,32775
2013-07-28,24.0,25.2174,24.0,24.4348,18113
2013-07-29,26.6957,26.6957,24.3478,24.3478,41400
2013-07-30,26.3478,26.3478,24.0,24.087,62388
2013-07-31,25.1304,25.1304,22.6087,22.7826,218213
2013-08-01,23.2174,24.2609,21.8261,22.5217,87975
2013-08-04,23.913,23.913,21.8261,22.4348,49450
2013-08-05,23.7391,23.7391,22.1739,22.5217,49450
2013-08-12,23.3913,23.3913,22.5217,22.8696,20988
2013-08-13,23.4783,23.4783,22.9565,23.0435,41688
2013-08-14,23.0435,23.4783,22.6957,22.6957,52038
2013-08-18,23.0435,24.3478,23.0435,24.1739,96888
2013-08-19,24.4348,25.1304,24.2609,24.8696,78488
2013-08-20,25.6522,25.6522,24.6957,24.6957,50025
2013-08-21,23.6522,24.7826,23.6522,23.7391,67275
2013-08-22,24.6087,25.5652,23.913,25.3913,132250
2013-08-25,26.3478,26.3478,25.4783,25.913,112700
2013-08-26,26.087,27.8261,26.087,26.6087,113850
2013-08-27,26.2609,27.8261,26.2609,26.3478,102925
2013-08-29,25.6522,26.4348,25.4783,25.6522,47150
2013-09-01,25.7391,26.6087,25.4783,25.7391,45425
2013-09-02,25.7391,25.8261,25.3913,25.4783,25875
2013-09-03,25.1304,25.5652,25.0435,25.1304,33638
2013-09-04,24.9565,24.9565,24.6957,24.6957,28175
2013-09-05,24.9565,24.9565,24.5217,24.7826,19550
2013-09-08,24.7826,24.7826,24.0,24.1739,45138
2013-09-09,24.1739,24.1739,23.5652,23.8261,28175
2013-09-10,24.3478,26.1739,24.3478,26.0,190038
2013-09-11,27.5652,28.5217,27.5652,28.4348,281463
2013-09-12,29.5652,31.0435,28.6957,29.6522,190613
2013-09-15,29.3043,30.4348,28.8696,30.087,193775
2013-09-16,29.5652,30.4348,29.4783,29.4783,198375
2013-09-17,29.5652,29.5652,28.4348,28.6087,97175
2013-09-18,28.6957,29.8261,27.0435,27.6522,105800
2013-09-19,27.2174,28.6957,27.1304,28.087,28175
2013-09-22,28.0,28.0,26.6957,26.8696,49163
2013-09-23,27.3913,29.4783,26.1739,29.2174,171350
2013-09-24,32.0,32.0,29.5652,30.0,173363
2013-09-25,29.5652,30.9565,29.2174,29.7391,181125
2013-09-26,29.3913,29.5652,28.3478,28.7826,140875
2013-09-29,28.8696,29.2174,28.6957,28.6957,143750
2013-09-30,31.0435,31.0435,28.087,28.5217,79350
2013-10-01,28.7826,31.2174,28.6957,30.6957,292388
2013-10-02,31.2174,31.3043,29.5652,30.1739,76188
2013-10-03,30.4348,30.8696,29.1304,29.3043,78775
2013-10-06,28.4348,28.6957,27.8261,27.913,30763
2013-10-07,28.0,28.4348,27.8261,27.8261,52613
2013-10-08,27.8261,27.8261,26.087,26.8696,65550
2013-10-09,26.6087,27.6522,26.1739,26.8696,29900
2013-10-10,26.9565,27.5652,26.7826,27.4783,42838
