Date,Open,High,Low,Close,Volume
2014-09-22,49.8576,56.9801,47.792,55.057,13925153
2014-09-23,55.057,57.5499,51.8519,53.2764,4350154
2014-09-24,53.2764,61.9658,53.2764,61.3248,8725298
2014-09-25,62.6781,65.4558,58.7607,60.4701,6592623
2014-09-28,60.4701,60.4701,54.1311,55.5556,4861491
2014-09-29,55.5556,57.5499,53.5612,55.1282,3172759
2014-09-30,54.1311,58.4046,54.1311,55.9117,3401050
2014-10-01,57.6211,57.6923,52.7066,53.2764,2309861
2014-10-02,53.9174,55.698,51.8519,54.9858,1918706
2014-10-12,55.057,55.9117,52.7066,53.1339,1462406
2014-10-13,53.7749,57.1225,53.2051,56.4815,2512037
2014-10-14,56.2678,57.8348,55.8405,56.1254,2683325
2014-10-15,56.9801,57.1937,54.5584,54.8433,2182378
2014-10-16,56.7664,56.7664,53.4188,53.7037,1678342
2014-10-19,55.1994,55.1994,52.7066,53.1339,979711
2014-10-20,52.849,56.4103,52.7778,55.4843,1857773
2014-10-21,56.1966,60.114,55.2707,58.547,4310280
2014-10-22,60.5413,62.6781,58.7607,59.9003,6919755
2014-10-23,61.1111,61.1111,56.4815,57.0513,3538923
2014-10-26,58.4046,58.4046,55.7692,56.2678,1817618
2014-10-27,56.2678,56.6239,55.057,55.6268,1647173
2014-10-28,55.698,56.9801,55.698,56.1254,1156615
2014-10-29,57.6923,58.0484,56.0541,56.1966,2100665
2014-10-30,57.265,59.1168,56.7664,58.1909,2472163
2014-11-02,58.7607,58.8319,55.698,56.2678,1632571
2014-11-03,55.698,57.4074,53.7749,54.3447,1729728
2014-11-05,55.057,57.4786,54.1311,56.8376,1839802
2014-11-09,52.0655,52.0655,48.6467,49.9288,4383288
2014-11-10,51.2108,51.2108,47.0798,47.2934,1387152
2014-11-11,47.4359,49.8576,47.4359,47.9345,1996488
2014-11-12,49.7863,52.7066,49.1453,52.7066,5745168
2014-11-13,54.7721,55.1994,50.9259,51.2821,3232289
2014-11-16,51.2821,52.7066,49.7151,50.4986,3453279
2014-11-17,51.7806,52.3504,50.4274,50.4986,2036081
2014-11-18,50.2137,51.2108,49.2165,49.359,1149876
2014-11-19,49.8576,50.2849,48.2194,48.3618,1712318
2014-11-20,49.6439,49.8576,48.3618,49.2877,1190592
2014-11-23,50.3561,50.5698,48.0769,48.8604,1417478
2014-11-24,48.5043,49.5726,47.7208,47.9345,696103
2014-11-25,48.9316,49.7863,47.5071,47.792,902772
2014-11-26,48.2906,48.7179,46.6524,46.7236,565531
2014-11-27,47.0085,47.6496,46.3675,47.0798,466690
2014-11-30,48.433,48.433,46.7236,47.151,393682
2014-12-01,47.6496,49.0028,47.3647,48.433,563004
2014-12-02,49.6439,50.4986,48.0769,49.0741,1576692
2014-12-03,51.3533,51.3533,49.0028,49.1453,1451736
2014-12-04,49.1453,49.5014,47.5071,47.7208,888451
2014-12-07,48.0769,48.2906,46.51,46.7236,697507
2014-12-08,47.6496,48.433,46.5812,46.7236,566374
2014-12-09,46.8661,47.4359,46.3675,46.51,704527
2014-12-10,46.51,47.8632,45.584,45.9402,917093
2014-12-11,44.1595,46.2963,44.1595,45.0855,304441
2014-12-14,44.5869,46.2963,44.5869,45.2279,244727
2014-12-15,45.2279,45.9402,44.302,44.7293,349371
2014-12-17,44.2308,45.2279,44.2308,44.5869,303816
2014-12-18,44.3732,45.2991,44.1595,44.302,290907
2014-12-21,44.1595,44.5157,43.8746,44.0171,355343
2014-12-22,43.8746,44.943,43.8746,44.302,344368
2014-12-23,44.3732,44.5157,43.5897,43.7322,186353
2014-12-24,43.8034,43.8746,41.5242,41.6667,399688
2014-12-28,41.7379,42.0228,40.5983,41.1681,221635
2014-12-29,41.1681,42.0228,40.9544,41.6667,244964
2014-12-30,41.6667,41.7379,40.9544,41.2393,379347
2015-01-01,42.1652,42.6638,41.5242,42.3789,283730
2015-01-05,42.735,42.735,41.8091,42.4501,510614
2015-01-06,42.735,45.5128,42.735,45.3704,2962078
2015-01-07,45.584,45.7977,44.302,44.5869,643170
2015-01-08,43.4473,44.1595,42.735,43.1624,2374994
2015-01-11,43.0912,43.4473,42.5926,42.735,1938979
2015-01-12,43.4473,45.5128,43.4473,44.8718,2294326
2015-01-13,45.584,45.9402,44.302,44.5157,1139654
2015-01-14,44.5869,44.6581,43.5897,43.8034,753702
2015-01-15,44.0171,44.4444,43.2336,43.3761,761844
2015-01-18,43.0912,43.5897,42.735,42.8775,410838
2015-01-19,42.5926,43.0912,41.0256,41.3818,829145
2015-01-20,42.6638,42.6638,40.5983,40.9544,439807
2015-01-21,40.7407,40.9544,39.8148,40.3134,527362
2015-01-22,39.9573,41.3105,39.9573,40.4558,309223
2015-01-25,40.2422,40.8832,38.8177,38.9601,296528
2015-01-26,40.3134,40.3134,38.5328,38.6752,244945
2015-01-27,39.1738,40.5983,38.0342,40.1709,510941
2015-01-28,40.1709,40.4558,38.8889,39.1738,554965
2015-01-29,38.6752,39.245,38.3903,38.604,439873
2015-02-01,38.8177,39.7436,37.3219,37.4644,494351
2015-02-02,37.6068,37.8917,36.9658,37.7493,742139
2015-02-03,37.4644,38.7464,37.3219,38.1766,430709
2015-02-04,37.963,38.3191,37.7493,38.1766,796411
2015-02-05,37.6781,37.963,37.3219,37.7493,465996
2015-02-08,37.7493,38.3903,37.5356,38.0342,401339
2015-02-09,38.3191,39.0313,38.2479,38.3191,417536
2015-02-10,38.3903,39.4587,38.3903,38.7464,906427
2015-02-11,38.9601,39.1738,38.1054,38.2479,980795
2015-02-12,38.3903,39.1738,38.3903,38.9601,685624
2015-02-15,38.8177,39.886,38.8177,39.6724,789523
2015-02-16,39.6724,39.6724,38.2479,38.4615,507396
2015-02-17,38.4615,38.7464,37.8205,38.3191,396829
2015-02-18,38.9601,39.1738,37.963,38.1054,445534
2015-02-19,38.1054,38.3191,37.3219,37.5356,481721
2015-02-22,37.6781,37.8917,37.3932,37.4644,299411
2015-02-23,37.6068,37.8205,37.2507,37.3932,390537
2015-02-24,37.5356,37.8205,37.037,37.3219,426044
2015-02-25,37.5356,37.5356,36.0399,36.3248,357779
2015-02-26,36.3248,36.6097,36.1111,36.3248,285352
2015-03-01,36.3248,36.5385,35.2564,35.4701,512987
2015-03-02,35.114,36.1111,35.114,35.5413,295667
2015-03-03,35.5413,35.5413,34.2593,34.6154,236073
2015-03-04,35.0427,35.6125,34.6866,35.114,354058
2015-03-05,35.114,35.3276,34.6154,34.9715,320723
2015-03-08,34.9715,35.8974,34.6154,35.3989,713235
2015-03-09,35.755,37.6068,35.755,37.1083,1179602
2015-03-10,37.1795,37.6068,36.2536,36.6097,652123
2015-03-11,36.6809,37.037,35.3276,35.6838,436595
2015-03-12,35.6838,35.8262,34.7578,35.0427,325190
2015-03-15,34.2593,35.5413,34.2593,34.7578,366433
2015-03-16,34.8291,34.9715,33.6895,34.188,323571
2015-03-18,35.6125,35.6125,33.6895,34.188,363952
2015-03-19,34.6154,34.8291,34.188,34.6154,174573
2015-03-22,34.5442,35.9687,34.3305,35.6838,798686
2015-03-23,36.1823,36.4672,35.114,35.2564,291462
2015-03-24,35.2564,35.5413,33.9744,34.2593,413558
2015-03-25,34.5442,34.5442,33.9744,34.188,358101
2015-03-29,35.3989,35.755,34.6154,35.4701,423188
2015-03-30,34.9715,35.2564,34.188,34.4017,466325
2015-03-31,34.4017,35.1852,34.1168,34.4729,696234
2015-04-01,34.8291,34.8291,34.1168,34.188,501843
2015-04-02,34.4017,34.5442,33.9744,34.0456,187640
2015-04-05,33.9744,34.3305,32.7635,33.4758,312323
2015-04-06,33.1197,33.9744,32.4074,32.5499,372824
2015-04-07,32.5499,33.3333,31.2678,31.9801,477950
2015-04-08,32.1225,32.6923,30.6268,32.3362,606753
2015-04-09,32.0513,33.0484,31.8376,32.265,634461
2015-04-12,32.5499,34.1168,32.0513,33.6895,1060090
2015-04-13,33.6182,34.7578,33.6182,34.5442,436386
2015-04-15,34.8291,37.037,34.8291,36.8234,1510114
2015-04-16,37.037,37.2507,35.6125,36.4672,1122025
2015-04-19,36.9658,37.6068,35.8974,37.2507,1237542
2015-04-20,37.037,37.6068,34.9715,35.3989,777916
2015-04-21,35.4701,36.0399,34.3305,34.5442,557917
2015-04-22,35.3989,36.1111,34.5442,35.6125,844367
2015-04-23,36.3248,36.3248,34.3305,34.7578,581506
2015-04-26,35.3989,35.3989,32.7635,32.906,483084
2015-04-27,34.4017,34.4017,32.1937,32.7635,498114
2015-04-29,32.7635,32.7635,31.339,31.7664,653360
2015-04-30,31.6239,31.8376,30.9117,31.4815,399539
2015-05-04,32.3362,32.7635,30.1994,30.5556,808992
2015-05-05,31.4103,32.7635,30.9117,31.8376,555901
2015-05-06,32.6923,33.547,31.4103,32.4786,533663
2015-05-07,33.3333,33.4758,32.3362,32.6211,517499
2015-05-10,33.4046,34.8291,33.4046,34.6154,554056
2015-05-11,35.4701,35.4701,33.1197,34.0456,554089
2015-05-12,34.5442,35.0427,32.9772,33.3333,611153
2015-05-13,34.188,36.0399,33.8319,35.6838,1370763
2015-05-14,37.3932,37.3932,35.5413,36.0399,1366087
2015-05-17,35.8974,37.8917,35.8974,37.6068,1711272
2015-05-18,38.0342,38.8889,37.6068,38.3191,1657480
2015-05-19,38.5328,39.5299,38.1054,38.5328,1571069
2015-05-20,38.5328,38.5328,37.3219,37.5356,1105650
2015-05-21,37.7493,37.7493,36.4672,36.8234,767466
2015-05-24,37.3932,38.3903,37.1795,38.0342,665139
2015-05-25,39.245,41.5954,39.1026,41.3105,2706428
2015-05-26,42.3789,42.3789,39.6011,39.9573,1158004
2015-05-27,40.5271,41.8091,39.3875,40.812,2001394
2015-05-28,41.3105,42.094,39.7436,39.886,1876457
2015-05-31,40.7407,42.5926,39.6724,41.5954,1748952
2015-06-01,42.3077,43.661,40.6695,40.8832,2291980
2015-06-02,40.9544,42.735,39.9573,40.0285,1432987
