Date,Open,High,Low,Close,Volume
2022-04-20,11.0,11.0,11.0,11.0,1
2022-04-21,12.1,12.1,12.1,12.1,116
2022-04-24,13.3,13.3,13.3,13.3,1
2022-04-25,14.6,14.6,14.6,14.6,1
2022-04-26,16.0,16.0,16.0,16.0,1
2022-04-27,17.6,17.6,17.6,17.6,1
2022-04-28,19.3,19.3,19.3,19.3,1
2022-05-05,21.2,21.2,21.2,21.2,2115
2022-05-08,23.3,23.3,23.3,23.3,10001
2022-05-09,25.6,25.6,25.6,25.6,11943
2022-05-10,28.1,28.1,28.1,28.1,73558
2022-05-11,30.9,30.9,30.9,30.9,59617
2022-05-12,33.9,33.9,33.9,33.9,44719
2022-05-16,37.2,37.2,35.2,37.2,1820134
2022-05-17,39.0,40.9,35.0,40.9,863257
2022-05-18,41.0,41.0,36.9,36.9,323879
2022-05-19,36.8,37.9,33.6,36.0,294188
2022-05-22,39.5,39.5,33.8,34.1,48627
2022-05-23,34.2,37.2,34.2,35.8,280906
2022-05-24,36.2,36.3,34.7,34.9,95150
2022-05-26,34.5,36.4,34.5,36.1,47663
2022-05-29,39.1,39.1,37.0,38.3,197968
2022-05-30,40.7,40.7,37.3,37.5,91923
2022-05-31,40.0,40.0,36.9,37.5,109884
2022-06-09,53.0,55.9,53.0,55.9,99474
2022-06-12,61.4,61.4,58.0,61.4,563530
2022-06-13,56.3,65.0,56.3,58.5,153366
2022-06-14,60.0,62.9,57.0,59.2,226145
2022-06-15,59.9,64.0,58.5,59.8,209707
2022-06-16,61.8,63.6,59.9,62.0,208853
2022-06-19,60.8,68.2,60.8,67.9,262609
2022-06-20,72.8,74.5,67.2,74.4,110716
2022-06-21,81.8,81.8,74.8,81.7,147479
2022-06-22,89.8,89.8,78.8,79.3,234464
2022-06-23,86.0,87.0,75.6,82.1,94267
2022-06-26,86.0,86.0,80.0,82.7,168120
2022-06-27,84.7,84.7,76.0,77.7,60162
2022-06-28,85.4,85.4,75.6,79.5,111888
2022-06-29,87.3,87.3,78.4,80.1,171307
2022-06-30,88.1,88.1,78.1,79.4,116643
2022-07-03,87.0,87.0,72.1,74.8,164215
2022-07-04,76.0,79.4,75.9,78.1,124233
2022-07-05,78.9,78.9,74.0,74.6,43810
2022-07-06,75.9,75.9,69.5,74.3,167539
2022-07-07,77.4,80.0,75.3,76.8,180180
2022-07-12,78.5,83.0,77.6,79.2,217762
2022-07-13,78.1,81.8,73.0,74.7,92943
2022-07-14,78.5,78.5,69.8,70.9,278339
2022-07-17,71.1,73.0,64.2,65.6,92794
2022-07-18,67.7,67.7,59.1,59.8,253888
2022-07-19,58.0,65.7,57.3,65.7,203167
2022-07-20,68.5,70.7,67.1,68.2,390214
2022-07-21,69.9,73.9,67.3,71.5,263796
2022-07-24,76.0,76.0,66.0,67.3,130675
2022-07-25,65.1,69.5,65.1,69.1,70172
2022-07-26,70.4,70.4,66.5,67.6,121853
2022-07-27,74.3,74.3,64.5,65.3,73961
2022-07-28,71.8,71.8,61.2,62.0,83222
2022-07-31,66.0,68.2,63.0,68.1,104760
2022-08-01,69.7,71.0,67.4,68.1,90830
2022-08-02,68.6,68.9,64.6,65.0,72089
2022-08-03,68.9,70.0,63.0,68.2,129595
2022-08-04,71.8,74.9,69.2,74.0,314091
2022-08-07,79.8,79.8,70.5,73.5,66795
2022-08-08,76.6,78.9,71.3,74.3,236315
2022-08-10,74.3,74.4,70.0,73.8,152689
2022-08-11,74.0,76.3,71.8,73.0,120469
2022-08-14,71.2,75.3,70.3,70.9,67221
2022-08-16,69.0,70.5,68.4,69.1,100443
2022-08-17,68.0,73.3,68.0,72.0,56577
2022-08-21,74.7,74.7,69.2,70.8,88639
2022-08-22,70.9,73.0,69.1,69.4,101073
2022-08-23,69.3,71.6,66.6,67.0,67154
2022-08-24,65.0,71.0,65.0,69.8,22252
2022-08-25,68.0,72.0,68.0,71.6,72355
2022-08-28,70.3,73.0,66.2,66.9,105477
2022-08-29,65.0,72.0,65.0,71.9,89169
2022-08-30,69.0,73.3,69.0,70.8,63927
2022-08-31,70.0,72.0,68.5,70.1,53525
2022-09-01,68.5,71.9,68.5,71.7,17000
2022-09-04,72.0,72.0,68.6,69.4,59682
2022-09-05,69.5,71.4,69.4,69.6,56122
2022-09-06,67.2,70.6,67.2,69.2,37660
2022-09-07,69.5,70.0,67.1,67.6,74030
2022-09-08,70.7,70.7,67.0,67.2,17061
2022-09-11,67.1,69.0,67.1,68.8,38856
2022-09-12,70.0,70.0,66.2,66.5,16103
2022-09-13,69.0,69.5,66.6,67.7,64541
2022-09-14,69.0,69.5,66.5,67.5,37797
2022-09-15,69.4,72.0,68.0,71.2,158050
2022-09-18,72.8,72.8,68.6,69.6,65684
2022-09-19,63.6,70.0,63.6,69.1,39122
2022-09-20,71.0,71.0,66.4,66.4,95703
2022-09-21,66.5,68.6,63.3,65.3,7065
2022-09-22,63.3,69.0,63.3,64.0,10055
2022-09-25,63.3,68.0,63.3,64.4,16553
2022-09-26,64.1,67.4,64.1,66.1,7743
2022-09-27,65.6,69.0,65.5,68.7,50370
2022-09-28,68.0,69.9,68.0,69.0,49497
2022-09-29,69.4,69.4,67.6,68.9,8509
2022-10-02,67.2,68.6,65.1,66.4,9608
2022-10-03,66.9,69.0,65.1,67.4,36616
2022-10-04,67.9,67.9,65.2,65.3,30664
2022-10-06,63.0,68.5,63.0,64.9,17229
2022-10-10,64.9,66.7,58.5,63.8,32755
2022-10-11,57.6,66.8,57.6,64.8,750
2022-10-12,65.0,69.0,65.0,68.9,44929
2022-10-13,69.8,69.8,63.1,63.5,24348
2022-10-16,68.4,68.4,63.0,63.1,1711
2022-10-17,68.7,68.7,62.4,62.9,43063
2022-10-18,67.9,67.9,63.1,63.2,9971
2022-10-19,68.2,68.2,60.8,61.6,25498
2022-10-20,66.8,66.8,61.0,65.0,41000
2022-10-23,68.9,68.9,62.5,63.1,26724
2022-10-24,69.0,69.0,62.5,63.5,1140
2022-10-25,69.4,69.4,61.1,62.6,3173
2022-10-26,67.0,67.0,61.5,62.2,1435
2022-10-27,69.0,74.9,64.0,70.1,192254
2022-10-30,70.0,71.0,68.0,69.9,173537
2022-10-31,70.0,72.4,65.2,69.5,176668
2022-11-01,65.0,70.8,65.0,65.8,24061
2022-11-02,64.0,70.0,64.0,69.5,39
2022-11-03,76.4,76.4,64.0,66.1,1858
2022-11-06,71.5,71.5,66.1,66.1,3749
2022-11-07,66.1,69.8,61.0,67.1,5028
2022-11-08,70.0,70.0,65.0,68.6,35604
2022-11-09,71.0,71.0,64.3,69.8,4710
2022-11-10,70.0,70.0,70.0,70.0,1
2022-11-13,64.2,72.9,64.2,72.2,20007
2022-11-14,70.5,71.9,68.5,69.0,19266
2022-11-15,69.8,69.8,65.0,68.5,24
2022-11-16,68.9,68.9,68.5,68.5,205
2022-11-17,68.0,72.9,68.0,70.6,177892
2022-11-20,72.6,72.6,67.0,68.1,3043
2022-11-21,68.5,68.5,66.0,66.1,711
2022-11-22,71.0,71.0,62.1,63.0,7318
2022-11-23,68.4,68.4,63.0,67.4,61
2022-11-24,67.0,68.9,64.0,67.0,5019
2022-11-27,61.0,67.1,61.0,66.9,840
2022-11-28,69.5,69.5,63.2,63.6,2705
2022-11-29,69.2,69.2,62.3,65.3,187
2022-12-01,65.9,65.9,64.8,64.9,30200
2022-12-04,69.9,69.9,62.0,62.6,97
2022-12-05,66.8,66.8,60.0,60.9,5745
2022-12-06,65.2,65.2,60.0,64.6,11
2022-12-07,67.0,67.0,61.5,65.2,91
2022-12-08,66.0,66.0,62.3,62.5,5026
2022-12-11,65.0,65.0,62.0,62.0,502
2022-12-12,67.0,67.0,58.1,63.0,58
2022-12-13,66.9,66.9,62.0,62.3,139
2022-12-14,67.0,67.0,67.0,67.0,2
2022-12-15,72.9,73.0,72.9,73.0,6
2022-12-18,75.0,75.0,66.0,67.1,1771
2022-12-19,70.0,70.0,70.0,70.0,1
2022-12-20,72.0,72.0,65.0,65.0,5067
