Date,Open,High,Low,Close,Volume
2012-10-01,36.25,39.975,35.0,37.925,14100
2012-10-02,40.0,41.5,39.025,39.475,17350
2012-10-03,38.5,39.5,37.025,38.425,14800
2012-10-04,38.5,39.0,36.25,36.7,14500
2012-10-07,38.25,38.75,35.4,36.425,9100
2012-10-08,36.25,36.25,34.65,35.3,4450
2012-10-09,35.525,38.75,35.525,37.85,12150
2012-10-10,37.525,37.775,35.55,35.7,7000
2012-10-11,35.5,37.1,35.0,35.825,4600
2012-10-14,36.25,36.5,34.5,35.025,8350
2012-10-15,35.875,35.875,34.5,34.95,5850
2012-10-16,34.0,36.2,33.75,35.15,3750
2012-10-17,35.0,35.05,34.5,34.6,5900
2012-10-18,34.5,35.4,34.15,34.7,4800
2012-10-21,34.35,37.175,34.35,36.6,7750
2012-10-22,37.75,40.225,36.55,39.575,19800
2012-10-23,40.75,41.0,38.825,39.375,18200
2012-10-30,41.225,41.225,37.0,37.725,7400
2012-10-31,36.075,38.925,36.075,36.275,13200
2012-11-01,38.25,38.35,36.625,37.425,12200
2012-11-04,39.25,41.15,38.5,40.9,56900
2012-11-05,42.0,44.2,42.0,43.2,55650
2012-11-06,43.55,44.225,41.4,42.05,18500
2012-11-07,41.75,42.25,40.5,41.05,21400
2012-11-08,40.35,42.75,40.35,42.175,31600
2012-11-11,41.675,42.475,39.6,39.95,20900
2012-11-12,41.0,41.0,37.675,38.35,12650
2012-11-13,37.75,39.875,37.5,39.25,18350
2012-11-14,38.625,40.2,38.025,38.375,10000
2012-11-15,39.2,39.2,38.025,38.1,14750
2012-11-18,39.65,39.65,37.125,37.675,13650
2012-11-19,37.0,37.2,34.275,35.075,17550
2012-11-20,35.0,35.875,33.45,33.85,14650
2012-11-21,36.0,36.5,34.0,34.975,7850
2012-11-22,34.65,36.0,34.65,35.35,9050
2012-11-26,35.875,38.225,35.875,37.125,23750
2012-11-27,36.775,37.5,36.5,36.675,12550
2012-11-28,37.825,37.825,36.15,36.375,6950
2012-11-29,37.975,39.25,37.625,38.275,20750
2012-12-02,38.525,38.525,35.625,36.075,17700
2012-12-03,36.975,37.0,35.0,35.2,10850
2012-12-04,34.65,37.5,34.65,37.175,20000
2012-12-05,37.125,37.4,36.1,36.9,8750
2012-12-06,35.75,36.75,35.5,35.725,9400
2012-12-09,35.125,35.125,34.075,34.175,11050
2012-12-10,33.9,34.175,32.65,33.25,9350
2012-12-11,32.375,32.375,30.0,30.45,22050
2012-12-12,30.525,31.075,30.1,30.275,11050
2012-12-13,30.25,30.7,30.0,30.275,6350
2012-12-17,30.25,31.625,30.25,31.0,17800
2012-12-18,31.325,31.35,30.525,30.65,13150
2012-12-19,30.65,31.25,30.25,31.0,21650
2012-12-23,30.5,30.5,29.025,29.3,7300
2012-12-24,29.0,29.0,28.5,28.85,9050
2012-12-26,28.775,29.475,28.65,28.8,7950
2012-12-27,28.9,29.1,28.275,28.375,8350
2012-12-30,27.5,28.675,27.275,27.525,12850
2013-01-01,27.95,27.975,26.9,27.025,7200
2013-01-02,26.65,26.925,26.65,26.875,4600
2013-01-03,27.0,27.475,26.5,26.775,8300
2013-01-06,26.325,26.7,26.125,26.375,6050
2013-01-07,26.5,26.75,26.025,26.4,2900
2013-01-08,26.5,26.5,26.25,26.3,1500
2013-01-09,26.275,26.275,25.825,25.95,8600
2013-01-10,25.75,26.25,25.75,26.075,4450
2013-01-13,26.975,27.75,26.5,27.05,14150
2013-01-14,26.75,27.1,26.75,26.85,4850
2013-01-15,26.375,27.0,26.375,26.85,4450
2013-01-16,26.625,27.075,26.625,26.875,4450
2013-01-17,26.95,27.5,26.9,27.4,19550
