Date,Open,High,Low,Close,Volume
2012-10-01,74.03,74.87,73.32,73.99,520196
2012-10-02,74.03,74.87,73.45,73.82,979474
2012-10-03,73.4,74.41,73.15,73.53,964580
2012-10-04,73.2,74.45,73.07,73.15,742254
2012-10-07,73.24,73.61,71.52,71.9,700702
2012-10-08,73.57,73.57,71.69,71.98,455663
2012-10-09,73.36,73.36,71.65,71.86,399456
2012-10-10,71.94,72.65,71.1,71.23,367970
2012-10-11,71.1,72.32,71.06,71.1,348914
2012-10-14,71.56,71.56,69.64,70.1,689728
2012-10-15,71.52,71.52,70.06,70.85,325078
2012-10-16,70.48,72.07,70.44,71.19,407587
2012-10-17,70.69,71.52,70.23,70.6,333231
2012-10-18,71.1,71.19,70.52,70.69,283284
2012-10-21,71.1,72.23,70.85,71.56,345519
2012-10-22,72.11,72.23,71.36,71.9,248761
2012-10-23,72.32,74.07,71.86,73.36,429916
2012-10-30,73.61,74.37,72.78,74.07,241733
2012-10-31,74.03,75.25,73.82,74.91,542357
2012-11-01,75.04,75.2,73.78,74.41,374258
2012-11-04,73.32,74.79,71.61,72.44,301769
2012-11-05,73.91,73.91,71.56,72.15,419731
2012-11-06,73.15,73.91,71.94,71.98,318620
2012-11-07,71.94,72.57,71.94,72.07,177539
2012-11-08,72.15,72.65,71.73,72.44,277621
2012-11-11,71.61,72.53,71.36,72.07,439575
2012-11-12,71.1,72.36,71.02,71.44,386163
2012-11-13,71.1,71.9,70.64,71.56,396897
2012-11-14,72.28,72.28,71.27,71.73,406103
2012-11-15,71.31,72.36,71.31,71.94,323861
2012-11-18,72.65,72.65,71.56,72.07,279459
2012-11-19,71.94,71.94,71.1,71.15,370263
2012-11-20,71.15,71.15,70.18,70.27,341121
2012-11-21,71.94,71.94,70.23,70.27,255910
2012-11-22,70.35,71.1,70.14,70.27,255672
2012-11-26,70.27,70.48,69.52,69.56,250699
2012-11-27,69.85,70.27,69.01,69.1,208525
2012-11-28,70.27,70.27,68.09,68.26,274943
2012-11-29,69.39,71.1,69.22,70.44,295623
2012-12-02,71.1,71.52,69.14,69.6,281157
2012-12-03,69.14,69.85,69.06,69.56,119991
2012-12-04,69.06,70.06,68.72,69.64,247375
2012-12-05,69.56,70.39,69.43,70.02,190902
2012-12-06,69.85,70.52,69.01,70.27,368186
2012-12-09,70.23,70.39,69.1,70.27,224087
2012-12-10,70.27,70.56,69.43,70.31,294069
2012-12-11,69.52,70.27,69.52,70.06,174023
2012-12-12,70.27,70.48,69.72,70.06,193269
2012-12-13,70.52,70.56,69.68,70.23,164988
