Date,Open,High,Low,Close,Volume
2012-10-01,42.3913,43.1159,41.6667,41.9565,995532
2012-10-02,42.3913,43.913,42.3913,42.8261,1123182
2012-10-03,43.6232,44.5652,42.971,43.3333,1502268
2012-10-04,44.9275,45.5072,42.971,43.2609,1667730
2012-10-07,43.913,44.2029,41.3768,41.5942,779838
2012-10-08,41.7391,42.5362,40.3623,40.7971,794604
2012-10-09,42.029,42.2464,40.7971,40.942,1138638
2012-10-10,42.029,42.029,39.8551,40.0725,766590
2012-10-11,40.5797,40.8696,39.7826,40.0,767694
2012-10-14,40.5797,40.942,39.2754,39.5652,881544
2012-10-15,39.9275,40.7971,39.7826,39.8551,535992
2012-10-16,40.5072,41.087,39.8551,40.0725,624588
2012-10-17,40.1449,40.3623,39.1304,39.2754,594090
2012-10-18,40.1449,40.1449,38.7681,39.058,667506
2012-10-21,39.3478,39.4928,38.1159,38.3333,514188
2012-10-22,38.2609,38.6232,37.8261,38.4783,634524
2012-10-23,38.4783,40.1449,38.4783,39.7826,751410
2012-10-30,39.1304,40.1449,39.1304,39.8551,564558
2012-10-31,39.8551,40.1449,39.4203,39.7101,498732
2012-11-01,39.7101,40.0725,39.6377,39.7826,613134
2012-11-04,39.8551,39.8551,38.0435,38.1884,566490
2012-11-05,38.4058,38.7681,37.8261,38.1159,414414
2012-11-06,39.058,39.058,37.4638,37.8261,638526
2012-11-07,38.0435,38.2609,36.9565,37.1739,477480
2012-11-08,37.1739,37.6812,36.0145,36.6667,564144
2012-11-11,36.4493,37.1015,35.2899,35.5072,434424
2012-11-12,35.7246,36.5942,35.5072,36.0145,537096
2012-11-13,36.2319,37.6812,35.8696,37.3188,538062
2012-11-14,37.6812,37.6812,36.5942,37.2464,383778
2012-11-15,37.2464,37.6812,37.1739,37.3188,388194
2012-11-18,37.4638,37.8261,36.3043,36.7391,494730
2012-11-19,36.5942,37.1015,36.087,36.5942,925428
2012-11-20,36.0145,36.5217,35.1449,35.2174,303462
2012-11-21,35.5072,36.0145,34.4203,34.7826,288144
2012-11-22,35.0,35.5797,34.7101,34.9275,282210
2012-11-26,34.8551,35.2174,34.4203,34.5652,341136
2012-11-27,34.6377,34.7101,33.7681,33.9855,171948
2012-11-28,34.4203,34.7826,33.0435,33.2609,393024
2012-11-29,34.3478,36.1594,34.1304,35.7971,622242
2012-12-02,36.8841,36.8841,34.2029,34.6377,370806
2012-12-03,35.2899,35.3623,33.7681,33.9855,298632
2012-12-04,33.9855,34.2029,33.4058,33.7681,402684
2012-12-05,33.9855,34.058,33.4783,33.6232,555864
2012-12-06,33.4058,33.913,33.4058,33.6957,698694
2012-12-09,33.3333,33.9855,33.1159,33.4058,269928
2012-12-10,33.6957,33.913,32.8986,33.0435,455400
2012-12-11,32.971,33.4058,32.7536,33.1884,429456
2012-12-12,33.2609,33.6957,32.6812,32.8261,898104
2012-12-13,33.1884,33.4783,32.8986,32.971,1128150
2012-12-17,33.4783,34.9275,33.2609,34.6377,1029204
2012-12-18,34.058,35.2174,33.913,34.058,759276
2012-12-19,34.058,37.4638,33.9855,37.3913,2055786
2012-12-20,37.5362,38.4783,36.0145,36.5217,1467216
2012-12-23,36.6667,38.2609,36.5217,36.7391,1263666
2012-12-24,36.9565,36.9565,36.087,36.4493,839454
2012-12-26,36.8841,38.0435,36.2319,37.6087,1668144
2012-12-27,37.7536,38.9855,37.7536,38.6957,2023356
2012-12-30,38.6232,39.2754,38.4058,38.6232,1426644
2013-01-01,38.3333,38.8406,37.3188,37.6087,1177968
2013-01-02,37.6812,37.6812,36.3043,36.4493,923634
