Date,Open,High,Low,Close,Volume
2012-10-01,33.8464,35.8628,32.6942,34.9266,118727
2012-10-02,36.0068,38.1673,35.7908,36.655,212460
2012-10-03,37.3751,39.4635,36.3669,36.5109,322855
2012-10-04,36.799,37.1591,36.2229,36.3669,116645
2012-10-07,37.015,37.087,34.8546,35.3587,85400
2012-10-08,36.0068,36.655,33.9184,34.1345,93732
2012-10-09,36.0068,36.727,34.4225,34.7826,149277
2012-10-10,35.1427,36.0068,33.9184,34.2065,43047
2012-10-11,34.0625,34.5666,33.7024,33.9184,80540
2012-10-14,34.2065,35.2867,33.1263,33.5584,116645
2012-10-15,33.8464,34.4946,33.6304,33.6304,36799
2012-10-16,33.9184,35.1427,33.9184,34.4946,36799
2012-10-17,33.8464,35.7908,33.8464,34.9986,95121
2012-10-18,34.9266,35.6468,34.3505,34.8546,36799
2012-10-21,35.1427,35.1427,33.9905,34.2065,22218
2012-10-22,35.2147,35.2147,34.1345,34.4946,20829
2012-10-23,35.2867,35.6468,34.6386,34.8546,81929
2012-10-30,35.1427,35.1427,33.7744,34.4225,11803
2012-10-31,34.4946,34.6386,34.0625,34.4946,32633
2012-11-01,34.2065,34.2065,33.8464,33.8464,23607
2012-11-04,33.6304,33.8464,33.1983,33.6304,28467
2012-11-05,33.4864,33.6304,33.1263,33.4144,59017
2012-11-06,33.1263,33.7024,32.4062,32.7662,23607
2012-11-07,33.1263,33.6304,32.5502,33.4144,31244
2012-11-08,32.4782,32.4782,32.1181,32.2621,9026
2012-11-11,31.0379,31.686,30.3898,30.7498,45130
2012-11-12,31.2539,31.2539,30.6778,30.8219,17358
2012-11-13,31.326,31.9021,31.326,31.686,18746
2012-11-14,31.686,31.686,30.5338,30.8939,57628
2012-11-15,31.0379,31.758,30.9659,31.614,31938
2012-11-18,32.4062,32.4062,31.47,31.614,38882
2012-11-19,30.6778,30.9659,30.2458,30.6058,24995
2012-11-20,30.2458,30.2458,29.9577,30.0297,19441
2012-11-21,30.5338,30.5338,30.2458,30.2458,23607
2012-11-22,30.9659,30.9659,30.1737,30.7498,61100
2012-11-26,29.9577,29.9577,29.0935,29.5256,4860
2012-11-27,30.2458,30.6058,29.5256,29.9577,13192
2012-11-28,29.9577,29.9577,29.5256,29.6696,29161
2012-11-29,30.2458,32.0461,30.2458,31.398,49296
2012-12-02,31.686,32.2621,29.7417,30.3178,45825
2012-12-03,30.0297,30.0297,29.5976,29.7417,11803
2012-12-04,30.2458,30.5338,30.2458,30.2458,8332
2012-12-05,29.7417,30.2458,29.3816,29.5976,38882
2012-12-06,29.9577,29.9577,29.2376,29.5256,17358
2012-12-11,29.4536,29.8857,28.8055,29.0935,13886
2012-12-12,29.8857,30.5338,28.9495,29.5976,13886
2012-12-13,28.8775,30.0297,28.8775,29.4536,11109
2012-12-17,30.6778,30.9659,30.6778,30.7498,20829
2012-12-18,31.9021,31.9021,30.2458,30.5338,10415
2012-12-19,28.8055,30.8939,28.8055,29.8137,13886
2012-12-20,30.2458,30.9659,29.8137,29.9577,45130
2012-12-23,30.6058,30.6058,29.1655,29.3816,9720
2012-12-24,30.0297,30.0297,29.1655,29.3816,31244
2012-12-26,29.5256,30.3178,29.5256,29.8857,31244
2012-12-27,30.6058,31.83,30.4618,31.686,168024
2012-12-30,31.1099,31.686,31.1099,31.326,31938
2013-01-01,30.8219,31.1819,30.8219,30.9659,6249
2013-01-02,30.6058,30.8219,30.3178,30.6058,77763
2013-01-03,30.6778,30.7498,30.3178,30.5338,6943
2013-01-06,30.4618,30.8219,30.2458,30.2458,15275
2013-01-07,30.6058,30.8939,30.3898,30.5338,76374
2013-01-08,30.6778,30.9659,30.3898,30.5338,11803
2013-01-09,30.6058,30.8939,30.2458,30.3898,26384
2013-01-10,30.6058,30.6058,30.1017,30.2458,27078
2013-01-13,30.2458,30.6058,30.2458,30.2458,11803
2013-01-14,30.2458,30.2458,30.2458,30.2458,22218
2013-01-15,29.8857,30.4618,29.8857,30.3178,32633
