Date,Open,High,Low,Close,Volume
2024-12-08,99.8,99.8,99.64,99.71,7000
2024-12-09,99.64,99.64,99.64,99.64,23000
2025-10-09,101.98,101.98,101.98,101.98,1000
2025-10-15,101.78,101.78,101.78,101.78,1000
2025-12-10,100.1,100.1,100.1,100.1,5000
2026-01-12,101.03,101.03,101.03,101.03,5000
2026-02-24,100.79,100.79,100.79,100.79,10000
2026-03-29,101.15,101.15,101.15,101.15,10000
2026-04-19,100.0,100.0,100.0,100.0,4000
2026-04-23,100.0,100.0,100.0,100.0,1000
2026-05-21,99.82,99.82,99.82,99.82,6000
2026-05-24,100.64,100.64,100.64,100.64,44000
