Date,Open,High,Low,Close,Volume
2022-09-08,26.1,26.1,26.1,26.1,1
2022-11-13,200.0,2000.0,200.0,594.4,9
2022-11-17,639.0,639.0,639.0,639.0,10
2022-11-20,702.9,702.9,702.9,702.9,10
2022-11-21,773.1,773.1,773.1,773.1,10
2022-11-22,850.4,850.4,850.4,850.4,20
2022-11-23,935.4,935.4,935.4,935.4,10
2022-11-24,1028.9,1028.9,1028.9,1028.9,10
2022-11-27,1131.7,1131.7,1131.7,1131.7,10
2022-11-28,1244.8,1244.8,1244.8,1244.8,10
2022-11-29,1369.2,1369.2,1369.2,1369.2,10
2022-11-30,1506.1,1506.1,1506.1,1506.1,10
2022-12-01,1656.7,1656.7,1656.7,1656.7,90
2022-12-05,1760.2,1822.3,1760.2,1791.3,20
2022-12-06,1970.4,1970.4,1970.4,1970.4,5
2022-12-08,2167.4,2167.4,2167.4,2167.4,5
2022-12-11,2384.0,2384.1,2384.0,2384.1,10
2022-12-13,2622.5,2622.5,2622.5,2622.5,1
2022-12-18,2884.0,2884.0,2884.0,2884.0,1
2023-01-05,2595.6,2595.6,2595.6,2595.6,1
2023-02-23,2336.2,2336.2,2336.2,2336.2,1
2023-02-26,2102.6,2102.6,2102.6,2102.6,1
2023-02-28,2312.8,2312.8,2312.8,2312.8,5
2023-03-01,2081.6,2081.6,2081.6,2081.6,1
2023-03-07,1873.5,1873.5,1873.5,1873.5,1
2023-03-19,1686.2,1686.2,1686.2,1686.2,1
2023-04-25,1854.8,1854.8,1854.8,1854.8,5
2023-05-07,1670.0,1670.0,1670.0,1670.0,1
2023-05-16,1774.3,1774.3,1503.0,1566.9,12
2023-05-22,1420.0,1420.0,1410.3,1418.4,6
2023-05-23,1280.0,1280.0,1276.6,1279.4,6
2023-07-12,1140.4,1140.4,1140.4,1140.4,1
2023-07-13,1254.4,1254.4,1254.4,1254.4,1
2023-07-16,1379.8,1379.8,1379.8,1379.8,1
2023-07-20,1517.7,1517.7,1517.7,1517.7,1
2023-07-23,1669.4,1669.4,1669.4,1669.4,1
2023-07-27,1836.3,1836.3,1836.3,1836.3,1
2023-08-09,2200.0,2200.0,2190.0,2199.8,48
2023-08-10,2300.0,2300.0,2300.0,2300.0,1
2023-08-16,2415.0,2415.0,2415.0,2415.0,1
2023-08-17,2600.0,2656.5,2600.0,2644.9,15
2023-08-20,2850.0,2850.0,2800.0,2825.0,2
