Date,Open,High,Low,Close,Volume
2012-10-01,33.6035,36.3982,33.4039,35.7328,1583221
2012-10-02,36.7309,36.7309,34.6016,35.1339,2022044
2012-10-03,36.4648,36.9306,35.3336,35.6663,2259490
2012-10-04,35.9324,36.9306,34.8012,35.0674,1338261
2012-10-07,35.7328,36.1321,32.3392,32.805,1051223
2012-10-08,33.2708,34.5351,31.0084,32.073,882907
2012-10-09,33.9362,35.267,33.9362,35.267,944522
2012-10-10,37.2633,37.2633,33.6035,34.0027,1146652
2012-10-11,35.267,35.4001,33.8031,33.9362,876895
2012-10-14,35.267,35.267,33.1377,33.4039,973827
2012-10-15,33.3373,33.8031,31.6738,31.9399,669506
2012-10-16,32.4723,33.6035,31.4742,32.073,724359
2012-10-17,32.073,33.0046,31.5407,31.8069,553038
2012-10-18,31.9399,32.6054,31.4076,31.9399,199875
2012-10-21,31.9399,31.9399,29.8772,30.1433,542518
2012-10-22,30.6091,31.5407,30.0768,30.8753,256231
2012-10-23,32.2061,32.3392,31.4742,31.8069,558298
2012-10-30,31.8069,31.8069,30.1433,30.6091,283282
2012-10-31,31.2745,31.2745,29.7441,29.9437,863370
2012-11-01,29.9437,30.6091,29.8772,30.0102,583846
2012-11-04,30.476,30.476,29.0787,29.2117,356920
2012-11-05,28.014,29.9437,28.014,29.4779,315592
2012-11-06,29.3448,29.9437,29.2783,29.4779,281027
2012-11-07,28.879,29.8772,28.879,29.1452,184095
2012-11-08,29.4114,29.4114,28.014,28.1471,253225
2012-11-11,27.6813,27.9475,26.0843,26.4835,320852
2012-11-12,26.2839,27.2155,24.7535,25.0862,196118
2012-11-13,24.088,27.2155,24.088,26.2174,292299
2012-11-14,25.9512,26.4835,25.0196,25.9512,305072
2012-11-18,26.7164,28.2535,25.4721,27.3752,739797
2012-11-19,26.57,26.7896,25.5453,25.6185,370240
2012-11-20,25.3989,26.4969,24.8865,24.9597,270508
2012-11-21,25.9845,26.3505,24.7402,25.3257,282120
2012-11-22,25.6917,26.936,25.3989,26.2041,341550
2012-11-26,25.5453,26.2773,25.3257,25.4721,179655
2012-11-27,25.2525,26.1309,25.0329,25.3257,226789
2012-11-28,25.9113,25.9113,24.8865,25.1061,203564
2012-11-29,25.3989,27.0092,25.3989,26.8628,349064
2012-12-02,27.4484,27.5216,25.1061,25.6185,308761
2012-12-03,25.8381,25.9113,24.7402,25.0329,200148
2012-12-04,25.0329,25.2525,24.5206,25.0329,118859
2012-12-05,25.1061,25.6185,24.8134,25.0329,125690
2012-12-06,24.7402,25.6185,24.5938,24.7402,158479
2012-12-09,24.1546,24.667,23.7886,23.8618,79923
2012-12-10,23.3494,23.569,23.1298,23.2762,69676
2012-12-11,22.3979,23.4226,22.3979,23.203,83338
2012-12-12,23.7886,23.935,22.9103,23.1298,100416
2012-12-13,23.4226,23.4226,22.6907,22.8371,73092
2012-12-17,23.3494,23.4226,23.0567,23.1298,82655
2012-12-18,21.9587,23.7154,21.9587,22.7639,144134
2012-12-19,22.9835,23.4958,22.9835,23.2762,125007
2012-12-20,23.7154,23.8618,23.1298,23.3494,127057
2012-12-23,23.1298,23.2762,22.4711,22.6175,64895
2012-12-24,22.1051,22.8371,22.0319,22.6907,75141
2012-12-26,23.0567,23.0567,22.5443,22.6175,83338
2012-12-27,22.6907,22.9835,22.6175,22.8371,56014
2012-12-30,22.4711,22.9835,22.4711,22.6175,209029
2013-01-01,22.9103,23.1298,22.6907,22.6907,79240
2013-01-02,22.5443,22.6907,22.3247,22.4711,116127
2013-01-03,22.6907,23.0567,22.3247,22.7639,84704
2013-01-06,22.3247,22.9835,22.3247,22.3979,112712
2013-01-07,22.8371,22.8371,22.0319,22.1783,57380
